TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 10:59:22,garden_warbler_observed.csv,2.535,1.93,3.762,5.719,5.429,2.68,5.47,5.942,4.48,0.1335959565427330942126103353,
2026-05-21 10:59:23,garden_warbler_observed.csv,1.682,0.687,3.795,4.382,1.885,1.7,5.96,10.334,3.4,0.08888862848100635354485194385,
2026-05-21 10:59:23,garden_warbler_observed.csv,4.855,1.485,6.165,1.461,7.109,2.77,5.68,7.046,4.08,0.1514288879851819652449385080,
2026-05-21 10:59:23,garden_warbler_observed.csv,1.77,0.675,5.52,0.52,3.535,1.82,6.37,10.73,2.79,0.02702369230815285283417664992,
2026-05-21 10:59:24,garden_warbler_observed.csv,4.746,1.847,4.893,3.729,9.709,1.89,6.64,13.158,2.65,0.06866536681981546762517870619,
2026-05-21 10:59:24,garden_warbler_observed.csv,1.393,1.154,4.078,0.261,8.639,1.81,6.17,3.102,2.83,0.05815315401829456349311499374,
2026-05-21 10:59:24,garden_warbler_observed.csv,3.266,0.825,6.114,1.724,5.478,2.34,5.57,8.674,4.22,0.1203268673730827653708428746,
2026-05-21 10:59:24,garden_warbler_observed.csv,3.76,0.528,1.993,2.65,6.484,2.68,5.06,7.014,2.95,0.1291841359842488352958544255,
2026-05-21 10:59:25,garden_warbler_observed.csv,2.143,1.132,2.717,7.527,2.576,2.29,5.99,6.161,2.75,0.1017946219964638349651105652,
2026-05-21 10:59:25,garden_warbler_observed.csv,4.754,0.938,2.978,4.852,1.642,2.26,6.16,13.259,2.57,0.06127721839467650793394134195,
2026-05-21 10:59:25,garden_warbler_observed.csv,4.615,2.138,4.395,6.982,6.749,1.78,5.68,11.114,2.97,0.1110089652541419399015531774,
2026-05-21 10:59:25,garden_warbler_observed.csv,2.966,2.046,3.749,6.296,8.272,2.25,6.51,14.07,4.36,0.07504090007964779995712301447,
2026-05-21 10:59:26,garden_warbler_observed.csv,4.526,1.667,1.728,5.916,7.756,2.39,5.28,12.857,3.78,0.1485736368378704842372068634,
2026-05-21 10:59:26,garden_warbler_observed.csv,3.497,2.087,3.336,4.706,6.863,2.67,5.58,8.885,4.27,0.1287819553151379923463456735,
2026-05-21 10:59:26,garden_warbler_observed.csv,4.9,2.128,7.972,3.767,7.58,1.85,5.64,13.711,3.45,0.09652043268073530889107210695,
2026-05-21 10:59:27,garden_warbler_observed.csv,3.865,1.842,3.19,7.283,9.052,2.63,5.38,7.19,4.08,0.1527155000078831542609524726,
2026-05-21 10:59:27,garden_warbler_observed.csv,4.901,1.947,3.664,4.758,3.558,1.47,6.63,6.879,2.87,0.09919896241624818152206062098,
2026-05-21 10:59:27,garden_warbler_observed.csv,2.035,1.828,3.878,1.194,6.512,1.01,5.9,5.163,2.17,0.1494778851870065931247884692,
2026-05-21 10:59:27,garden_warbler_observed.csv,4.928,1.39,7.554,6.45,1.785,2.48,5.37,5.116,3.87,0.1189389222530577805160135068,
2026-05-21 10:59:28,garden_warbler_observed.csv,2.897,1.846,3.274,0.097,6.888,2.3,5.42,9.182,3.11,0.1048746563677114200557719502,
2026-05-21 10:59:28,garden_warbler_observed.csv,2.008,2.034,4.542,4.241,9.89,1.94,5.55,10.852,2.97,0.1011467582674902695072985609,
2026-05-21 10:59:28,garden_warbler_observed.csv,2.33,2.236,6.897,4.311,2.233,2.6,5.6,12.789,3.64,0.1016247377650835835582720053,
2026-05-21 10:59:28,garden_warbler_observed.csv,2.609,1.943,3.932,3.217,9.376,2.05,5.61,8.733,3.95,0.1170385803336098091216081692,
2026-05-21 10:59:29,garden_warbler_observed.csv,2.201,1.841,5.406,6.567,9.829,2.29,6.75,7.227,4.18,0.08951105788550903050601752148,
2026-05-21 10:59:29,garden_warbler_observed.csv,1.835,2.332,1.971,5.156,3.552,1.5,5.14,1.731,2.83,0.1413956487494057463853525775,
2026-05-21 10:59:29,garden_warbler_observed.csv,1.795,1.759,7.153,0.983,7.814,1.38,5.43,12.015,2.48,0.1240264560176866566692666153,
2026-05-21 10:59:30,garden_warbler_observed.csv,1.078,2.902,1.508,7.926,4.541,1.05,5.03,1.161,2.04,0.2228348761232732174486436666,
2026-05-21 10:59:30,garden_warbler_observed.csv,4.213,1.905,3.671,2.77,4.266,1.29,5.57,5.122,2.6,0.1559034147523473218357544984,
2026-05-21 10:59:30,garden_warbler_observed.csv,3.101,1.062,2.562,6.995,8.215,1.8,6.5,7.961,2.52,0.1243452024587264967511581108,
2026-05-21 10:59:30,garden_warbler_observed.csv,4.809,2.684,7.707,0.961,9.15,2.17,5.44,6.955,3.91,0.1174391875346762830471146748,
2026-05-21 10:59:31,garden_warbler_observed.csv,2.265,1.336,7.654,7.359,7.995,1.79,5.58,4.047,1.87,0.1981507126736271886275719204,
2026-05-21 10:59:31,garden_warbler_observed.csv,4.969,1.012,4.593,4.203,1.81,2.97,5.84,9.51,3.93,0.1560796880678286750108664576,
2026-05-21 10:59:31,garden_warbler_observed.csv,4.823,0.872,7.028,0.225,3.127,1.26,6.86,10.144,4.32,0.09036787866622221231119942229,
2026-05-21 10:59:31,garden_warbler_observed.csv,4.53,2.943,7.991,3.284,9.553,2.86,6.37,14.386,3.65,0.1176938172278697218152784370,
2026-05-21 10:59:32,garden_warbler_observed.csv,3.552,2.418,5.435,5.477,3.126,2.93,6.1,14.654,4.12,0.1275620677038338838293191585,
2026-05-21 10:59:32,garden_warbler_observed.csv,4.232,0.734,2.767,7.334,2.77,1.83,6.49,10.894,3.91,0.0766064734152899135271393966,
2026-05-21 10:59:32,garden_warbler_observed.csv,1.999,2.522,3.316,1.113,1.693,1.93,5.24,6.756,3.73,0.09672373210102253705983252399,
2026-05-21 10:59:33,garden_warbler_observed.csv,4.608,2.772,4.961,0.602,7.808,1.68,6.9,3.871,2.12,0.06276934465879212706040542926,
2026-05-21 10:59:33,garden_warbler_observed.csv,3.221,2.333,6.085,4.657,2.839,2.12,5.65,6.338,4.45,0.1084731806954601848388475134,
2026-05-21 10:59:33,garden_warbler_observed.csv,3.392,2.494,6.064,7.465,3.912,2.06,5.65,7.188,3.56,0.1007571204750147873067148318,
2026-05-21 10:59:33,garden_warbler_observed.csv,3.382,1.555,7.549,7.196,5.853,1.34,7.0,13.931,2.81,0.1210279694209042575517189661,
2026-05-21 10:59:34,garden_warbler_observed.csv,4.391,0.614,3.784,0.96,7.187,2.31,5.5,10.3,3.59,0.1205419029690134659968051981,
2026-05-21 10:59:34,garden_warbler_observed.csv,3.493,1.853,1.516,3.486,5.187,1.75,6.88,14.491,3.17,0.05584067273957946388134979582,
2026-05-21 10:59:34,garden_warbler_observed.csv,3.591,1.567,4.035,2.582,1.477,1.89,5.34,8.725,3.38,0.09458608462681186074789289041,
2026-05-21 10:59:35,garden_warbler_observed.csv,3.013,2.935,1.255,7.401,2.881,1.78,5.97,3.021,2.51,0.1565763589586742278022590484,
2026-05-21 10:59:35,garden_warbler_observed.csv,1.618,2.199,4.681,3.056,7.842,2.93,5.29,1.732,4.34,0.1067581911159662668206925660,
2026-05-21 10:59:35,garden_warbler_observed.csv,2.224,2.03,7.369,1.273,1.683,1.59,6.78,1.96,4.25,0.07561855996396932084053343898,
2026-05-21 10:59:35,garden_warbler_observed.csv,3.094,1.19,1.087,0.07,5.513,1.32,6.57,12.665,3.48,0.08932804269496958050327917416,
2026-05-21 10:59:36,garden_warbler_observed.csv,2.603,1.514,4.297,6.711,2.684,2.48,5.34,3.335,4.46,0.1437883324945125632025838175,
2026-05-21 10:59:36,garden_warbler_observed.csv,2.079,1.033,4.616,7.843,7.402,1.39,5.15,13.91,2.83,0.1791191423256088596550236323,
2026-05-21 10:59:36,garden_warbler_observed.csv,4.001,2.711,1.235,7.695,8.099,2.57,6.21,3.327,4.14,0.1012498350325473134938995925,
2026-05-21 10:59:36,garden_warbler_observed.csv,4.764,2.103,6.93,7.149,6.395,1.66,5.6,9.475,2.91,0.1384760294908638679307984194,
2026-05-21 10:59:37,garden_warbler_observed.csv,4.582,2.416,5.785,5.831,2.038,1.09,5.7,8.852,2.96,0.1701865376453429051860161060,
2026-05-21 10:59:37,garden_warbler_observed.csv,1.044,1.611,7.278,4.245,4.664,1.26,5.19,14.044,1.77,0.2365824530744684281111308631,
2026-05-21 10:59:37,garden_warbler_observed.csv,1.864,2.986,7.657,7.958,2.979,2.75,5.6,1.643,2.76,0.08576316442415946552987008333,
2026-05-21 10:59:38,garden_warbler_observed.csv,2.619,2.808,6.307,2.42,6.62,1.38,5.07,14.39,4.42,0.1609787233528680999785127988,
