month,observed,simulated_raw,synthesised
1,0,0.0080359131,0.026801039763142288
2,2,0.61875573,2.06364811528414
3,4,1.32477,4.418317247235788
4,2,0.8777294,2.9273662193633005
5,4,0.46774699999999997,1.5600101432269737
6,2,0.19980141,0.6663692684956853
7,0,0.0017738587,0.005916099012182683
8,0,6.342417179999999e-07,2.115296331858252e-06
9,0,1.587603095e-10,5.29490714343125e-10
10,0,3.89348914e-14,1.2985401404913485e-13
11,0,1.05469969e-17,3.5175900956250815e-17
12,0,3.1175154799999996e-21,1.0397406654595556e-20
