TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 11:00:19,reed_warbler_observed.csv,3.425,2.444,2.797,1.932,8.212,2.32,6.03,5.336,5.45,0.1178140631057952985746418087,
2026-05-21 11:00:19,reed_warbler_observed.csv,1.064,1.467,4.174,7.243,4.234,3.49,5.99,11.632,4.27,0.07005402155749088372014894167,
2026-05-21 11:00:19,reed_warbler_observed.csv,4.695,1.833,3.187,5.4,9.579,2.99,5.17,5.514,4.96,0.07182174117284942567604735632,
2026-05-21 11:00:20,reed_warbler_observed.csv,1.439,0.534,7.205,1.3,4.073,2.7,5.69,14.581,2.94,0.09197445111965366164826599664,
2026-05-21 11:00:20,reed_warbler_observed.csv,3.72,0.768,7.878,7.443,5.403,2.29,5.83,14.071,3.72,0.1184375762916935539147088388,
2026-05-21 11:00:20,reed_warbler_observed.csv,3.82,1.793,5.72,5.992,1.418,2.88,5.5,3.65,5.45,0.07233273516195261358673312198,
2026-05-21 11:00:20,reed_warbler_observed.csv,4.918,2.658,2.237,3.692,2.835,3.11,6.89,10.539,3.34,0.03650746324334366388948086832,
2026-05-21 11:00:21,reed_warbler_observed.csv,3.872,2.033,6.151,1.118,7.07,2.31,5.43,13.255,3.18,0.1566440250000395510498997298,
2026-05-21 11:00:21,reed_warbler_observed.csv,3.389,1.71,1.005,5.796,5.656,2.51,6.92,11.271,3.4,0.1192333093549865169591301047,
2026-05-21 11:00:21,reed_warbler_observed.csv,1.36,2.677,4.292,7.388,3.935,3.89,6.46,14.829,4.89,0.1072941817998912179647455253,
2026-05-21 11:00:21,reed_warbler_observed.csv,2.577,2.812,1.377,6.298,9.036,2.47,5.82,14.839,4.82,0.1398889515129035436725778371,
2026-05-21 11:00:22,reed_warbler_observed.csv,2.967,0.805,1.111,6.452,4.227,2.88,6.0,8.35,3.6,0.08080764522839548909487147456,
2026-05-21 11:00:22,reed_warbler_observed.csv,2.856,1.25,3.967,0.682,3.625,3.62,5.4,7.172,4.15,0.08063614826568076516648247034,
2026-05-21 11:00:22,reed_warbler_observed.csv,1.167,2.891,5.936,5.594,5.465,2.61,6.46,11.405,2.97,0.1389168259755253456418981684,
2026-05-21 11:00:23,reed_warbler_observed.csv,1.023,1.541,3.971,4.225,9.3,3.79,5.0,2.478,4.78,0.07012667272210226606987661863,
2026-05-21 11:00:23,reed_warbler_observed.csv,4.659,1.773,7.671,4.396,5.202,2.77,5.19,14.417,3.53,0.09361951710922816225974649012,
2026-05-21 11:00:23,reed_warbler_observed.csv,2.977,1.157,4.172,0.994,7.118,2.27,5.14,2.523,4.82,0.1037410033649523755113297214,
2026-05-21 11:00:23,reed_warbler_observed.csv,1.662,1.644,5.871,7.277,1.918,2.35,6.4,2.716,5.04,0.07835162412454916171791989432,
2026-05-21 11:00:24,reed_warbler_observed.csv,4.488,1.152,4.481,7.041,6.739,3.86,5.52,8.607,4.14,0.1010089263091853112247060199,
2026-05-21 11:00:24,reed_warbler_observed.csv,2.761,1.666,5.855,4.654,2.578,3.41,5.89,11.731,5.13,0.1175742667956736364429805608,
2026-05-21 11:00:24,reed_warbler_observed.csv,4.895,2.931,4.518,5.891,1.897,2.29,6.9,7.366,3.19,0.1357389973022252591348976470,
2026-05-21 11:00:25,reed_warbler_observed.csv,1.683,2.322,3.677,7.12,2.99,2.53,5.72,6.346,2.71,0.1737203207993338335440844737,
2026-05-21 11:00:25,reed_warbler_observed.csv,4.205,2.329,6.938,2.661,2.909,3.99,5.64,4.717,5.18,0.1422196880829482988511656669,
2026-05-21 11:00:25,reed_warbler_observed.csv,4.891,0.884,4.829,5.105,1.723,2.39,5.07,9.832,3.8,0.1511538938184724947174996108,
2026-05-21 11:00:25,reed_warbler_observed.csv,4.557,0.992,3.483,4.24,1.459,3.39,5.26,12.51,4.91,0.07163515243315864361303189273,
2026-05-21 11:00:26,reed_warbler_observed.csv,4.378,0.853,3.913,1.022,7.876,2.46,5.18,14.594,3.73,0.1038664812218232729068896271,
2026-05-21 11:00:26,reed_warbler_observed.csv,2.359,0.682,2.373,2.815,3.516,3.06,6.48,3.465,3.92,0.0379695908650585747210479934,
2026-05-21 11:00:26,reed_warbler_observed.csv,1.098,1.8,4.976,3.117,7.471,3.8,6.64,14.906,4.95,0.1090468984220193297968967750,
2026-05-21 11:00:26,reed_warbler_observed.csv,3.445,2.181,4.822,2.611,8.269,2.63,5.28,2.485,4.24,0.1012306188831233737293950273,
2026-05-21 11:00:27,reed_warbler_observed.csv,3.601,2.776,6.243,0.861,7.518,2.35,6.07,10.119,3.78,0.1125230001982918721899531498,
2026-05-21 11:00:27,reed_warbler_observed.csv,4.939,0.849,5.955,4.93,7.365,2.91,5.31,5.362,2.98,0.1244787348900890614489724272,
2026-05-21 11:00:27,reed_warbler_observed.csv,3.001,2.06,3.892,3.091,5.352,3.78,5.57,6.699,4.79,0.09224005301736612487617611475,
2026-05-21 11:00:28,reed_warbler_observed.csv,1.633,2.631,4.831,4.426,4.194,2.19,5.2,12.876,3.18,0.1850398379738293497884530301,
2026-05-21 11:00:28,reed_warbler_observed.csv,3.888,1.033,2.227,6.724,9.159,3.3,5.66,2.468,4.18,0.06773965157524706970998229833,
2026-05-21 11:00:28,reed_warbler_observed.csv,1.687,2.573,3.478,7.126,6.355,2.43,6.93,3.345,4.01,0.07625834929456781138911438751,
2026-05-21 11:00:28,reed_warbler_observed.csv,1.701,2.51,1.334,1.931,7.614,3.5,5.03,7.07,4.22,0.06835778517600126165563048968,
2026-05-21 11:00:29,reed_warbler_observed.csv,3.076,0.774,6.187,6.243,6.698,2.97,5.88,12.868,3.02,0.1277648791176193780291488407,
2026-05-21 11:00:29,reed_warbler_observed.csv,1.319,1.665,5.395,0.379,8.181,3.94,5.37,6.836,4.47,0.1114426900867309765334445475,
2026-05-21 11:00:29,reed_warbler_observed.csv,2.351,2.839,6.977,6.697,1.225,2.89,6.15,6.606,5.16,0.06568049795621757211243611026,
2026-05-21 11:00:30,reed_warbler_observed.csv,4.117,2.131,1.221,2.738,4.875,3.65,5.62,1.508,4.16,0.06472935551238319995067584259,
2026-05-21 11:00:30,reed_warbler_observed.csv,1.2,0.744,4.643,5.055,6.426,2.43,6.58,12.699,5.41,0.09504267134286611007043402915,
2026-05-21 11:00:30,reed_warbler_observed.csv,2.558,2.081,4.386,5.244,4.372,2.3,5.57,5.515,5.34,0.1149095950521465847078609237,
2026-05-21 11:00:30,reed_warbler_observed.csv,1.572,2.328,7.967,6.88,3.701,3.13,6.16,2.828,3.3,0.07348286591580544267097482875,
2026-05-21 11:00:31,reed_warbler_observed.csv,3.878,0.76,7.727,3.721,1.897,3.43,5.16,9.542,4.51,0.07004502430177244328180577827,
2026-05-21 11:00:31,reed_warbler_observed.csv,1.685,1.249,4.42,5.876,8.473,3.91,5.7,6.514,4.91,0.1548507539342625048630550864,
2026-05-21 11:00:31,reed_warbler_observed.csv,1.308,1.793,1.584,0.962,5.068,2.99,5.79,1.963,4.34,0.07168057015812848868755582620,
2026-05-21 11:00:31,reed_warbler_observed.csv,3.87,1.696,5.877,1.534,7.535,3.2,5.1,7.514,4.33,0.06856213475868527975430510802,
2026-05-21 11:00:32,reed_warbler_observed.csv,1.028,2.784,4.555,7.596,2.856,3.03,5.03,9.643,3.08,0.1261108578057779853444426675,
2026-05-21 11:00:32,reed_warbler_observed.csv,3.323,1.682,5.764,5.789,2.507,2.29,6.6,12.832,4.96,0.08728312747354315322718765691,
2026-05-21 11:00:32,reed_warbler_observed.csv,2.807,2.804,4.249,2.015,6.711,2.48,5.87,3.469,4.3,0.09019048367995967619603034125,
2026-05-21 11:00:33,reed_warbler_observed.csv,1.854,2.772,1.14,4.811,8.833,2.17,5.37,11.422,4.03,0.1370779935661393092045062748,
2026-05-21 11:00:33,reed_warbler_observed.csv,1.339,1.517,3.898,7.585,6.684,2.97,5.68,8.131,3.2,0.1238015791012894392621213254,
2026-05-21 11:00:33,reed_warbler_observed.csv,2.123,2.409,2.381,6.199,6.691,2.63,6.33,8.918,3.14,0.1368848232399877973145258552,
2026-05-21 11:00:33,reed_warbler_observed.csv,1.211,0.998,5.978,5.516,8.733,2.54,6.97,1.89,3.32,0.08050293086172735980856845370,
2026-05-21 11:00:34,reed_warbler_observed.csv,4.653,1.352,1.907,2.658,8.618,3.71,6.35,9.422,4.39,0.08007621726753494621162401288,
2026-05-21 11:00:34,reed_warbler_observed.csv,2.18,1.827,5.77,4.071,7.365,3.58,6.43,13.994,4.88,0.08890283135294427980573922151,
2026-05-21 11:00:34,reed_warbler_observed.csv,2.787,1.858,3.224,5.238,1.813,3.33,6.26,7.422,3.41,0.04098693538124859993058461568,
2026-05-21 11:00:35,reed_warbler_observed.csv,1.747,2.064,5.739,4.966,6.399,3.28,5.83,2.933,5.39,0.06028666589548994747085829791,
2026-05-21 11:00:35,reed_warbler_observed.csv,4.166,2.045,1.59,0.382,2.175,3.49,5.91,2.492,4.69,0.07400374650300644972435139861,
2026-05-21 11:00:35,reed_warbler_observed.csv,3.199,2.475,6.847,6.368,3.277,3.67,6.49,5.493,5.21,0.08814386173162230161310476402,
2026-05-21 11:00:35,reed_warbler_observed.csv,4.417,1.297,6.635,5.134,2.45,3.51,6.34,13.787,4.61,0.05084907460233489486065110446,
2026-05-21 11:00:36,reed_warbler_observed.csv,2.899,1.188,3.431,2.483,9.102,2.35,5.53,3.728,3.3,0.1385569676550508037202259719,
2026-05-21 11:00:36,reed_warbler_observed.csv,3.895,2.986,4.612,6.776,1.325,2.76,5.28,7.174,3.67,0.1456211338681861600440893155,
2026-05-21 11:00:36,reed_warbler_observed.csv,4.095,2.755,1.166,6.278,7.506,2.76,6.21,2.632,4.9,0.09080358005653128471310348468,
