TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 11:03:10,whitethroat_observed.csv,3.407,0.675,2.045,4.311,9.27,4.42,7.99,5.906,6.44,0.1050254300026422683707024232,
2026-05-21 11:03:10,whitethroat_observed.csv,4.131,1.312,4.351,4.084,8.655,3.68,7.86,1.797,5.16,0.04312314936855029799069916935,
2026-05-21 11:03:10,whitethroat_observed.csv,1.15,0.934,4.82,1.488,1.032,4.87,7.57,2.582,6.02,0.1240500337257563949819614077,
2026-05-21 11:03:11,whitethroat_observed.csv,2.84,2.056,1.142,7.847,3.003,4.99,7.86,2.658,5.49,0.03112684349336395744273360162,
2026-05-21 11:03:11,whitethroat_observed.csv,2.224,2.065,2.39,4.91,2.314,3.27,7.17,5.465,6.28,0.09345273751611553871369435650,
2026-05-21 11:03:11,whitethroat_observed.csv,4.153,2.548,2.138,7.858,9.462,3.41,6.46,7.89,4.64,0.1219630672193926066006938742,
2026-05-21 11:03:12,whitethroat_observed.csv,3.433,1.201,6.407,0.582,1.499,4.91,6.89,4.075,5.5,0.09911346206209438339029456880,
2026-05-21 11:03:12,whitethroat_observed.csv,1.83,1.491,4.713,5.158,9.085,3.07,7.85,4.059,5.43,0.07319683911302288410232442767,
2026-05-21 11:03:12,whitethroat_observed.csv,3.623,1.287,7.036,0.188,5.215,4.09,7.81,6.58,4.73,0.09460273696653031480483954938,
2026-05-21 11:03:12,whitethroat_observed.csv,1.477,1.977,2.559,1.806,7.111,4.64,6.71,3.344,4.93,0.01691430739194754716994505445,
2026-05-21 11:03:13,whitethroat_observed.csv,3.007,2.857,4.713,7.538,8.195,3.44,7.01,6.202,5.05,0.08995388558532133599121355121,
2026-05-21 11:03:13,whitethroat_observed.csv,1.061,1.214,1.232,6.38,7.177,3.24,7.24,12.99,5.2,0.06219336476743872376644303808,
2026-05-21 11:03:13,whitethroat_observed.csv,2.032,1.9,3.965,5.204,4.349,3.26,7.41,6.583,5.23,0.07320273056530823855604801691,
2026-05-21 11:03:13,whitethroat_observed.csv,2.249,2.335,4.307,4.418,3.799,4.77,6.55,12.411,5.59,0.06368376912584675382400540170,
2026-05-21 11:03:14,whitethroat_observed.csv,3.918,2.959,6.082,4.61,1.952,4.36,7.05,7.182,5.44,0.02569361743267812542669754454,
2026-05-21 11:03:14,whitethroat_observed.csv,3.69,2.188,4.426,5.146,6.481,3.12,7.56,3.719,5.68,0.08857542700268426752320797437,
2026-05-21 11:03:14,whitethroat_observed.csv,4.771,0.987,3.251,3.086,8.231,3.68,6.92,5.084,5.28,0.05006976690386828421390804849,
2026-05-21 11:03:15,whitethroat_observed.csv,1.501,1.458,7.802,3.663,6.034,4.83,6.81,8.61,4.92,0.05866471111587027808573444226,
2026-05-21 11:03:15,whitethroat_observed.csv,1.204,1.272,1.076,0.753,6.006,4.99,6.65,8.949,5.01,0.09381791350598393954056719929,
2026-05-21 11:03:15,whitethroat_observed.csv,2.409,2.157,2.479,4.291,7.069,3.56,7.04,6.386,5.21,0.06493591890000881481471239944,
2026-05-21 11:03:15,whitethroat_observed.csv,3.987,2.606,3.616,6.506,9.029,3.63,6.76,3.454,4.23,0.1202970064751355793438987746,
2026-05-21 11:03:16,whitethroat_observed.csv,3.724,0.65,4.821,2.299,6.48,4.97,6.38,8.67,5.12,0.06901966459610315085433365365,
2026-05-21 11:03:16,whitethroat_observed.csv,3.901,2.33,4.638,0.937,5.827,3.26,6.01,5.222,4.74,0.09741603724883170814350955628,
2026-05-21 11:03:16,whitethroat_observed.csv,3.908,2.511,7.372,6.34,5.236,3.99,7.91,2.157,5.98,0.09336030192623670754905511666,
2026-05-21 11:03:17,whitethroat_observed.csv,1.152,1.709,5.832,2.472,7.377,4.82,7.23,6.627,6.42,0.1145842476019436612152647890,
2026-05-21 11:03:17,whitethroat_observed.csv,1.243,2.65,2.792,3.349,9.25,4.12,6.78,3.86,4.89,0.03588667332836698864112316525,
2026-05-21 11:03:17,whitethroat_observed.csv,1.075,2.668,5.881,2.045,1.885,3.92,7.1,13.99,5.91,0.06392271061042405044865702248,
2026-05-21 11:03:17,whitethroat_observed.csv,2.519,1.607,1.182,6.538,5.151,3.49,7.24,9.66,5.51,0.06697247812863457585917811482,
2026-05-21 11:03:18,whitethroat_observed.csv,1.097,2.856,3.63,6.585,7.509,3.68,6.97,4.156,5.88,0.07551026409359932063841148405,
2026-05-21 11:03:18,whitethroat_observed.csv,4.777,1.939,7.554,2.233,5.548,3.82,6.44,3.303,6.11,0.03706631072614284132327666121,
2026-05-21 11:03:18,whitethroat_observed.csv,4.515,2.124,1.62,3.16,6.164,3.4,6.05,9.277,4.65,0.1175872926016207588111591131,
2026-05-21 11:03:19,whitethroat_observed.csv,3.341,1.731,6.826,2.457,1.228,3.98,7.68,13.857,6.37,0.09881245817776473751478986352,
2026-05-21 11:03:19,whitethroat_observed.csv,3.371,0.576,3.582,4.421,2.04,4.91,6.74,2.905,5.55,0.05389991249324144460716197135,
2026-05-21 11:03:19,whitethroat_observed.csv,2.24,2.154,3.24,2.052,8.749,3.93,6.35,12.324,5.45,0.04771178004329877339332035931,
2026-05-21 11:03:19,whitethroat_observed.csv,1.908,2.357,2.144,2.472,9.777,4.72,7.07,8.136,5.97,0.08052307859178182825589681663,
2026-05-21 11:03:20,whitethroat_observed.csv,2.892,2.454,4.126,5.393,8.779,4.24,6.64,1.552,5.28,0.04265682945957287074356201861,
