TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 13:26:25,meadow_brown_butterfly_observed.csv,2.58,1.985,7.962,5.897,2.56,4.82,8.22,4.054,5.04,0.1223598772696910279358536966,
2026-05-21 13:26:25,meadow_brown_butterfly_observed.csv,3.4,1.345,1.617,0.612,3.86,3.76,9.09,12.135,4.69,0.1263905086605238823612929360,
2026-05-21 13:26:25,meadow_brown_butterfly_observed.csv,2.691,2.758,5.863,6.814,4.034,4.56,9.18,14.571,5.95,0.09989290169867236386410584422,
2026-05-21 13:26:26,meadow_brown_butterfly_observed.csv,3.881,2.437,5.618,5.837,3.923,4.88,9.13,8.799,5.24,0.1442523851600127126838189247,
2026-05-21 13:26:26,meadow_brown_butterfly_observed.csv,2.623,0.822,5.031,3.734,8.699,3.38,9.06,1.421,4.99,0.2019838285243475383119157406,
2026-05-21 13:26:26,meadow_brown_butterfly_observed.csv,1.278,2.138,7.385,2.0,1.741,4.52,8.94,8.549,6.31,0.06496396138205421049227631589,
2026-05-21 13:26:26,meadow_brown_butterfly_observed.csv,1.68,0.662,2.945,3.997,1.709,4.37,9.91,8.603,5.75,0.09445151975101912579365322325,
2026-05-21 13:26:27,meadow_brown_butterfly_observed.csv,3.572,1.85,4.433,1.338,8.567,3.41,8.02,13.848,5.14,0.2061686174461726029529414098,
2026-05-21 13:26:27,meadow_brown_butterfly_observed.csv,4.546,2.805,3.028,7.3,5.027,3.75,9.83,2.925,5.91,0.1476815959954445218284164267,
2026-05-21 13:26:27,meadow_brown_butterfly_observed.csv,4.797,2.227,3.2,0.584,3.413,3.65,8.2,1.185,7.22,0.06211857116861818955804837961,
2026-05-21 13:26:27,meadow_brown_butterfly_observed.csv,2.16,1.423,5.242,3.385,1.805,4.79,8.58,10.657,5.55,0.09715972689713770252653766734,
2026-05-21 13:26:28,meadow_brown_butterfly_observed.csv,4.247,1.148,5.613,1.875,9.75,4.34,8.23,7.176,5.78,0.07552833653427956745497719177,
2026-05-21 13:26:28,meadow_brown_butterfly_observed.csv,1.23,0.675,2.761,1.985,4.846,4.23,9.12,12.125,5.64,0.05558914715485987039712616468,
2026-05-21 13:26:28,meadow_brown_butterfly_observed.csv,2.222,0.954,2.522,4.358,3.512,3.84,9.77,6.802,5.14,0.1649769289288175952984603551,
2026-05-21 13:26:29,meadow_brown_butterfly_observed.csv,4.077,2.211,3.738,1.914,9.614,3.87,9.12,9.709,5.81,0.086409511241903767178555633,
2026-05-21 13:26:29,meadow_brown_butterfly_observed.csv,2.217,0.642,2.458,1.333,5.192,3.48,9.45,10.293,5.55,0.09898815161892696037837223850,
2026-05-21 13:26:29,meadow_brown_butterfly_observed.csv,3.849,1.381,2.42,1.39,8.78,4.27,9.61,8.055,5.5,0.06078958861959364264875267898,
2026-05-21 13:26:29,meadow_brown_butterfly_observed.csv,4.683,2.028,2.164,4.628,7.179,4.69,9.71,12.13,7.08,0.06816887717847107106236893323,
2026-05-21 13:26:30,meadow_brown_butterfly_observed.csv,4.968,2.067,7.231,3.912,7.826,4.96,9.31,14.437,7.18,0.05805257455147793845274651788,
2026-05-21 13:26:30,meadow_brown_butterfly_observed.csv,1.848,1.844,3.533,6.514,6.927,4.38,9.48,14.273,4.56,0.1778844422913494069360834619,
2026-05-21 13:26:30,meadow_brown_butterfly_observed.csv,1.086,1.063,2.997,6.223,1.166,3.1,8.1,12.622,6.76,0.1754573120699308628980075123,
2026-05-21 13:26:31,meadow_brown_butterfly_observed.csv,2.879,1.448,4.014,0.114,8.754,3.91,8.53,11.936,5.93,0.08313327213398322572311691975,
2026-05-21 13:26:31,meadow_brown_butterfly_observed.csv,1.471,1.592,1.853,7.194,8.729,4.23,8.88,8.31,6.2,0.08836613254896051247204164080,
2026-05-21 13:26:31,meadow_brown_butterfly_observed.csv,3.422,0.868,6.738,6.652,4.793,4.05,8.01,7.722,6.75,0.08532670445665618639423592676,
2026-05-21 13:26:32,meadow_brown_butterfly_observed.csv,4.137,2.653,4.967,1.604,9.07,3.69,8.91,13.402,6.16,0.1061018025912808371577783701,
2026-05-21 13:26:32,meadow_brown_butterfly_observed.csv,2.206,2.926,5.776,3.571,4.135,3.49,8.17,11.443,6.82,0.1181799393522141839907880987,
2026-05-21 13:26:32,meadow_brown_butterfly_observed.csv,1.169,1.664,3.4,4.665,1.131,3.36,8.51,9.041,4.57,0.2541725202439495793906559273,
2026-05-21 13:26:32,meadow_brown_butterfly_observed.csv,2.274,1.309,4.327,6.734,4.716,3.25,9.0,9.508,6.44,0.1249690841173849106457941940,
2026-05-21 13:26:33,meadow_brown_butterfly_observed.csv,1.898,1.158,2.497,4.644,8.129,4.32,8.26,8.46,5.6,0.1114607118058230835254982381,
2026-05-21 13:26:33,meadow_brown_butterfly_observed.csv,2.765,1.775,1.411,1.074,3.92,3.67,8.31,14.873,7.09,0.08815056244430345460477566159,
2026-05-21 13:26:33,meadow_brown_butterfly_observed.csv,1.211,2.465,2.318,5.878,8.251,3.16,9.11,7.532,5.52,0.2273939614628085421658883144,
2026-05-21 13:26:34,meadow_brown_butterfly_observed.csv,4.533,2.519,6.646,3.154,6.651,4.08,9.5,11.237,6.64,0.05396093916328887302038310151,
2026-05-21 13:26:34,meadow_brown_butterfly_observed.csv,1.524,1.184,6.065,7.455,9.931,3.49,9.27,1.89,7.42,0.06427845729643611136872178008,
2026-05-21 13:26:34,meadow_brown_butterfly_observed.csv,3.549,2.565,2.919,7.555,5.067,4.64,9.58,13.263,5.91,0.07864059507797033281028818278,
2026-05-21 13:26:34,meadow_brown_butterfly_observed.csv,4.79,2.173,5.82,4.614,7.537,4.63,9.35,8.918,5.92,0.05882293187266849124074463822,
2026-05-21 13:26:35,meadow_brown_butterfly_observed.csv,2.155,0.964,1.446,5.946,5.589,3.37,8.23,13.485,4.91,0.2845547714637372102839131702,
2026-05-21 13:26:35,meadow_brown_butterfly_observed.csv,1.129,0.579,5.66,7.512,9.372,4.57,8.51,6.789,4.98,0.2015153911649514772554125510,
2026-05-21 13:26:35,meadow_brown_butterfly_observed.csv,3.049,1.123,6.72,4.49,9.137,3.2,9.28,11.131,4.53,0.2790574152330810761360380572,
2026-05-21 13:26:36,meadow_brown_butterfly_observed.csv,1.435,1.916,6.974,7.743,4.289,4.99,8.45,2.767,7.3,0.07676427284983963878091552264,
2026-05-21 13:26:36,meadow_brown_butterfly_observed.csv,3.152,2.741,5.519,1.411,7.744,4.38,9.08,6.047,7.2,0.05972252194391583348607979664,
2026-05-21 13:26:36,meadow_brown_butterfly_observed.csv,2.132,1.098,3.459,5.893,3.225,3.74,8.13,6.937,6.8,0.07681006401771216911958159031,
2026-05-21 13:26:36,meadow_brown_butterfly_observed.csv,2.129,2.632,7.513,2.479,3.747,3.25,9.82,13.039,5.23,0.1983487565147852640196524301,
2026-05-21 13:26:37,meadow_brown_butterfly_observed.csv,4.204,1.264,1.593,0.46,7.59,3.92,8.39,12.608,5.11,0.1205957558970085281224050479,
2026-05-21 13:26:37,meadow_brown_butterfly_observed.csv,1.443,2.195,5.515,6.91,2.905,4.53,8.7,10.288,6.49,0.07556540141442518801886783486,
2026-05-21 13:26:37,meadow_brown_butterfly_observed.csv,4.211,2.377,4.903,4.581,8.854,4.79,8.64,5.45,5.98,0.06641079688893874900825416782,
2026-05-21 13:26:38,meadow_brown_butterfly_observed.csv,2.506,1.441,6.583,0.464,4.274,4.77,8.91,4.664,6.84,0.05900057530444190610217041158,
2026-05-21 13:26:38,meadow_brown_butterfly_observed.csv,4.628,1.712,6.548,4.627,7.359,4.38,9.31,12.163,5.13,0.1593045591275072953348789381,
2026-05-21 13:26:38,meadow_brown_butterfly_observed.csv,3.099,1.556,1.648,7.367,4.408,3.9,9.0,5.575,7.45,0.07202010077539870914311241806,
2026-05-21 13:26:39,meadow_brown_butterfly_observed.csv,4.742,2.8,4.144,7.095,8.748,4.28,8.05,4.926,7.23,0.06293667108747358674593326610,
2026-05-21 13:26:39,meadow_brown_butterfly_observed.csv,4.551,2.684,4.683,0.828,6.356,3.56,8.59,10.844,5.48,0.1779191981375727792748199857,
2026-05-21 13:26:39,meadow_brown_butterfly_observed.csv,4.89,1.581,2.842,2.392,7.064,4.48,9.39,1.792,5.79,0.03773867228073321302783796297,
2026-05-21 13:26:39,meadow_brown_butterfly_observed.csv,4.531,0.84,7.181,6.364,1.871,3.28,9.25,9.39,6.41,0.1657976769754332658849665821,
2026-05-21 13:26:40,meadow_brown_butterfly_observed.csv,3.446,2.604,4.289,5.433,7.097,3.06,9.62,1.289,5.16,0.2416043677054616776672601851,
2026-05-21 13:26:40,meadow_brown_butterfly_observed.csv,1.542,1.877,4.198,2.881,7.793,3.87,9.48,13.761,4.67,0.1875405868725194857528267335,
2026-05-21 13:26:40,meadow_brown_butterfly_observed.csv,1.664,1.171,6.341,1.028,3.591,3.75,9.71,13.025,7.3,0.07524617716318948436423602119,
2026-05-21 13:26:40,meadow_brown_butterfly_observed.csv,3.369,0.936,7.048,1.102,1.692,3.75,8.01,3.623,7.42,0.05482681366912124633396278405,
2026-05-21 13:26:41,meadow_brown_butterfly_observed.csv,4.174,1.194,6.226,5.907,1.27,4.58,8.72,9.38,7.48,0.04416466674063893554541177092,
2026-05-21 13:26:41,meadow_brown_butterfly_observed.csv,4.086,1.261,6.963,2.709,1.901,3.7,8.87,11.358,6.69,0.07843225295342601160034768179,
2026-05-21 13:26:41,meadow_brown_butterfly_observed.csv,3.904,2.638,4.71,6.421,1.138,3.46,8.02,11.165,5.39,0.2706916135480538884097906909,
2026-05-21 13:26:42,meadow_brown_butterfly_observed.csv,2.718,1.866,1.29,1.582,1.878,3.42,8.26,11.915,7.22,0.1135370280418230124535551637,
2026-05-21 13:26:42,meadow_brown_butterfly_observed.csv,2.65,0.92,3.534,4.569,5.183,3.49,9.92,6.721,6.36,0.08468914568500855659498903605,
2026-05-21 13:26:42,meadow_brown_butterfly_observed.csv,1.418,2.788,3.327,1.55,6.498,4.11,8.22,8.884,6.58,0.08176783159137258558993107923,
