method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,3.68582E-12,0.1,0,0.01,1.80407E-12
RungeKutta4,2,0.2,1.22868E-11,0.1,0,0.01,6.01392E-12
RungeKutta4,3,0.3,3.32360E-11,0.1,0,0.01,1.62678E-11
RungeKutta4,4,0.4,8.30950E-11,0.1,0,0.01,4.06718E-11
RungeKutta4,5,0.5,1.98250E-10,0.1,0,0.01,9.70358E-11
RungeKutta4,6,0.6,4.57348E-10,0.1,0,0.01,2.23854E-10
RungeKutta4,7,0.7,1.02785E-9,0.1,0,0.01,5.03093E-10
RungeKutta4,8,0.8,2.26171E-9,0.1,0,0.01,1.10702E-9
RungeKutta4,9,0.9,4.89046E-9,0.1,0,0.01,2.39369E-9
RungeKutta4,10,1.0,1.04198E-8,0.1,0,0.01,5.10009E-9
RungeKutta4,11,1.1,2.19226E-8,0.1,0,0.01,1.07303E-8
RungeKutta4,12,1.2,4.56223E-8,0.1,0,0.01,2.23304E-8
RungeKutta4,13,1.3,9.40381E-8,0.1,0,0.01,4.60281E-8
RungeKutta4,14,1.4,1.92200E-7,0.1,0,0.01,9.40746E-8
RungeKutta4,15,1.5,3.89873E-7,0.1,0,0.01,1.90828E-7
RungeKutta4,16,1.6,7.85508E-7,0.1,0,0.01,3.84476E-7
RungeKutta4,17,1.7,0.00000157294,0.1,0,0.01,7.69894E-7
RungeKutta4,18,1.8,0.00000313220,0.1,0,0.01,0.00000153309
RungeKutta4,19,1.9,0.00000620535,0.1,0,0.01,0.00000303728
RungeKutta4,20,2.0,0.0000122360,0.1,0,0.01,0.00000598906
RungeKutta4,21,2.1,0.0000240224,0.1,0,0.01,0.0000117580
RungeKutta4,22,2.2,0.0000469707,0.1,0,0.01,0.0000229904
RungeKutta4,23,2.3,0.0000914912,0.1,0,0.01,0.0000447815
RungeKutta4,24,2.4,0.000177561,0.1,0,0.01,0.0000869093
RungeKutta4,25,2.5,0.000343381,0.1,0,0.01,0.000168072
RungeKutta4,26,2.6,0.000661706,0.1,0,0.01,0.000323880
RungeKutta4,27,2.7,0.00127035,0.1,0,0.01,0.000621788
RungeKutta4,28,2.8,0.00242849,0.1,0,0.01,0.00118865
RungeKutta4,29,2.9,0.00461794,0.1,0,0.01,0.00226031
RungeKutta4,30,3.0,0.00871794,0.1,0,0.01,0.00426710
RungeKutta4,31,3.1,0.0162831,0.1,0,0.01,0.00796996
RungeKutta4,32,3.2,0.0299179,0.1,0,0.01,0.0146437
RungeKutta4,33,3.3,0.0536069,0.1,0,0.01,0.0262385
RungeKutta4,34,3.4,0.0925824,0.1,0,0.01,0.0453156
RungeKutta4,35,3.5,0.152140,0.1,0,0.01,0.0744667
RungeKutta4,36,3.6,0.235386,0.1,0,0.01,0.115212
RungeKutta4,37,3.7,0.341281,0.1,0,0.01,0.167044
RungeKutta4,38,3.8,0.464698,0.1,0,0.01,0.227452
RungeKutta4,39,3.9,0.598401,0.1,0,0.01,0.292894
RungeKutta4,40,4.0,0.735318,0.1,0,0.01,0.359910
RungeKutta4,41,4.1,0.869902,0.1,0,0.01,0.425784
RungeKutta4,42,4.2,0.998463,0.1,0,0.01,0.488710
RungeKutta4,43,4.3,1.11891,0.1,0,0.01,0.547664
RungeKutta4,44,4.4,1.23033,0.1,0,0.01,0.602200
RungeKutta4,45,4.5,1.33256,0.1,0,0.01,0.652237
RungeKutta4,46,4.6,1.42587,0.1,0,0.01,0.697909
RungeKutta4,47,4.7,1.51073,0.1,0,0.01,0.739445
RungeKutta4,48,4.8,1.58774,0.1,0,0.01,0.777138
RungeKutta4,49,4.9,1.65747,0.1,0,0.01,0.811268
RungeKutta4,50,5.0,1.72048,0.1,0,0.01,0.842109
RungeKutta4,51,5.1,1.77726,0.1,0,0.01,0.869901
RungeKutta4,52,5.2,1.82824,0.1,0,0.01,0.894854
RungeKutta4,53,5.3,1.87377,0.1,0,0.01,0.917139
RungeKutta4,54,5.4,1.91412,0.1,0,0.01,0.936889
RungeKutta4,55,5.5,1.94946,0.1,0,0.01,0.954186
RungeKutta4,56,5.6,1.97985,0.1,0,0.01,0.969061
RungeKutta4,57,5.7,2.00513,0.1,0,0.01,0.981435
RungeKutta4,58,5.8,2.02486,0.1,0,0.01,0.991092
RungeKutta4,59,5.9,2.03808,0.1,0,0.01,0.997562
RungeKutta4,60,6.0,2.04306,0.1,0,0.01,1
RungeKutta4,61,6.1,2.03679,0.1,0,0.01,0.996931
RungeKutta4,62,6.2,2.01445,0.1,0,0.01,0.985996
RungeKutta4,63,6.3,1.96904,0.1,0,0.01,0.963770
RungeKutta4,64,6.4,1.89202,0.1,0,0.01,0.926072
RungeKutta4,65,6.5,1.77630,0.1,0,0.01,0.869431
RungeKutta4,66,6.6,1.62191,0.1,0,0.01,0.793863
RungeKutta4,67,6.7,1.44083,0.1,0,0.01,0.705231
RungeKutta4,68,6.8,1.25464,0.1,0,0.01,0.614098
RungeKutta4,69,6.9,1.08473,0.1,0,0.01,0.530934
RungeKutta4,70,7.0,0.943606,0.1,0,0.01,0.461859
RungeKutta4,71,7.1,0.833674,0.1,0,0.01,0.408052
RungeKutta4,72,7.2,0.751013,0.1,0,0.01,0.367592
RungeKutta4,73,7.3,0.689412,0.1,0,0.01,0.337441
RungeKutta4,74,7.4,0.642786,0.1,0,0.01,0.314619
RungeKutta4,75,7.5,0.606045,0.1,0,0.01,0.296636
RungeKutta4,76,7.6,0.575164,0.1,0,0.01,0.281521
RungeKutta4,77,7.7,0.546842,0.1,0,0.01,0.267658
RungeKutta4,78,7.8,0.518082,0.1,0,0.01,0.253581
RungeKutta4,79,7.9,0.485760,0.1,0,0.01,0.237761
RungeKutta4,80,8.0,0.446406,0.1,0,0.01,0.218499
RungeKutta4,81,8.1,0.396650,0.1,0,0.01,0.194145
RungeKutta4,82,8.2,0.334899,0.1,0,0.01,0.163920
RungeKutta4,83,8.3,0.263949,0.1,0,0.01,0.129193
RungeKutta4,84,8.4,0.191934,0.1,0,0.01,0.0939444
RungeKutta4,85,8.5,0.128758,0.1,0,0.01,0.0630221
RungeKutta4,86,8.6,0.0805508,0.1,0,0.01,0.0394265
RungeKutta4,87,8.7,0.0477358,0.1,0,0.01,0.0233649
RungeKutta4,88,8.8,0.0271990,0.1,0,0.01,0.0133129
RungeKutta4,89,8.9,0.0150729,0.1,0,0.01,0.00737761
RungeKutta4,90,9.0,0.00818975,0.1,0,0.01,0.00400857
RungeKutta4,91,9.1,0.00438625,0.1,0,0.01,0.00214690
RungeKutta4,92,9.2,0.00232370,0.1,0,0.01,0.00113736
RungeKutta4,93,9.3,0.00122041,0.1,0,0.01,0.000597344
RungeKutta4,94,9.4,0.000636343,0.1,0,0.01,0.000311466
RungeKutta4,95,9.5,0.000329710,0.1,0,0.01,0.000161380
RungeKutta4,96,9.6,0.000169851,0.1,0,0.01,0.0000831356
RungeKutta4,97,9.7,0.0000870213,0.1,0,0.01,0.0000425936
RungeKutta4,98,9.8,0.0000443458,0.1,0,0.01,0.0000217056
RungeKutta4,99,9.9,0.0000224768,0.1,0,0.01,0.0000110015
RungeKutta4,100,10.0,0.0000113292,0.1,0,0.01,0.00000554521
RungeKutta4,101,10.1,0.00000567728,0.1,0,0.01,0.00000277881
RungeKutta4,102,10.2,0.00000282745,0.1,0,0.01,0.00000138393
RungeKutta4,103,10.3,0.00000139881,0.1,0,0.01,6.84664E-7
RungeKutta4,104,10.4,6.87045E-7,0.1,0,0.01,3.36282E-7
RungeKutta4,105,10.5,3.34788E-7,0.1,0,0.01,1.63866E-7
RungeKutta4,106,10.6,1.61713E-7,0.1,0,0.01,7.91523E-8
RungeKutta4,107,10.7,7.73525E-8,0.1,0,0.01,3.78611E-8
RungeKutta4,108,10.8,3.65960E-8,0.1,0,0.01,1.79123E-8
RungeKutta4,109,10.9,1.71000E-8,0.1,0,0.01,8.36980E-9
RungeKutta4,110,11.0,7.8781E-9,0.1,0,0.01,3.85603E-9
RungeKutta4,111,11.1,3.57135E-9,0.1,0,0.01,1.74804E-9
RungeKutta4,112,11.2,1.58937E-9,0.1,0,0.01,7.77936E-10
