TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 15:20:51,common_cleavers_observed.csv,0.4419872054990400898924119738,0.254,3.265,3.664,7.315,0.871,6.36,13.71,0.211,6.71,9.251,0.073,0.621,0.001,4.41,11.45,10.37,5.992,13.732,12.545,14.918,2.912,3.388,2.436,0.247,1.32,4.56,4.354,6.74,21.645,20.008,37.081,2.935,0.892,0.293,12.13,48.746,83.448,14.045
2026-05-21 15:20:51,common_cleavers_observed.csv,0.5495779194567951828772559506,0.064,2.019,4.376,4.29,0.407,7.37,10.626,0.075,6.58,10.119,0.057,0.729,0.026,5.44,9.71,11.05,10.904,9.318,1.434,17.201,11.196,9.067,13.325,0.07,1.75,4.94,5.814,7.18,23.627,25.669,50.839,0.499,1.679,0.26,12.006,104.480,194.977,13.983
2026-05-21 15:20:52,common_cleavers_observed.csv,4.024610240918527927475183786,0.115,1.866,0.138,0.432,0.233,7.29,13.828,0.153,6.68,21.844,0.035,0.273,0.026,3.51,10.86,8.36,7.83,6.896,1.438,12.354,5.074,8.414,1.733,0.057,1.09,3.55,4.202,7.34,21.731,13.971,10.923,17.019,1.047,0.257,12.045,103.998,194.797,13.198
2026-05-21 15:20:52,common_cleavers_observed.csv,3.270852230520808994825397207,0.309,2.499,2.482,5.528,0.334,6.38,4.293,0.188,6.57,11.362,0.041,0.345,0.015,5.85,11.1,8.86,9.862,13.474,13.605,13.342,8.200,7.384,9.015,0.024,1.76,3.88,7.11,7.18,16.953,3.110,2.617,3.602,1.689,0.303,12.179,78.412,152.231,4.593
2026-05-21 15:20:52,common_cleavers_observed.csv,4.374652912313154077077167235,0.081,3.261,2.591,3.354,0.061,7.09,15.894,0.05,6.56,21.62,0.026,0.023,0.0,3.74,11.16,9.24,5.12,17.189,15.628,18.75,3.846,3.616,4.075,0.025,2.43,4.02,4.817,7.5,10.833,30.502,48.375,12.628,1.649,0.087,12.187,81.452,148.132,14.773
2026-05-21 15:20:53,common_cleavers_observed.csv,1.556140733936897639956538542,0.034,0.356,0.527,1.357,0.385,7.25,13.638,0.113,7.5,10.697,0.035,0.288,0.044,5.58,10.55,10.85,2.305,18.551,17.102,20.000,2.140,2.006,2.275,0.168,2.37,3.57,6.228,6.86,8.171,26.554,46.108,7.001,1.036,0.165,12.003,97.418,189.906,4.931
2026-05-21 15:20:53,common_cleavers_observed.csv,3.618519871528074469802636051,0.143,2.087,4.55,2.616,0.763,6.97,4.787,0.035,6.86,9.679,0.01,0.049,0.03,3.95,10.08,10.52,4.064,13.201,19.457,6.945,5.803,9.739,1.867,0.005,1.95,4.6,7.444,7.54,17.11,31.369,58.711,4.027,1.397,0.198,12.298,112.014,218.682,5.347
2026-05-21 15:20:53,common_cleavers_observed.csv,10.77075864801047621581665547,0.333,2.629,1.201,4.663,0.791,7.11,15.558,0.179,7.0,10.569,0.066,0.055,0.039,5.78,11.88,8.33,9.593,7.340,8.052,6.627,5.570,5.011,6.13,0.219,1.82,4.35,4.137,6.86,9.8,13.023,8.425,17.621,1.703,0.166,12.007,60.422,114.055,6.788
2026-05-21 15:20:53,common_cleavers_observed.csv,0.3370404500130411760254149518,0.12,2.238,3.417,7.222,0.656,6.5,6.648,0.003,6.71,20.357,0.085,0.639,0.009,3.54,10.61,8.32,6.505,7.399,10.492,4.306,9.596,11.827,7.366,0.065,1.86,3.5,7.667,6.94,16.384,37.338,62.889,11.788,1.217,0.259,12.161,72.190,140.07,4.309
2026-05-21 15:20:54,common_cleavers_observed.csv,1.044621797030078786330163834,0.299,0.936,1.783,0.901,0.752,6.47,13.408,0.155,7.52,10.258,0.053,0.561,0.009,4.2,10.25,10.92,9.172,14.790,17.067,12.514,4.224,6.41,2.039,0.226,2.19,4.41,2.532,7.02,15.323,41.502,68.157,14.848,1.229,0.063,12.168,108.641,211.904,5.378
2026-05-21 15:20:54,common_cleavers_observed.csv,3.730066170153138297086537536,0.05,1.131,2.105,1.519,0.437,6.64,12.764,0.064,7.28,10.818,0.084,0.055,0.028,4.3,11.44,10.53,11.405,15.581,14.283,16.879,4.985,8.032,1.938,0.212,1.17,4.3,1.854,7.0,12.651,27.728,43.46,11.997,1.69,0.191,12.225,54.674,102.922,6.427
2026-05-21 15:20:54,common_cleavers_observed.csv,20.05946848234920276213987556,0.014,0.514,0.56,1.574,0.913,6.76,6.441,0.184,6.99,14.538,0.02,0.288,0.031,4.42,10.15,11.06,5.41,2.979,4.471,1.487,4.074,6.56,1.587,0.176,2.19,4.65,3.563,7.36,11.32,28.772,56.709,0.836,1.661,0.224,12.075,61.708,111.389,12.028
2026-05-21 15:20:55,common_cleavers_observed.csv,20.83651305290651651162048295,0.2,3.656,0.331,4.052,0.863,6.27,4.513,0.037,7.45,7.813,0.007,0.177,0.036,4.58,10.19,9.14,9.618,6.890,6.573,7.207,8.364,10.104,6.625,0.246,2.0,4.75,7.338,7.19,22.425,13.412,11.378,15.447,1.29,0.031,12.275,99.410,190.625,8.195
2026-05-21 15:20:55,common_cleavers_observed.csv,8.056773598971097664571203647,0.318,1.136,5.622,4.519,0.001,6.82,9.387,0.171,7.06,14.842,0.03,0.15,0.032,4.38,10.01,11.31,10.692,8.962,1.508,16.417,5.798,9.174,2.423,0.182,1.05,3.98,4.665,7.21,9.384,12.858,23.739,1.977,1.783,0.16,12.288,101.468,191.036,11.901
2026-05-21 15:20:55,common_cleavers_observed.csv,1.074859096790140590090647898,0.031,3.921,3.831,3.861,0.608,7.6,11.664,0.158,7.58,17.511,0.028,0.227,0.006,5.04,10.78,8.61,10.053,8.286,7.659,8.913,10.087,8.600,11.574,0.029,1.31,3.6,6.87,7.57,17.757,17.422,20.105,14.739,1.603,0.038,12.112,113.848,220.442,7.255
2026-05-21 15:20:56,common_cleavers_observed.csv,1.139908919796474433587093158,0.283,2.862,3.47,3.862,0.725,6.97,13.566,0.115,6.83,19.563,0.042,0.632,0.048,4.05,10.64,11.15,10.936,15.882,19.577,12.186,12.030,11.948,12.111,0.161,2.48,4.63,5.729,6.9,16.066,34.915,66.071,3.759,1.76,0.022,12.099,91.450,178.684,4.216
2026-05-21 15:20:56,common_cleavers_observed.csv,0.6372996037505541364964948226,0.062,1.934,1.973,2.545,0.041,7.17,3.752,0.15,7.1,10.96,0.046,0.158,0.028,5.03,10.3,8.97,5.886,6.856,12.011,1.7,0.843,0.896,0.79,0.133,2.24,4.58,1.968,7.39,23.845,5.836,4.986,6.686,1.227,0.028,12.027,65.320,123.629,7.012
2026-05-21 15:20:56,common_cleavers_observed.csv,21.19160344347136880951518613,0.07,3.79,0.765,6.43,0.086,6.78,3.864,0.182,7.22,11.492,0.041,0.268,0.004,5.08,10.1,9.38,10.73,4.554,8.352,0.756,7.564,1.509,13.62,0.08,1.37,4.76,4.691,6.75,19.305,17.607,26.873,8.341,1.765,0.003,12.033,42.701,80.061,5.341
2026-05-21 15:20:56,common_cleavers_observed.csv,2.178022039529023669105689688,0.347,2.557,1.302,6.3,0.645,7.58,4.276,0.011,7.32,23.614,0.083,0.474,0.024,4.36,11.63,11.13,7.448,14.628,19.539,9.718,9.170,9.468,8.873,0.021,2.27,4.39,2.923,7.53,22.87,14.194,19.227,9.162,1.529,0.072,12.207,95.476,180.668,10.284
2026-05-21 15:20:57,common_cleavers_observed.csv,1.845464967393186761628824154,0.079,2.469,3.285,5.097,0.282,6.82,14.636,0.165,6.63,19.39,0.084,0.24,0.044,4.02,11.66,8.81,8.472,9.954,16.765,3.142,5.458,4.282,6.633,0.221,11.6,3.8,7.701,7.37,6.707,31.655,46.217,17.093,1.661,0.26,12.243,100.122,190.966,9.277
2026-05-21 15:20:57,common_cleavers_observed.csv,0.4524945712445940785866137264,0.176,1.164,2.036,2.782,0.623,6.58,5.425,0.067,7.15,10.781,0.063,0.591,0.038,3.88,11.64,11.49,11.277,11.464,4.494,18.435,4.876,7.36,2.391,0.187,1.92,3.62,2.707,6.72,9.593,14.048,20.519,7.576,1.136,0.059,12.026,127.174,239.427,14.92
2026-05-21 15:20:57,common_cleavers_observed.csv,0.7940816090378210632728655487,0.31,3.145,4.613,1.057,0.231,6.37,15.621,0.175,6.66,10.228,0.013,0.488,0.048,6.01,10.29,9.61,6.934,4.481,3.604,5.358,12.692,13.631,11.753,0.14,11.61,4.3,6.835,7.5,15.355,30.156,56.196,4.116,1.149,0.184,12.294,117.658,225.361,9.956
2026-05-21 15:20:58,common_cleavers_observed.csv,2.149861607067444292308033083,0.26,3.547,0.832,3.359,0.446,6.7,4.136,0.063,6.65,20.126,0.006,0.522,0.013,5.49,10.78,10.49,11.919,9.304,8.215,10.392,9.088,12.921,5.256,0.236,1.53,4.36,6.342,7.29,9.513,3.760,2.18,5.34,1.641,0.103,12.263,91.908,168.924,14.893
2026-05-21 15:20:58,common_cleavers_observed.csv,1.110200604430976189979992326,0.275,0.28,5.094,6.261,0.137,7.66,9.048,0.034,6.96,6.756,0.059,0.528,0.04,6.18,11.51,10.23,9.925,6.106,5.874,6.337,10.560,12.93,8.189,0.118,11.72,4.49,5.929,6.89,21.072,20.993,32.864,9.122,1.06,0.202,12.131,57.536,105.518,9.555
2026-05-21 15:20:58,common_cleavers_observed.csv,0.3688889291281836129001408314,0.089,3.697,1.281,4.648,0.815,7.33,6.051,0.202,6.83,27.617,0.011,0.668,0.025,3.91,11.0,11.02,7.075,10.912,12.83,8.993,9.536,13.932,5.139,0.157,11.86,3.79,2.941,7.22,15.897,18.329,29.197,7.461,0.933,0.076,12.077,108.746,210.137,7.355
2026-05-21 15:20:59,common_cleavers_observed.csv,0.3659680398925919723701783044,0.058,1.362,2.272,0.651,0.744,7.17,9.1,0.19,6.68,23.941,0.044,0.428,0.025,3.97,11.18,9.52,2.246,4.719,4.208,5.230,9.238,5.821,12.656,0.039,1.17,4.84,0.932,7.09,23.506,42.226,64.499,19.954,1.004,0.113,12.177,69.910,131.069,8.75
2026-05-21 15:20:59,common_cleavers_observed.csv,26.43145382860156242196414830,0.274,3.935,0.099,2.169,0.704,7.11,14.502,0.086,7.02,20.479,0.081,0.712,0.016,5.99,11.1,9.19,7.003,14.800,13.366,16.234,13.266,13.671,12.861,0.093,11.9,4.8,2.269,6.85,20.755,36.588,60.954,12.222,1.332,0.254,12.137,83.958,154.66,13.255
2026-05-21 15:20:59,common_cleavers_observed.csv,0.2249960438472740016525169137,0.032,2.597,4.576,7.442,0.791,7.55,15.11,0.135,6.56,18.462,0.025,0.606,0.005,5.14,11.12,9.42,3.844,8.542,4.818,12.267,8.258,4.766,11.749,0.027,2.38,4.52,2.186,6.63,15.561,20.777,37.439,4.115,1.018,0.025,12.275,83.902,163.77,4.033
2026-05-21 15:21:00,common_cleavers_observed.csv,2.678750906062837260162301175,0.275,3.723,1.565,3.839,0.367,6.59,13.869,0.028,7.04,21.622,0.036,0.228,0.023,4.62,10.53,10.31,6.096,3.998,0.69,7.307,6.542,3.143,9.94,0.143,11.56,3.85,3.998,6.86,7.998,36.563,62.161,10.965,1.032,0.239,12.162,65.630,127.068,4.191
2026-05-21 15:21:00,common_cleavers_observed.csv,8.767505003806528866586791453,0.227,3.891,4.502,4.912,0.756,7.68,11.746,0.071,6.87,26.571,0.059,0.121,0.021,4.11,9.68,9.5,9.644,1.535,1.427,1.643,5.464,3.084,7.844,0.02,11.64,4.64,7.528,6.95,19.881,16.114,30.85,1.378,1.706,0.182,12.1,62.916,113.007,12.825
2026-05-21 15:21:00,common_cleavers_observed.csv,0.8802701740741605377043249352,0.023,1.764,0.552,5.445,0.789,6.53,9.677,0.016,6.68,23.255,0.014,0.258,0.036,5.91,10.77,9.67,10.957,6.650,6.583,6.716,7.562,8.884,6.239,0.016,2.41,4.56,6.366,6.73,11.414,33.423,65.472,1.374,0.825,0.214,12.25,107.103,208.302,5.904
2026-05-21 15:21:00,common_cleavers_observed.csv,0.8700436236594776036257487906,0.01,3.974,4.726,2.069,0.902,6.43,10.969,0.181,6.58,20.805,0.011,0.741,0.023,5.96,11.44,11.44,6.716,7.309,8.819,5.799,5.050,0.843,9.256,0.137,11.93,3.58,4.649,7.53,23.129,17.212,14.818,19.606,1.793,0.327,12.087,122.018,229.968,14.069
2026-05-21 15:21:01,common_cleavers_observed.csv,4.032497860527499857566539232,0.108,3.932,5.76,2.75,0.722,7.33,13.705,0.097,7.33,21.47,0.015,0.074,0.046,3.68,10.35,9.26,11.439,10.793,6.296,15.29,1.676,0.835,2.518,0.193,1.79,3.74,3.838,7.2,19.365,39.703,73.374,6.032,1.243,0.116,12.146,101.790,192.033,11.548
2026-05-21 15:21:01,common_cleavers_observed.csv,0.3796475793556102007277310019,0.028,0.928,3.599,1.272,0.922,6.56,15.831,0.121,7.18,12.224,0.03,0.571,0.013,5.37,10.24,9.62,11.266,5.266,4.308,6.224,9.214,9.619,8.809,0.08,1.02,4.02,6.278,7.19,17.871,27.284,39.675,14.893,1.562,0.316,12.142,55.070,105.287,4.854
2026-05-21 15:21:01,common_cleavers_observed.csv,1.264691328377442213867861137,0.013,2.156,1.56,3.533,0.193,7.38,4.894,0.119,6.58,7.615,0.047,0.012,0.0,6.34,11.9,9.92,10.235,5.545,10.737,0.353,4.522,4.146,4.899,0.027,1.03,4.79,6.561,7.16,9.337,12.766,7.195,18.338,1.074,0.245,12.206,101.888,198.705,5.072
2026-05-21 15:21:02,common_cleavers_observed.csv,1.201210308505138247144974842,0.099,1.622,3.617,1.588,0.811,7.4,7.897,0.169,6.74,7.196,0.018,0.462,0.019,3.9,11.77,9.04,6.686,7.342,4.999,9.684,4.161,2.587,5.735,0.152,2.36,4.24,4.017,7.14,10.523,12.501,11.862,13.14,1.695,0.191,12.212,109.574,203.589,15.56
2026-05-21 15:21:02,common_cleavers_observed.csv,2.141041446837478760581814744,0.266,3.823,1.073,4.11,0.838,7.73,8.411,0.203,6.7,12.303,0.036,0.569,0.045,5.17,9.68,8.81,8.66,13.548,18.126,8.97,11.619,9.446,13.792,0.069,2.15,4.75,6.618,6.84,14.69,32.415,49.304,15.526,1.52,0.346,12.297,67.701,127.462,7.94
2026-05-21 15:21:02,common_cleavers_observed.csv,1.079471100841672846066365903,0.272,3.665,5.17,0.28,0.575,7.35,3.719,0.106,6.55,10.607,0.062,0.523,0.017,5.75,11.78,8.84,3.767,9.684,11.748,7.62,4.470,6.25,2.691,0.026,1.06,3.79,0.881,7.26,16.064,32.684,50.562,14.805,1.708,0.119,12.278,72.414,135.45,9.377
2026-05-21 15:21:03,common_cleavers_observed.csv,16.68219585817925178443152210,0.266,2.611,0.166,3.97,0.011,7.11,7.125,0.062,7.55,15.04,0.017,0.457,0.005,3.65,10.78,10.35,7.939,8.406,5.047,11.765,7.776,10.763,4.789,0.21,1.85,4.17,3.533,7.56,21.219,24.200,44.453,3.946,0.859,0.151,12.147,75.846,138.313,13.379
2026-05-21 15:21:03,common_cleavers_observed.csv,1.208154762034756870559991922,0.268,3.979,1.7,0.464,0.079,6.79,15.419,0.104,6.6,21.536,0.0,0.396,0.022,4.46,9.99,9.02,2.823,5.670,2.931,8.408,3.619,3.976,3.262,0.117,11.95,4.29,4.341,7.0,6.338,28.089,45.593,10.585,1.136,0.186,12.218,77.672,145.993,9.35
2026-05-21 15:21:03,common_cleavers_observed.csv,4.211667913380731488317678904,0.345,2.115,2.229,7.63,0.54,6.56,9.211,0.068,7.55,13.842,0.04,0.127,0.03,5.72,11.58,8.83,5.491,12.248,12.313,12.182,8.850,11.343,6.356,0.106,11.71,4.85,4.854,6.72,17.876,37.482,59.212,15.752,1.492,0.08,12.164,75.495,141.445,9.545
2026-05-21 15:21:03,common_cleavers_observed.csv,2.134918042936996492732560978,0.321,3.598,4.757,7.222,0.308,7.63,9.423,0.145,7.3,12.442,0.083,0.198,0.035,5.46,11.0,9.2,4.692,13.348,8.594,18.101,1.086,0.920,1.252,0.099,1.7,3.98,5.854,7.05,12.3,27.574,51.049,4.1,1.309,0.159,12.189,62.141,110.264,14.018
2026-05-21 15:21:04,common_cleavers_observed.csv,18.09403648014283869996982014,0.241,0.786,0.32,4.081,0.092,7.58,4.063,0.005,6.78,20.451,0.063,0.613,0.038,6.36,11.02,10.37,11.761,3.381,0.411,6.351,9.800,11.606,7.995,0.072,11.99,3.79,6.679,7.39,7.137,15.268,20.42,10.117,1.062,0.308,12.221,67.530,120.681,14.38
2026-05-21 15:21:04,common_cleavers_observed.csv,1.190663297141377614587716879,0.108,2.376,5.291,0.12,0.489,7.38,12.548,0.108,7.01,9.395,0.088,0.535,0.003,5.95,10.58,9.68,4.279,4.868,6.926,2.81,5.108,8.428,1.788,0.2,11.67,4.6,4.235,7.06,18.739,43.790,68.276,19.303,1.745,0.234,12.02,82.306,157.535,7.078
2026-05-21 15:21:04,common_cleavers_observed.csv,0.6722090406118156744373180190,0.181,3.801,4.615,2.923,0.553,7.64,14.943,0.145,6.58,6.611,0.07,0.508,0.004,4.58,10.64,9.63,6.259,11.783,5.098,18.468,9.112,7.066,11.157,0.103,1.6,4.31,1.148,6.99,14.842,12.760,21.066,4.454,1.352,0.171,12.234,114.690,217.924,11.457
2026-05-21 15:21:05,common_cleavers_observed.csv,0.8761338861543912245589221550,0.191,3.038,0.846,1.727,0.673,6.59,14.112,0.064,7.24,27.232,0.006,0.728,0.031,5.77,11.5,10.18,11.243,8.436,11.476,5.396,7.883,6.903,8.863,0.024,11.83,4.98,4.661,6.77,10.822,8.564,14.729,2.398,1.025,0.317,12.143,75.202,145.099,5.304
2026-05-21 15:21:05,common_cleavers_observed.csv,0.5107553652104211317504885551,0.072,0.941,1.768,2.128,0.322,6.53,9.92,0.168,6.76,12.157,0.025,0.346,0.016,5.23,11.96,10.21,7.517,15.499,15.455,15.543,11.488,10.802,12.174,0.214,2.0,4.99,2.132,6.83,15.926,36.906,55.712,18.099,1.216,0.194,12.045,53.728,94.238,13.219
2026-05-21 15:21:05,common_cleavers_observed.csv,1.056408122936245368008349709,0.189,0.962,0.977,6.255,0.228,6.89,9.296,0.213,6.75,13.932,0.07,0.499,0.005,4.76,10.51,11.24,11.133,6.756,10.025,3.488,5.320,1.907,8.732,0.007,1.19,3.56,4.355,6.62,18.726,23.110,41.282,4.937,1.489,0.21,12.033,98.824,183.345,14.303
