TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-21 15:24:01,nettle_observed.csv,0.3904220551793612110520568542,0.289,1.221,4.929,2.106,0.846,6.54,9.081,0.243,6.92,17.457,0.402,0.615,0.026,5.96,9.91,10.28,4.583,4.426,4.350,4.502,9.302,7.075,11.529,0.055,1.6,4.32,2.951,7.16,14.641,20.958,39.147,2.768,1.742,0.221,12.04,122.176,231.289,13.063
2026-05-21 15:24:01,nettle_observed.csv,4.199840397697919467847029060,0.196,3.91,3.277,7.445,0.901,7.58,6.79,0.017,7.28,7.752,0.3,0.303,0.042,5.97,9.27,9.4,3.313,8.818,13.956,3.68,9.945,9.701,10.189,0.217,11.72,4.78,3.866,7.19,11.287,18.752,21.235,16.27,0.949,0.006,12.217,56.704,108.659,4.749
2026-05-21 15:24:01,nettle_observed.csv,4.201640273945518579033915509,0.062,0.45,1.221,6.156,0.834,6.76,11.022,0.442,6.71,25.009,0.082,0.36,0.014,4.65,9.2,10.68,4.569,10.632,7.886,13.377,9.046,9.836,8.257,0.122,2.24,3.8,7.214,7.53,21.352,12.940,15.704,10.175,1.109,0.062,12.087,56.726,100.841,12.611
2026-05-21 15:24:02,nettle_observed.csv,2.839664296691005644673389606,0.003,3.516,2.531,3.735,0.5,7.69,5.997,0.091,7.18,26.741,0.359,0.459,0.039,4.35,8.89,10.42,9.79,15.022,16.633,13.41,5.708,5.410,6.007,0.234,1.51,4.93,3.262,7.16,8.021,5.188,5.909,4.466,1.625,0.107,12.25,78.595,144.299,12.891
2026-05-21 15:24:02,nettle_observed.csv,0.9798336610286209703414463110,0.076,1.058,4.731,0.131,0.944,7.72,8.206,0.05,6.88,12.106,0.255,0.395,0.016,6.21,10.91,8.49,5.465,11.456,5.082,17.83,3.187,1.226,5.148,0.183,2.35,4.38,7.82,6.8,10.96,14.732,21.306,8.159,1.472,0.265,12.219,84.686,156.787,12.586
2026-05-21 15:24:02,nettle_observed.csv,1.083399450138337979298457173,0.192,0.293,1.816,2.713,0.063,6.42,5.863,0.445,6.81,8.159,0.348,0.042,0.003,3.88,11.09,10.22,3.546,10.900,3.717,18.084,6.518,10.997,2.04,0.148,11.64,3.52,1.028,7.56,7.674,16.444,29.296,3.592,1.658,0.112,12.093,97.745,182.252,13.238
2026-05-21 15:24:03,nettle_observed.csv,0.4698912922971089220506794803,0.231,3.254,3.152,5.402,0.126,7.11,9.832,0.088,6.55,25.444,0.404,0.548,0.029,5.08,9.04,9.94,5.346,10.206,4.36,16.051,10.782,7.805,13.76,0.001,1.7,3.86,2.617,7.1,18.578,34.710,66.1,3.319,1.305,0.342,12.285,76.966,139.003,14.93
2026-05-21 15:24:03,nettle_observed.csv,1.234891948502205713635252617,0.028,0.62,1.159,4.617,0.505,6.37,14.806,0.139,6.83,23.633,0.367,0.101,0.032,5.86,8.54,10.45,6.628,14.559,13.877,15.241,10.164,12.651,7.676,0.152,11.98,4.75,1.418,7.56,20.127,11.327,4.484,18.17,0.972,0.167,12.001,119.236,232.688,5.784
2026-05-21 15:24:03,nettle_observed.csv,0.4261981359578037208907202490,0.426,1.216,3.731,5.828,0.777,7.51,9.332,0.335,6.94,25.013,0.327,0.632,0.024,6.03,10.67,11.41,9.712,14.220,14.075,14.364,6.044,4.429,7.66,0.145,11.6,4.7,5.03,6.76,10.365,34.286,55.979,12.593,0.991,0.152,12.208,90.115,174.636,5.594
2026-05-21 15:24:04,nettle_observed.csv,0.6767679798399225952231368036,0.353,0.641,1.743,4.924,0.923,6.33,6.002,0.16,7.58,15.391,0.303,0.052,0.006,3.72,9.16,8.29,6.707,13.396,8.597,18.196,4.670,8.921,0.42,0.211,11.76,4.5,6.871,6.67,20.033,27.260,45.873,8.648,1.144,0.064,12.271,111.556,213.248,9.863
2026-05-21 15:24:04,nettle_observed.csv,0.3518633764552125562316691503,0.069,2.852,5.04,7.045,0.068,7.44,9.916,0.183,7.53,25.703,0.109,0.289,0.03,5.99,11.05,9.12,3.552,8.295,11.477,5.113,8.064,9.199,6.929,0.248,1.02,4.63,7.689,7.06,23.637,20.078,33.327,6.83,0.812,0.198,12.197,74.156,136.503,11.81
2026-05-21 15:24:04,nettle_observed.csv,1.568033446768953134141397614,0.052,1.815,4.475,2.639,0.267,6.85,6.644,0.239,7.18,26.63,0.215,0.237,0.012,6.34,10.22,10.43,4.202,5.392,6.084,4.699,11.224,13.773,8.676,0.016,1.38,4.06,7.872,6.66,7.476,36.490,69.327,3.654,1.656,0.146,12.207,48.152,82.185,14.12
2026-05-21 15:24:05,nettle_observed.csv,2.220948930081524170953291520,0.379,2.504,4.011,4.625,0.855,7.55,5.265,0.001,7.51,7.776,0.198,0.015,0.048,6.35,10.74,8.65,5.728,2.880,3.002,2.758,6.866,11.091,2.64,0.147,11.79,3.78,2.496,6.68,16.005,36.474,69.827,3.121,1.193,0.31,12.116,122.998,238.035,7.962
2026-05-21 15:24:05,nettle_observed.csv,0.1636835645459679850085953037,0.323,3.054,1.08,0.51,0.102,7.04,13.11,0.161,7.52,24.968,0.298,0.649,0.043,6.25,8.87,8.35,11.717,4.016,1.88,6.153,5.866,1.107,10.626,0.076,1.12,4.67,5.716,6.67,12.526,38.827,58.724,18.93,1.063,0.315,12.176,72.768,141.305,4.23
2026-05-21 15:24:05,nettle_observed.csv,4.919360360437104522677776098,0.358,0.391,0.681,3.163,0.329,7.12,10.868,0.387,6.72,10.26,0.14,0.23,0.004,3.93,8.5,10.53,3.045,11.026,12.404,9.647,4.532,2.646,6.419,0.082,2.1,3.84,1.137,7.5,19.083,3.927,2.775,5.079,1.135,0.119,12.242,77.173,143.169,11.177
2026-05-21 15:24:05,nettle_observed.csv,5.784670662998613618648614831,0.072,1.928,2.687,3.001,0.166,6.48,5.693,0.301,7.5,26.335,0.427,0.125,0.013,4.7,10.95,11.32,2.549,10.858,19.553,2.162,8.739,11.231,6.247,0.111,1.75,3.82,4.984,6.91,6.534,14.169,18.235,10.103,1.705,0.238,12.197,93.576,172.121,15.031
2026-05-21 15:24:06,nettle_observed.csv,4.442162687279872668778482906,0.239,3.679,0.457,4.2,0.823,7.2,9.455,0.037,7.3,27.287,0.26,0.653,0.011,6.06,9.92,10.47,5.838,12.929,18.827,7.031,0.854,1.058,0.651,0.029,1.17,4.34,4.443,7.52,15.563,39.614,65.897,13.332,0.915,0.027,12.256,103.682,196.379,10.985
2026-05-21 15:24:06,nettle_observed.csv,0.3809017876851007360705133680,0.307,2.069,5.263,5.797,0.184,7.15,12.346,0.1,7.64,13.967,0.154,0.683,0.036,6.21,10.08,8.38,10.293,9.190,9.42,8.96,11.704,12.464,10.945,0.043,1.73,4.68,4.233,7.52,16.762,23.456,41.794,5.119,1.171,0.158,12.263,94.513,175.141,13.885
2026-05-21 15:24:06,nettle_observed.csv,0.3858201590242940167973693404,0.339,0.528,4.873,1.708,0.74,7.41,12.885,0.292,7.49,13.786,0.244,0.726,0.041,4.44,10.24,8.54,8.62,6.946,3.976,9.916,2.621,0.759,4.483,0.129,11.99,3.64,2.898,7.23,19.868,33.816,61.459,6.172,0.811,0.163,12.224,98.732,182.626,14.837
