method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.197,0.1,0,0.01,0E+3
RungeKutta4,1,0.1,0.234035,0.1,0,0.01,0.0524449
RungeKutta4,2,0.2,0.265732,0.1,0,0.01,0.0973307
RungeKutta4,3,0.3,0.292862,0.1,0,0.01,0.135749
RungeKutta4,4,0.4,0.316084,0.1,0,0.01,0.168634
RungeKutta4,5,0.5,0.335962,0.1,0,0.01,0.196783
RungeKutta4,6,0.6,0.352979,0.1,0,0.01,0.220880
RungeKutta4,7,0.7,0.367551,0.1,0,0.01,0.241515
RungeKutta4,8,0.8,0.380034,0.1,0,0.01,0.259193
RungeKutta4,9,0.9,0.390736,0.1,0,0.01,0.274348
RungeKutta4,10,1.0,0.399925,0.1,0,0.01,0.287360
RungeKutta4,11,1.1,0.407834,0.1,0,0.01,0.298560
RungeKutta4,12,1.2,0.414671,0.1,0,0.01,0.308242
RungeKutta4,13,1.3,0.420621,0.1,0,0.01,0.316667
RungeKutta4,14,1.4,0.425857,0.1,0,0.01,0.324082
RungeKutta4,15,1.5,0.430539,0.1,0,0.01,0.330712
RungeKutta4,16,1.6,0.434824,0.1,0,0.01,0.336780
RungeKutta4,17,1.7,0.438868,0.1,0,0.01,0.342507
RungeKutta4,18,1.8,0.442830,0.1,0,0.01,0.348117
RungeKutta4,19,1.9,0.446875,0.1,0,0.01,0.353845
RungeKutta4,20,2.0,0.451175,0.1,0,0.01,0.359935
RungeKutta4,21,2.1,0.455913,0.1,0,0.01,0.366644
RungeKutta4,22,2.2,0.461278,0.1,0,0.01,0.374241
RungeKutta4,23,2.3,0.467467,0.1,0,0.01,0.383006
RungeKutta4,24,2.4,0.474681,0.1,0,0.01,0.393221
RungeKutta4,25,2.5,0.483116,0.1,0,0.01,0.405166
RungeKutta4,26,2.6,0.492961,0.1,0,0.01,0.419107
RungeKutta4,27,2.7,0.504390,0.1,0,0.01,0.435292
RungeKutta4,28,2.8,0.517548,0.1,0,0.01,0.453925
RungeKutta4,29,2.9,0.532547,0.1,0,0.01,0.475165
RungeKutta4,30,3.0,0.549456,0.1,0,0.01,0.499109
RungeKutta4,31,3.1,0.568290,0.1,0,0.01,0.525780
RungeKutta4,32,3.2,0.589000,0.1,0,0.01,0.555107
