method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.226,0.1,0,0.01,0.0116790
RungeKutta4,1,0.1,0.231974,0.1,0,0.01,0.0234090
RungeKutta4,2,0.2,0.236956,0.1,0,0.01,0.0331912
RungeKutta4,3,0.3,0.241112,0.1,0,0.01,0.0413516
RungeKutta4,4,0.4,0.244580,0.1,0,0.01,0.0481611
RungeKutta4,5,0.5,0.247475,0.1,0,0.01,0.0538454
RungeKutta4,6,0.6,0.249895,0.1,0,0.01,0.0585971
RungeKutta4,7,0.7,0.251923,0.1,0,0.01,0.0625792
RungeKutta4,8,0.8,0.253631,0.1,0,0.01,0.0659328
RungeKutta4,9,0.9,0.255084,0.1,0,0.01,0.0687858
RungeKutta4,10,1.0,0.256343,0.1,0,0.01,0.0712579
RungeKutta4,11,1.1,0.257470,0.1,0,0.01,0.0734708
RungeKutta4,12,1.2,0.258529,0.1,0,0.01,0.0755501
RungeKutta4,13,1.3,0.259595,0.1,0,0.01,0.0776432
RungeKutta4,14,1.4,0.260757,0.1,0,0.01,0.0799248
RungeKutta4,15,1.5,0.262121,0.1,0,0.01,0.0826031
RungeKutta4,16,1.6,0.263820,0.1,0,0.01,0.0859391
RungeKutta4,17,1.7,0.266014,0.1,0,0.01,0.0902470
RungeKutta4,18,1.8,0.268895,0.1,0,0.01,0.0959039
RungeKutta4,19,1.9,0.272689,0.1,0,0.01,0.103353
RungeKutta4,20,2.0,0.277651,0.1,0,0.01,0.113096
RungeKutta4,21,2.1,0.284064,0.1,0,0.01,0.125688
RungeKutta4,22,2.2,0.292228,0.1,0,0.01,0.141719
RungeKutta4,23,2.3,0.302444,0.1,0,0.01,0.161778
RungeKutta4,24,2.4,0.314999,0.1,0,0.01,0.186430
RungeKutta4,25,2.5,0.330143,0.1,0,0.01,0.216165
RungeKutta4,26,2.6,0.348067,0.1,0,0.01,0.251359
RungeKutta4,27,2.7,0.368874,0.1,0,0.01,0.292214
RungeKutta4,28,2.8,0.392560,0.1,0,0.01,0.338722
RungeKutta4,29,2.9,0.418996,0.1,0,0.01,0.390629
RungeKutta4,30,3.0,0.447909,0.1,0,0.01,0.447400
RungeKutta4,31,3.1,0.478878,0.1,0,0.01,0.508208
RungeKutta4,32,3.2,0.511327,0.1,0,0.01,0.571923
RungeKutta4,33,3.3,0.544537,0.1,0,0.01,0.637131
RungeKutta4,34,3.4,0.577656,0.1,0,0.01,0.702160
RungeKutta4,35,3.5,0.609744,0.1,0,0.01,0.765166
RungeKutta4,36,3.6,0.639817,0.1,0,0.01,0.824214
RungeKutta4,37,3.7,0.666898,0.1,0,0.01,0.877388
RungeKutta4,38,3.8,0.690088,0.1,0,0.01,0.922922
RungeKutta4,39,3.9,0.708527,0.1,0,0.01,0.959127
RungeKutta4,40,4.0,0.721498,0.1,0,0.01,0.984596
RungeKutta4,41,4.1,0.728525,0.1,0,0.01,0.998394
RungeKutta4,42,4.2,0.729343,0.1,0,0.01,1
RungeKutta4,43,4.3,0.723540,0.1,0,0.01,0.988606
RungeKutta4,44,4.4,0.711432,0.1,0,0.01,0.964832
RungeKutta4,45,4.5,0.693707,0.1,0,0.01,0.930028
RungeKutta4,46,4.6,0.671226,0.1,0,0.01,0.885886
RungeKutta4,47,4.7,0.644969,0.1,0,0.01,0.834330
RungeKutta4,48,4.8,0.615975,0.1,0,0.01,0.777400
RungeKutta4,49,4.9,0.585280,0.1,0,0.01,0.717130
