TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 14:43:15,bluebell_observed.csv,2.503,1.136,5.022,2.694,7.679,4.01,4.11,8.293,4.07,0.1587798831468238558430170535,
2026-05-21 14:43:15,bluebell_observed.csv,1.038,0.67,2.286,4.551,9.93,3.38,5.04,10.336,4.2,0.08801810556935825872468422654,
2026-05-21 14:43:15,bluebell_observed.csv,2.148,0.795,5.901,2.346,1.342,3.03,5.53,3.119,3.61,0.08913407623311403425648007163,
2026-05-21 14:43:16,bluebell_observed.csv,2.228,2.081,4.683,1.124,6.349,4.43,5.24,6.053,4.88,0.04448531396204666131353013589,
2026-05-21 14:43:16,bluebell_observed.csv,4.218,2.768,1.713,1.935,5.845,3.32,4.66,12.359,3.55,0.1539315561897273408460103600,
2026-05-21 14:43:16,bluebell_observed.csv,1.07,2.63,6.843,6.74,7.74,4.3,5.53,11.806,4.37,0.04139003877697017257719602385,
2026-05-21 14:43:16,bluebell_observed.csv,2.844,2.925,3.51,0.011,4.953,3.79,5.99,2.629,5.01,0.05428726646906884598933749237,
2026-05-21 14:43:17,bluebell_observed.csv,2.744,1.564,6.57,6.61,9.827,4.54,5.13,7.767,4.54,0.0663623311997249501353148378,
2026-05-21 14:43:17,bluebell_observed.csv,3.246,2.832,3.254,7.523,3.624,4.67,5.21,13.905,5.13,0.07442387519258796089805714936,
2026-05-21 14:43:17,bluebell_observed.csv,3.064,2.938,3.765,0.847,2.636,4.05,4.33,7.566,4.06,0.1318874825530313542469015613,
2026-05-21 14:43:17,bluebell_observed.csv,4.905,0.897,7.831,7.928,6.116,4.54,4.47,14.714,4.37,0.1488097763398967919998719388,
2026-05-21 14:43:18,bluebell_observed.csv,3.6,0.987,6.704,5.181,8.946,3.29,5.23,4.768,3.78,0.1131306812000399961648402342,
2026-05-21 14:43:18,bluebell_observed.csv,2.769,0.681,7.404,1.808,1.818,3.57,4.88,1.614,4.74,0.1299525356437019332217669175,
2026-05-21 14:43:18,bluebell_observed.csv,3.573,1.174,6.196,3.068,6.58,3.17,4.43,5.303,3.54,0.1719140326493435758634086731,
2026-05-21 14:43:18,bluebell_observed.csv,4.083,2.896,4.529,4.779,5.102,3.97,5.91,6.751,4.88,0.03066727294906172502121867080,
2026-05-21 14:43:19,bluebell_observed.csv,3.61,2.588,7.694,5.444,3.516,4.73,5.82,6.899,5.01,0.05945934549303708256676287417,
2026-05-21 14:43:19,bluebell_observed.csv,1.461,0.881,2.609,0.936,4.467,4.12,5.9,3.185,5.73,0.05486588545239248376308556537,
2026-05-21 14:43:19,bluebell_observed.csv,3.122,2.342,5.646,2.015,1.53,3.78,4.97,1.635,4.48,0.1227598428404958456511988095,
2026-05-21 14:43:20,bluebell_observed.csv,3.357,1.522,3.29,0.679,7.723,3.03,4.33,11.589,3.94,0.1752091485806103066308656530,
2026-05-21 14:43:20,bluebell_observed.csv,3.169,1.058,7.553,1.263,1.655,4.26,5.17,13.37,5.08,0.08075233668425463043028178182,
2026-05-21 14:43:20,bluebell_observed.csv,3.821,2.002,5.1,7.576,8.893,3.85,5.45,10.865,5.17,0.03882555590757680507355338922,
2026-05-21 14:43:20,bluebell_observed.csv,1.089,2.919,6.644,5.464,2.431,3.3,4.28,5.642,3.73,0.2065552145811896772356684909,
2026-05-21 14:43:21,bluebell_observed.csv,1.793,2.645,2.696,6.64,7.299,3.07,4.01,7.0,3.95,0.2323139018658985340302088425,
2026-05-21 14:43:21,bluebell_observed.csv,3.381,0.78,6.352,4.879,6.777,3.27,4.64,13.718,4.08,0.1513278239369980893365689094,
2026-05-21 14:43:21,bluebell_observed.csv,4.874,1.268,5.289,1.075,7.694,3.49,5.99,5.243,4.59,0.04869601996497695122548838897,
2026-05-21 14:43:21,bluebell_observed.csv,3.248,2.591,4.799,5.299,6.43,3.53,5.72,6.731,3.57,0.08643253268409681343407810843,
