method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,3.8483E-13,0.1,0,0.01,2.78620E-13
RungeKutta4,2,0.2,1.19883E-12,0.1,0,0.01,8.67963E-13
RungeKutta4,3,0.3,3.17083E-12,0.1,0,0.01,2.29571E-12
RungeKutta4,4,0.4,8.10230E-12,0.1,0,0.01,5.86613E-12
RungeKutta4,5,0.5,2.04907E-11,0.1,0,0.01,1.48354E-11
RungeKutta4,6,0.6,5.15625E-11,0.1,0,0.01,3.73317E-11
RungeKutta4,7,0.7,1.29278E-10,0.1,0,0.01,9.35983E-11
RungeKutta4,8,0.8,3.23086E-10,0.1,0,0.01,2.33917E-10
RungeKutta4,9,0.9,8.05053E-10,0.1,0,0.01,5.82865E-10
RungeKutta4,10,1.0,2.00035E-9,0.1,0,0.01,1.44827E-9
RungeKutta4,11,1.1,4.95717E-9,0.1,0,0.01,3.58903E-9
RungeKutta4,12,1.2,1.22536E-8,0.1,0,0.01,8.87171E-9
RungeKutta4,13,1.3,3.02163E-8,0.1,0,0.01,2.18768E-8
RungeKutta4,14,1.4,7.43388E-8,0.1,0,0.01,5.38219E-8
RungeKutta4,15,1.5,1.82485E-7,0.1,0,0.01,1.32121E-7
RungeKutta4,16,1.6,4.47005E-7,0.1,0,0.01,3.23635E-7
RungeKutta4,17,1.7,0.00000109272,0.1,0,0.01,7.91138E-7
RungeKutta4,18,1.8,0.00000266591,0.1,0,0.01,0.00000193014
RungeKutta4,19,1.9,0.00000649151,0.1,0,0.01,0.00000469991
RungeKutta4,20,2.0,0.0000157775,0.1,0,0.01,0.0000114230
RungeKutta4,21,2.1,0.0000382768,0.1,0,0.01,0.0000277127
RungeKutta4,22,2.2,0.0000926910,0.1,0,0.01,0.0000671090
RungeKutta4,23,2.3,0.000224036,0.1,0,0.01,0.000162204
RungeKutta4,24,2.4,0.000540356,0.1,0,0.01,0.000391222
RungeKutta4,25,2.5,0.00129981,0.1,0,0.01,0.000941073
RungeKutta4,26,2.6,0.00311394,0.1,0,0.01,0.00225452
RungeKutta4,27,2.7,0.00740577,0.1,0,0.01,0.00536184
RungeKutta4,28,2.8,0.0173585,0.1,0,0.01,0.0125677
RungeKutta4,29,2.9,0.0395020,0.1,0,0.01,0.0285998
RungeKutta4,30,3.0,0.0849623,0.1,0,0.01,0.0615134
RungeKutta4,31,3.1,0.166562,0.1,0,0.01,0.120592
RungeKutta4,32,3.2,0.288944,0.1,0,0.01,0.209198
RungeKutta4,33,3.3,0.441478,0.1,0,0.01,0.319634
RungeKutta4,34,3.4,0.605132,0.1,0,0.01,0.438120
RungeKutta4,35,3.5,0.763651,0.1,0,0.01,0.552890
RungeKutta4,36,3.6,0.907751,0.1,0,0.01,0.657219
RungeKutta4,37,3.7,1.03378,0.1,0,0.01,0.748465
RungeKutta4,38,3.8,1.14122,0.1,0,0.01,0.826253
RungeKutta4,39,3.9,1.23067,0.1,0,0.01,0.891015
RungeKutta4,40,4.0,1.30238,0.1,0,0.01,0.942934
RungeKutta4,41,4.1,1.35462,0.1,0,0.01,0.980756
RungeKutta4,42,4.2,1.38120,0.1,0,0.01,1
RungeKutta4,43,4.3,1.36754,0.1,0,0.01,0.990110
RungeKutta4,44,4.4,1.28802,0.1,0,0.01,0.932537
RungeKutta4,45,4.5,1.11659,0.1,0,0.01,0.808420
RungeKutta4,46,4.6,0.861583,0.1,0,0.01,0.623793
RungeKutta4,47,4.7,0.584503,0.1,0,0.01,0.423185
RungeKutta4,48,4.8,0.353063,0.1,0,0.01,0.255620
RungeKutta4,49,4.9,0.193968,0.1,0,0.01,0.140434
RungeKutta4,50,5.0,0.0989325,0.1,0,0.01,0.0716279
RungeKutta4,51,5.1,0.0477777,0.1,0,0.01,0.0345914
RungeKutta4,52,5.2,0.0222387,0.1,0,0.01,0.0161010
RungeKutta4,53,5.3,0.0101145,0.1,0,0.01,0.00732298
RungeKutta4,54,5.4,0.00453588,0.1,0,0.01,0.00328401
RungeKutta4,55,5.5,0.00201665,0.1,0,0.01,0.00146007
RungeKutta4,56,5.6,0.00089163,0.1,0,0.01,0.000645547
RungeKutta4,57,5.7,0.000392712,0.1,0,0.01,0.000284327
RungeKutta4,58,5.8,0.000172470,0.1,0,0.01,0.000124870
RungeKutta4,59,5.9,0.0000755693,0.1,0,0.01,0.0000547128
RungeKutta4,60,6.0,0.0000330456,0.1,0,0.01,0.0000239253
RungeKutta4,61,6.1,0.0000144249,0.1,0,0.01,0.0000104437
RungeKutta4,62,6.2,0.0000062865,0.1,0,0.01,0.00000455148
RungeKutta4,63,6.3,0.00000273558,0.1,0,0.01,0.00000198058
RungeKutta4,64,6.4,0.00000118871,0.1,0,0.01,8.60636E-7
RungeKutta4,65,6.5,5.1585E-7,0.1,0,0.01,3.73480E-7
RungeKutta4,66,6.6,2.23575E-7,0.1,0,0.01,1.61870E-7
RungeKutta4,67,6.7,9.6783E-8,0.1,0,0.01,7.00717E-8
RungeKutta4,68,6.8,4.18482E-8,0.1,0,0.01,3.02984E-8
RungeKutta4,69,6.9,1.80750E-8,0.1,0,0.01,1.30864E-8
RungeKutta4,70,7.0,7.7988E-9,0.1,0,0.01,5.64639E-9
RungeKutta4,71,7.1,3.3616E-9,0.1,0,0.01,2.43383E-9
RungeKutta4,72,7.2,1.44762E-9,0.1,0,0.01,1.04809E-9
RungeKutta4,73,7.3,6.22828E-10,0.1,0,0.01,4.50933E-10
RungeKutta4,74,7.4,2.67735E-10,0.1,0,0.01,1.93842E-10
RungeKutta4,75,7.5,1.14996E-10,0.1,0,0.01,8.32580E-11
RungeKutta4,76,7.6,4.93537E-11,0.1,0,0.01,3.57325E-11
RungeKutta4,77,7.7,2.11655E-11,0.1,0,0.01,1.53240E-11
RungeKutta4,78,7.8,9.0705E-12,0.1,0,0.01,6.56712E-12
RungeKutta4,79,7.9,3.88452E-12,0.1,0,0.01,2.81242E-12
RungeKutta4,80,8.0,1.66250E-12,0.1,0,0.01,1.20366E-12
RungeKutta4,81,8.1,7.11085E-13,0.1,0,0.01,5.14831E-13
RungeKutta4,82,8.2,3.03972E-13,0.1,0,0.01,2.20078E-13
RungeKutta4,83,8.3,1.29869E-13,0.1,0,0.01,9.40262E-14
RungeKutta4,84,8.4,5.54568E-14,0.1,0,0.01,4.01512E-14
RungeKutta4,85,8.5,2.36700E-14,0.1,0,0.01,1.71373E-14
RungeKutta4,86,8.6,1.00982E-14,0.1,0,0.01,7.31118E-15
RungeKutta4,87,8.7,4.30637E-15,0.1,0,0.01,3.11785E-15
RungeKutta4,88,8.8,1.83575E-15,0.1,0,0.01,1.32910E-15
RungeKutta4,89,8.9,7.8228E-16,0.1,0,0.01,5.66377E-16
RungeKutta4,90,9.0,3.33253E-16,0.1,0,0.01,2.41278E-16
RungeKutta4,91,9.1,1.41926E-16,0.1,0,0.01,1.02756E-16
RungeKutta4,92,9.2,6.04287E-17,0.1,0,0.01,4.37509E-17
RungeKutta4,93,9.3,2.57234E-17,0.1,0,0.01,1.86240E-17
RungeKutta4,94,9.4,1.09480E-17,0.1,0,0.01,7.92644E-18
RungeKutta4,95,9.5,4.65878E-18,0.1,0,0.01,3.37299E-18
RungeKutta4,96,9.6,1.98225E-18,0.1,0,0.01,1.43517E-18
RungeKutta4,97,9.7,8.4335E-19,0.1,0,0.01,6.10592E-19
RungeKutta4,98,9.8,3.58782E-19,0.1,0,0.01,2.59761E-19
RungeKutta4,99,9.9,1.52630E-19,0.1,0,0.01,1.10505E-19
RungeKutta4,100,10.0,6.49317E-20,0.1,0,0.01,4.70111E-20
RungeKutta4,101,10.1,2.76244E-20,0.1,0,0.01,2.00003E-20
RungeKutta4,102,10.2,1.17532E-20,0.1,0,0.01,8.50941E-21
RungeKutta4,103,10.3,5.00108E-21,0.1,0,0.01,3.62082E-21
RungeKutta4,104,10.4,2.12828E-21,0.1,0,0.01,1.54089E-21
RungeKutta4,105,10.5,9.0587E-22,0.1,0,0.01,6.55857E-22
RungeKutta4,106,10.6,3.85643E-22,0.1,0,0.01,2.79209E-22
RungeKutta4,107,10.7,1.64211E-22,0.1,0,0.01,1.18890E-22
