method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,2.82398E-9,0.1,0,0.01,1.88605E-9
RungeKutta4,2,0.2,7.90923E-9,0.1,0,0.01,5.28233E-9
RungeKutta4,3,0.3,1.85226E-8,0.1,0,0.01,1.23707E-8
RungeKutta4,4,0.4,4.15724E-8,0.1,0,0.01,2.77649E-8
RungeKutta4,5,0.5,9.19576E-8,0.1,0,0.01,6.14156E-8
RungeKutta4,6,0.6,2.01882E-7,0.1,0,0.01,1.34831E-7
RungeKutta4,7,0.7,4.40779E-7,0.1,0,0.01,2.94383E-7
RungeKutta4,8,0.8,9.57856E-7,0.1,0,0.01,6.39722E-7
RungeKutta4,9,0.9,0.00000207269,0.1,0,0.01,0.00000138429
RungeKutta4,10,1.0,0.00000446736,0.1,0,0.01,0.00000298361
RungeKutta4,11,1.1,0.00000959324,0.1,0,0.01,0.00000640703
RungeKutta4,12,1.2,0.0000205300,0.1,0,0.01,0.0000137113
RungeKutta4,13,1.3,0.0000437915,0.1,0,0.01,0.0000292470
RungeKutta4,14,1.4,0.0000931182,0.1,0,0.01,0.0000621907
RungeKutta4,15,1.5,0.000197397,0.1,0,0.01,0.000131835
RungeKutta4,16,1.6,0.000417147,0.1,0,0.01,0.000278599
RungeKutta4,17,1.7,0.000878542,0.1,0,0.01,0.000586751
RungeKutta4,18,1.8,0.00184270,0.1,0,0.01,0.00123068
RungeKutta4,19,1.9,0.00384348,0.1,0,0.01,0.00256694
RungeKutta4,20,2.0,0.00794818,0.1,0,0.01,0.00530834
RungeKutta4,21,2.1,0.0162031,0.1,0,0.01,0.0108215
RungeKutta4,22,2.2,0.0322357,0.1,0,0.01,0.0215292
RungeKutta4,23,2.3,0.0616059,0.1,0,0.01,0.0411447
RungeKutta4,24,2.4,0.110834,0.1,0,0.01,0.0740226
RungeKutta4,25,2.5,0.184243,0.1,0,0.01,0.123050
RungeKutta4,26,2.6,0.280458,0.1,0,0.01,0.187309
RungeKutta4,27,2.7,0.392368,0.1,0,0.01,0.262050
RungeKutta4,28,2.8,0.510690,0.1,0,0.01,0.341074
RungeKutta4,29,2.9,0.627514,0.1,0,0.01,0.419097
RungeKutta4,30,3.0,0.737699,0.1,0,0.01,0.492686
RungeKutta4,31,3.1,0.838655,0.1,0,0.01,0.560112
RungeKutta4,32,3.2,0.929551,0.1,0,0.01,0.620818
RungeKutta4,33,3.3,1.01058,0.1,0,0.01,0.674935
RungeKutta4,34,3.4,1.08243,0.1,0,0.01,0.722921
RungeKutta4,35,3.5,1.14597,0.1,0,0.01,0.765358
RungeKutta4,36,3.6,1.20210,0.1,0,0.01,0.802845
RungeKutta4,37,3.7,1.25164,0.1,0,0.01,0.835931
RungeKutta4,38,3.8,1.29532,0.1,0,0.01,0.865104
RungeKutta4,39,3.9,1.33377,0.1,0,0.01,0.890783
RungeKutta4,40,4.0,1.36750,0.1,0,0.01,0.913311
RungeKutta4,41,4.1,1.39694,0.1,0,0.01,0.932973
RungeKutta4,42,4.2,1.42244,0.1,0,0.01,0.950003
RungeKutta4,43,4.3,1.44426,0.1,0,0.01,0.964576
RungeKutta4,44,4.4,1.46256,0.1,0,0.01,0.976798
RungeKutta4,45,4.5,1.47737,0.1,0,0.01,0.986689
RungeKutta4,46,4.6,1.48853,0.1,0,0.01,0.994143
RungeKutta4,47,4.7,1.49555,0.1,0,0.01,0.998831
RungeKutta4,48,4.8,1.49730,0.1,0,0.01,1
RungeKutta4,49,4.9,1.49156,0.1,0,0.01,0.996166
