method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,2.47653E-17,0.1,0,0.01,2.09991E-17
RungeKutta4,2,0.2,8.46413E-17,0.1,0,0.01,7.17694E-17
RungeKutta4,3,0.3,2.50471E-16,0.1,0,0.01,2.12381E-16
RungeKutta4,4,0.4,7.18099E-16,0.1,0,0.01,6.08894E-16
RungeKutta4,5,0.5,2.03097E-15,0.1,0,0.01,1.72211E-15
RungeKutta4,6,0.6,5.68924E-15,0.1,0,0.01,4.82405E-15
RungeKutta4,7,0.7,1.58084E-14,0.1,0,0.01,1.34043E-14
RungeKutta4,8,0.8,4.36122E-14,0.1,0,0.01,3.69799E-14
RungeKutta4,9,0.9,1.19544E-13,0.1,0,0.01,1.01364E-13
RungeKutta4,10,1.0,3.25767E-13,0.1,0,0.01,2.76226E-13
RungeKutta4,11,1.1,8.83020E-13,0.1,0,0.01,7.48734E-13
RungeKutta4,12,1.2,2.38180E-12,0.1,0,0.01,2.01959E-12
RungeKutta4,13,1.3,6.39558E-12,0.1,0,0.01,5.42297E-12
RungeKutta4,14,1.4,1.71019E-11,0.1,0,0.01,1.45011E-11
RungeKutta4,15,1.5,4.55534E-11,0.1,0,0.01,3.86259E-11
RungeKutta4,16,1.6,1.20899E-10,0.1,0,0.01,1.02513E-10
RungeKutta4,17,1.7,3.19781E-10,0.1,0,0.01,2.71150E-10
RungeKutta4,18,1.8,8.43119E-10,0.1,0,0.01,7.14901E-10
RungeKutta4,19,1.9,2.21629E-9,0.1,0,0.01,1.87925E-9
RungeKutta4,20,2.0,5.80931E-9,0.1,0,0.01,4.92586E-9
RungeKutta4,21,2.1,1.51862E-8,0.1,0,0.01,1.28768E-8
RungeKutta4,22,2.2,3.95970E-8,0.1,0,0.01,3.35753E-8
RungeKutta4,23,2.3,1.02993E-7,0.1,0,0.01,8.73303E-8
RungeKutta4,24,2.4,2.67262E-7,0.1,0,0.01,2.26618E-7
RungeKutta4,25,2.5,6.91984E-7,0.1,0,0.01,5.86750E-7
RungeKutta4,26,2.6,0.00000178779,0.1,0,0.01,0.00000151591
RungeKutta4,27,2.7,0.00000460932,0.1,0,0.01,0.00000390836
RungeKutta4,28,2.8,0.0000118602,0.1,0,0.01,0.0000100566
RungeKutta4,29,2.9,0.0000304565,0.1,0,0.01,0.0000258248
RungeKutta4,30,3.0,0.0000780575,0.1,0,0.01,0.0000661869
RungeKutta4,31,3.1,0.000199644,0.1,0,0.01,0.000169283
RungeKutta4,32,3.2,0.000509417,0.1,0,0.01,0.000431947
RungeKutta4,33,3.3,0.00129568,0.1,0,0.01,0.00109864
RungeKutta4,34,3.4,0.00327795,0.1,0,0.01,0.00277945
RungeKutta4,35,3.5,0.00820617,0.1,0,0.01,0.00695821
RungeKutta4,36,3.6,0.0200903,0.1,0,0.01,0.0170351
RungeKutta4,37,3.7,0.0469570,0.1,0,0.01,0.0398160
RungeKutta4,38,3.8,0.100790,0.1,0,0.01,0.0854623
RungeKutta4,39,3.9,0.190646,0.1,0,0.01,0.161653
RungeKutta4,40,4.0,0.312194,0.1,0,0.01,0.264717
RungeKutta4,41,4.1,0.449093,0.1,0,0.01,0.380797
RungeKutta4,42,4.2,0.584640,0.1,0,0.01,0.495731
RungeKutta4,43,4.3,0.708548,0.1,0,0.01,0.600795
RungeKutta4,44,4.4,0.816603,0.1,0,0.01,0.692418
RungeKutta4,45,4.5,0.908196,0.1,0,0.01,0.770082
RungeKutta4,46,4.6,0.984302,0.1,0,0.01,0.834614
RungeKutta4,47,4.7,1.04636,0.1,0,0.01,0.887234
RungeKutta4,48,4.8,1.09570,0.1,0,0.01,0.929071
RungeKutta4,49,4.9,1.13334,0.1,0,0.01,0.960987
RungeKutta4,50,5.0,1.15984,0.1,0,0.01,0.983457
RungeKutta4,51,5.1,1.17529,0.1,0,0.01,0.996557
RungeKutta4,52,5.2,1.17935,0.1,0,0.01,1
RungeKutta4,53,5.3,1.17128,0.1,0,0.01,0.993157
RungeKutta4,54,5.4,1.15015,0.1,0,0.01,0.975241
RungeKutta4,55,5.5,1.11515,0.1,0,0.01,0.945563
RungeKutta4,56,5.6,1.06610,0.1,0,0.01,0.903973
RungeKutta4,57,5.7,1.00400,0.1,0,0.01,0.851316
RungeKutta4,58,5.8,0.931484,0.1,0,0.01,0.789828
RungeKutta4,59,5.9,0.852778,0.1,0,0.01,0.723092
RungeKutta4,60,6.0,0.773050,0.1,0,0.01,0.655488
RungeKutta4,61,6.1,0.697294,0.1,0,0.01,0.591253
RungeKutta4,62,6.2,0.629261,0.1,0,0.01,0.533566
RungeKutta4,63,6.3,0.570914,0.1,0,0.01,0.484092
RungeKutta4,64,6.4,0.522523,0.1,0,0.01,0.443060
RungeKutta4,65,6.5,0.483172,0.1,0,0.01,0.409693
RungeKutta4,66,6.6,0.451356,0.1,0,0.01,0.382716
RungeKutta4,67,6.7,0.425438,0.1,0,0.01,0.360739
RungeKutta4,68,6.8,0.403923,0.1,0,0.01,0.342496
