method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,1.08688E-15,0.1,0,0.01,7.48824E-16
RungeKutta4,2,0.2,3.49345E-15,0.1,0,0.01,2.40687E-15
RungeKutta4,3,0.3,9.72378E-15,0.1,0,0.01,6.69936E-15
RungeKutta4,4,0.4,2.63296E-14,0.1,0,0.01,1.81402E-14
RungeKutta4,5,0.5,7.06688E-14,0.1,0,0.01,4.86884E-14
RungeKutta4,6,0.6,1.88699E-13,0.1,0,0.01,1.30007E-13
RungeKutta4,7,0.7,5.01727E-13,0.1,0,0.01,3.45673E-13
RungeKutta4,8,0.8,1.32890E-12,0.1,0,0.01,9.15567E-13
RungeKutta4,9,0.9,3.50720E-12,0.1,0,0.01,2.41634E-12
RungeKutta4,10,1.0,9.22513E-12,0.1,0,0.01,6.35580E-12
RungeKutta4,11,1.1,2.41889E-11,0.1,0,0.01,1.66653E-11
RungeKutta4,12,1.2,6.32364E-11,0.1,0,0.01,4.35677E-11
RungeKutta4,13,1.3,1.64852E-10,0.1,0,0.01,1.13577E-10
RungeKutta4,14,1.4,4.28612E-10,0.1,0,0.01,2.95299E-10
RungeKutta4,15,1.5,1.11155E-9,0.1,0,0.01,7.65820E-10
RungeKutta4,16,1.6,2.87568E-9,0.1,0,0.01,1.98125E-9
RungeKutta4,17,1.7,7.42241E-9,0.1,0,0.01,5.11379E-9
RungeKutta4,18,1.8,1.91153E-8,0.1,0,0.01,1.31698E-8
RungeKutta4,19,1.9,4.91238E-8,0.1,0,0.01,3.38446E-8
RungeKutta4,20,2.0,1.25982E-7,0.1,0,0.01,8.67973E-8
RungeKutta4,21,2.1,3.22454E-7,0.1,0,0.01,2.22160E-7
RungeKutta4,22,2.2,8.23744E-7,0.1,0,0.01,5.67532E-7
RungeKutta4,23,2.3,0.00000210043,0.1,0,0.01,0.00000144713
RungeKutta4,24,2.4,0.00000534613,0.1,0,0.01,0.00000368330
RungeKutta4,25,2.5,0.0000135833,0.1,0,0.01,0.00000935843
RungeKutta4,26,2.6,0.0000344521,0.1,0,0.01,0.0000237363
RungeKutta4,27,2.7,0.0000872319,0.1,0,0.01,0.0000600998
RungeKutta4,28,2.8,0.000220468,0.1,0,0.01,0.000151895
RungeKutta4,29,2.9,0.000556065,0.1,0,0.01,0.000383110
RungeKutta4,30,3.0,0.00139873,0.1,0,0.01,0.000963678
RungeKutta4,31,3.1,0.00350323,0.1,0,0.01,0.00241361
RungeKutta4,32,3.2,0.00870195,0.1,0,0.01,0.00599535
RungeKutta4,33,3.3,0.0212426,0.1,0,0.01,0.0146354
RungeKutta4,34,3.4,0.0499893,0.1,0,0.01,0.0344409
RungeKutta4,35,3.5,0.109632,0.1,0,0.01,0.0755327
RungeKutta4,36,3.6,0.214886,0.1,0,0.01,0.148049
RungeKutta4,37,3.7,0.366450,0.1,0,0.01,0.252472
RungeKutta4,38,3.8,0.546368,0.1,0,0.01,0.376429
RungeKutta4,39,3.9,0.731045,0.1,0,0.01,0.503665
RungeKutta4,40,4.0,0.903362,0.1,0,0.01,0.622386
RungeKutta4,41,4.1,1.05471,0.1,0,0.01,0.726660
RungeKutta4,42,4.2,1.18211,0.1,0,0.01,0.814434
RungeKutta4,43,4.3,1.28520,0.1,0,0.01,0.885459
RungeKutta4,44,4.4,1.36428,0.1,0,0.01,0.939943
RungeKutta4,45,4.5,1.41921,0.1,0,0.01,0.977788
RungeKutta4,46,4.6,1.44894,0.1,0,0.01,0.998271
RungeKutta4,47,4.7,1.45145,0.1,0,0.01,1
RungeKutta4,48,4.8,1.42423,0.1,0,0.01,0.981246
RungeKutta4,49,4.9,1.36556,0.1,0,0.01,0.940825
RungeKutta4,50,5.0,1.27644,0.1,0,0.01,0.879424
RungeKutta4,51,5.1,1.16248,0.1,0,0.01,0.800909
RungeKutta4,52,5.2,1.03435,0.1,0,0.01,0.712632
RungeKutta4,53,5.3,0.905478,0.1,0,0.01,0.623844
RungeKutta4,54,5.4,0.787916,0.1,0,0.01,0.542847
RungeKutta4,55,5.5,0.688887,0.1,0,0.01,0.474620
RungeKutta4,56,5.6,0.609943,0.1,0,0.01,0.420230
RungeKutta4,57,5.7,0.548231,0.1,0,0.01,0.377713
RungeKutta4,58,5.8,0.498055,0.1,0,0.01,0.343143
RungeKutta4,59,5.9,0.451398,0.1,0,0.01,0.310998
RungeKutta4,60,6.0,0.397502,0.1,0,0.01,0.273865
RungeKutta4,61,6.1,0.325033,0.1,0,0.01,0.223937
RungeKutta4,62,6.2,0.233230,0.1,0,0.01,0.160688
RungeKutta4,63,6.3,0.142201,0.1,0,0.01,0.0979717
RungeKutta4,64,6.4,0.0750252,0.1,0,0.01,0.0516898
RungeKutta4,65,6.5,0.0357895,0.1,0,0.01,0.0246578
RungeKutta4,66,6.6,0.0160205,0.1,0,0.01,0.0110376
RungeKutta4,67,6.7,0.0068880,0.1,0,0.01,0.00474560
RungeKutta4,68,6.8,0.00288327,0.1,0,0.01,0.00198648
RungeKutta4,69,6.9,0.00118444,0.1,0,0.01,0.000816039
RungeKutta4,70,7.0,0.000479858,0.1,0,0.01,0.000330606
RungeKutta4,71,7.1,0.000192331,0.1,0,0.01,0.000132510
RungeKutta4,72,7.2,0.000076428,0.1,0,0.01,0.0000526563
RungeKutta4,73,7.3,0.0000301545,0.1,0,0.01,0.0000207754
RungeKutta4,74,7.4,0.0000118250,0.1,0,0.01,0.00000814703
RungeKutta4,75,7.5,0.00000461242,0.1,0,0.01,0.00000317780
RungeKutta4,76,7.6,0.00000179042,0.1,0,0.01,0.00000123354
RungeKutta4,77,7.7,6.9190E-7,0.1,0,0.01,4.76696E-7
RungeKutta4,78,7.8,2.66248E-7,0.1,0,0.01,1.83436E-7
RungeKutta4,79,7.9,1.02036E-7,0.1,0,0.01,7.02994E-8
RungeKutta4,80,8.0,3.8947E-8,0.1,0,0.01,2.68332E-8
RungeKutta4,81,8.1,1.48063E-8,0.1,0,0.01,1.02010E-8
RungeKutta4,82,8.2,5.60597E-9,0.1,0,0.01,3.86232E-9
RungeKutta4,83,8.3,2.11365E-9,0.1,0,0.01,1.45623E-9
RungeKutta4,84,8.4,7.9345E-10,0.1,0,0.01,5.46660E-10
RungeKutta4,85,8.5,2.9650E-10,0.1,0,0.01,2.04278E-10
RungeKutta4,86,8.6,1.10263E-10,0.1,0,0.01,7.59675E-11
RungeKutta4,87,8.7,4.07947E-11,0.1,0,0.01,2.81062E-11
RungeKutta4,88,8.8,1.50099E-11,0.1,0,0.01,1.03413E-11
RungeKutta4,89,8.9,5.48987E-12,0.1,0,0.01,3.78233E-12
RungeKutta4,90,9.0,1.99497E-12,0.1,0,0.01,1.37447E-12
RungeKutta4,91,9.1,7.1985E-13,0.1,0,0.01,4.95952E-13
RungeKutta4,92,9.2,2.57743E-13,0.1,0,0.01,1.77576E-13
RungeKutta4,93,9.3,9.1502E-14,0.1,0,0.01,6.30418E-14
