month,observed,simulated_raw,synthesised
1,0,4.139343761e-17,1.3566767679541478e-15
2,0,3.294230925e-13,1.079689637360274e-11
3,0,1.274101929e-09,4.175890157676288e-08
4,0,3.60618692e-06,0.00011819337309840121
5,1,0.00790470125,0.2590778916342607
6,18,0.63566217,20.833932818809444
7,44,1.380429,45.243788925076814
8,28,0.6850336,22.452089607640456
9,12,0.388817,12.743541521136976
10,3,0.09122065900000001,2.989772195022279
11,1,0.00019422414,0.006365728331058367
12,0,5.0813915800000004e-08,1.6654344996459986e-06
