TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-21 15:08:10,red_clover_observed.csv,1.628,2.942,4.895,6.924,7.071,4.88,11.63,14.328,5.4,0.1087218895972272253020983581,
2026-05-21 15:08:10,red_clover_observed.csv,3.117,1.029,5.585,7.898,8.891,3.39,10.25,14.949,7.28,0.09704976382966560259947975449,
2026-05-21 15:08:10,red_clover_observed.csv,2.19,1.315,5.428,5.553,7.938,4.35,10.23,6.968,5.63,0.06444072092541528463422303616,
2026-05-21 15:08:11,red_clover_observed.csv,1.756,1.871,4.276,0.808,3.513,4.33,11.25,1.396,6.99,0.08022278674516377302951086774,
2026-05-21 15:08:11,red_clover_observed.csv,1.266,2.52,4.525,4.634,8.254,4.96,10.82,10.685,5.16,0.1098850844114784363577128676,
2026-05-21 15:08:11,red_clover_observed.csv,2.142,1.098,6.233,7.965,7.764,4.62,10.58,3.038,6.01,0.07068746105067487597762306091,
2026-05-21 15:08:11,red_clover_observed.csv,2.24,1.58,3.754,6.251,9.681,3.87,11.78,13.225,4.77,0.1823501363823153715948077073,
2026-05-21 15:08:12,red_clover_observed.csv,4.286,1.501,2.813,2.364,2.52,3.81,10.71,8.028,4.89,0.1137835207738442016175611650,
2026-05-21 15:08:12,red_clover_observed.csv,1.165,1.661,3.452,5.365,6.738,4.22,11.25,10.916,6.31,0.02969924116731265633708469615,
2026-05-21 15:08:12,red_clover_observed.csv,4.416,1.087,5.606,1.928,4.983,3.29,11.87,13.637,4.6,0.1713569723955324007830457936,
2026-05-21 15:08:12,red_clover_observed.csv,3.033,0.839,1.4,1.246,4.359,4.94,11.77,2.436,6.89,0.1045011584456176301671468245,
2026-05-21 15:08:13,red_clover_observed.csv,3.788,0.684,7.554,7.979,2.755,4.77,11.18,6.23,6.12,0.08555551995439418264140548974,
2026-05-21 15:08:13,red_clover_observed.csv,3.112,1.055,5.582,1.578,3.156,3.34,10.96,3.811,5.55,0.08680854962363045580713015282,
2026-05-21 15:08:13,red_clover_observed.csv,4.303,2.338,1.31,0.058,2.623,3.9,11.92,9.851,4.66,0.09742853296441478391518970549,
2026-05-21 15:08:14,red_clover_observed.csv,2.6,1.551,5.169,4.934,5.999,4.53,10.06,10.96,6.73,0.05888369675161512188879038843,
2026-05-21 15:08:14,red_clover_observed.csv,3.821,1.189,1.662,6.907,3.626,3.88,10.12,3.349,5.43,0.1582876725659694289309041252,
2026-05-21 15:08:14,red_clover_observed.csv,1.966,2.29,2.275,4.877,4.679,4.03,10.99,9.92,4.53,0.1661429078916630424439448446,
2026-05-21 15:08:14,red_clover_observed.csv,1.483,2.903,1.699,4.779,5.347,4.32,10.53,9.408,4.82,0.1131709113942465944652548382,
2026-05-21 15:08:15,red_clover_observed.csv,2.298,1.601,6.02,6.612,1.842,3.54,11.48,13.825,7.28,0.04176613317003952265738748870,
2026-05-21 15:08:15,red_clover_observed.csv,3.652,2.796,7.692,5.825,4.161,3.54,10.19,1.3,7.29,0.09174178751207912468694719487,
2026-05-21 15:08:15,red_clover_observed.csv,4.804,2.89,5.414,7.669,3.996,4.79,10.83,3.138,6.36,0.03212426808804927810037330205,
2026-05-21 15:08:16,red_clover_observed.csv,2.481,2.81,7.539,2.755,3.604,4.5,10.12,7.819,5.05,0.07756951034582151049001072699,
2026-05-21 15:08:16,red_clover_observed.csv,3.389,0.69,5.633,2.989,3.778,3.13,10.83,3.792,5.92,0.08619036860048406046707640959,
2026-05-21 15:08:16,red_clover_observed.csv,2.773,2.577,1.668,1.118,7.806,4.15,10.89,3.001,6.73,0.05291434839880769395082954936,
2026-05-21 15:08:16,red_clover_observed.csv,4.279,0.66,4.777,4.432,3.652,4.33,11.32,11.054,6.09,0.05396534805438283502447192043,
2026-05-21 15:08:17,red_clover_observed.csv,3.964,1.472,7.949,5.636,5.295,3.95,11.96,12.049,6.17,0.05768865635448732425965338498,
2026-05-21 15:08:17,red_clover_observed.csv,4.208,1.87,2.11,2.463,1.675,4.42,10.45,5.469,7.45,0.08148699552226025980562760838,
2026-05-21 15:08:17,red_clover_observed.csv,2.152,1.082,6.03,7.632,7.114,4.34,10.7,7.554,4.74,0.1649744548958535059797198367,
