month,observed,simulated_raw,synthesised
1,0,6.9969157e-20,1.1271755908052516e-18
2,0,4.763611723999999e-16,7.67399106918856e-15
3,0,2.578976796e-11,4.1546301518315197e-10
4,0,4.3397034e-07,6.991091437352259e-06
5,0,0.004617846201000001,0.07439168546592553
6,12,0.5866723,9.451059934330434
7,25,1.564429,25.202335685534543
8,29,1.894418,30.51832864560742
9,13,0.64308425,10.35983425427438
10,0,0.0007507443509999999,0.012094196123902565
11,0,9.88721933e-08,1.5927921340704237e-06
12,0,1.032526699e-11,1.6633598886542554e-10
