method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,0.00393222,0.1,0,0.01,0.00346366
RungeKutta4,2,0.2,0.0113964,0.1,0,0.01,0.0100384
RungeKutta4,3,0.3,0.0273619,0.1,0,0.01,0.0241015
RungeKutta4,4,0.4,0.0605849,0.1,0,0.01,0.0533656
RungeKutta4,5,0.5,0.122469,0.1,0,0.01,0.107876
RungeKutta4,6,0.6,0.219722,0.1,0,0.01,0.193540
RungeKutta4,7,0.7,0.346136,0.1,0,0.01,0.304890
RungeKutta4,8,0.8,0.485651,0.1,0,0.01,0.427781
RungeKutta4,9,0.9,0.622684,0.1,0,0.01,0.548485
RungeKutta4,10,1.0,0.747607,0.1,0,0.01,0.658522
RungeKutta4,11,1.1,0.856301,0.1,0,0.01,0.754264
RungeKutta4,12,1.2,0.947871,0.1,0,0.01,0.834923
RungeKutta4,13,1.3,1.02264,0.1,0,0.01,0.900782
RungeKutta4,14,1.4,1.08064,0.1,0,0.01,0.951871
RungeKutta4,15,1.5,1.12010,0.1,0,0.01,0.986629
RungeKutta4,16,1.6,1.13528,0.1,0,0.01,1
RungeKutta4,17,1.7,1.11336,0.1,0,0.01,0.980692
RungeKutta4,18,1.8,1.03320,0.1,0,0.01,0.910084
RungeKutta4,19,1.9,0.876416,0.1,0,0.01,0.771982
RungeKutta4,20,2.0,0.657358,0.1,0,0.01,0.579027
RungeKutta4,21,2.1,0.432338,0.1,0,0.01,0.380821
RungeKutta4,22,2.2,0.254021,0.1,0,0.01,0.223752
RungeKutta4,23,2.3,0.136778,0.1,0,0.01,0.120480
RungeKutta4,24,2.4,0.0688258,0.1,0,0.01,0.0606245
RungeKutta4,25,2.5,0.0328121,0.1,0,0.01,0.0289022
RungeKutta4,26,2.6,0.0149848,0.1,0,0.01,0.0131992
RungeKutta4,27,2.7,0.00662008,0.1,0,0.01,0.00583123
RungeKutta4,28,2.8,0.00285386,0.1,0,0.01,0.00251379
RungeKutta4,29,2.9,0.00120911,0.1,0,0.01,0.00106503
RungeKutta4,30,3.0,0.000506217,0.1,0,0.01,0.000445896
RungeKutta4,31,3.1,0.000210265,0.1,0,0.01,0.000185210
RungeKutta4,32,3.2,0.000086885,0.1,0,0.01,0.0000765318
RungeKutta4,33,3.3,0.0000357825,0.1,0,0.01,0.0000315187
RungeKutta4,34,3.4,0.0000147048,0.1,0,0.01,0.0000129526
RungeKutta4,35,3.5,0.00000603438,0.1,0,0.01,0.00000531532
RungeKutta4,36,3.6,0.00000247393,0.1,0,0.01,0.00000217914
RungeKutta4,37,3.7,0.00000101354,0.1,0,0.01,8.92767E-7
RungeKutta4,38,3.8,4.15005E-7,0.1,0,0.01,3.65553E-7
RungeKutta4,39,3.9,1.69845E-7,0.1,0,0.01,1.49606E-7
RungeKutta4,40,4.0,6.9475E-8,0.1,0,0.01,6.11964E-8
RungeKutta4,41,4.1,2.8404E-8,0.1,0,0.01,2.50194E-8
RungeKutta4,42,4.2,1.1606E-8,0.1,0,0.01,1.02230E-8
RungeKutta4,43,4.3,4.73925E-9,0.1,0,0.01,4.17452E-9
RungeKutta4,44,4.4,1.93390E-9,0.1,0,0.01,1.70346E-9
RungeKutta4,45,4.5,7.8853E-10,0.1,0,0.01,6.94569E-10
RungeKutta4,46,4.6,3.2124E-10,0.1,0,0.01,2.82961E-10
RungeKutta4,47,4.7,1.30748E-10,0.1,0,0.01,1.15168E-10
RungeKutta4,48,4.8,5.31623E-11,0.1,0,0.01,4.68275E-11
RungeKutta4,49,4.9,2.15925E-11,0.1,0,0.01,1.90195E-11
RungeKutta4,50,5.0,8.7597E-12,0.1,0,0.01,7.71589E-12
RungeKutta4,51,5.1,3.54927E-12,0.1,0,0.01,3.12634E-12
RungeKutta4,52,5.2,1.43619E-12,0.1,0,0.01,1.26505E-12
RungeKutta4,53,5.3,5.80333E-13,0.1,0,0.01,5.11181E-13
RungeKutta4,54,5.4,2.34151E-13,0.1,0,0.01,2.06250E-13
RungeKutta4,55,5.5,9.4328E-14,0.1,0,0.01,8.30879E-14
RungeKutta4,56,5.6,3.79382E-14,0.1,0,0.01,3.34175E-14
RungeKutta4,57,5.7,1.52325E-14,0.1,0,0.01,1.34174E-14
RungeKutta4,58,5.8,6.10503E-15,0.1,0,0.01,5.37755E-15
RungeKutta4,59,5.9,2.44228E-15,0.1,0,0.01,2.15126E-15
RungeKutta4,60,6.0,9.7513E-16,0.1,0,0.01,8.58933E-16
RungeKutta4,61,6.1,3.88562E-16,0.1,0,0.01,3.42261E-16
