method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+6
RungeKutta4,1,0.1,2.52198E-15,0.1,0,0.01,2.95315E-15
RungeKutta4,2,0.2,7.51586E-15,0.1,0,0.01,8.80079E-15
RungeKutta4,3,0.3,1.86255E-14,0.1,0,0.01,2.18098E-14
RungeKutta4,4,0.4,4.41120E-14,0.1,0,0.01,5.16535E-14
RungeKutta4,5,0.5,1.02837E-13,0.1,0,0.01,1.20418E-13
RungeKutta4,6,0.6,2.37803E-13,0.1,0,0.01,2.78458E-13
RungeKutta4,7,0.7,5.46720E-13,0.1,0,0.01,6.40189E-13
RungeKutta4,8,0.8,1.25080E-12,0.1,0,0.01,1.46464E-12
RungeKutta4,9,0.9,2.84901E-12,0.1,0,0.01,3.33609E-12
RungeKutta4,10,1.0,6.46308E-12,0.1,0,0.01,7.56803E-12
RungeKutta4,11,1.1,1.46064E-11,0.1,0,0.01,1.71036E-11
RungeKutta4,12,1.2,3.28941E-11,0.1,0,0.01,3.85178E-11
RungeKutta4,13,1.3,7.38341E-11,0.1,0,0.01,8.64570E-11
RungeKutta4,14,1.4,1.65213E-10,0.1,0,0.01,1.93458E-10
RungeKutta4,15,1.5,3.68600E-10,0.1,0,0.01,4.31617E-10
RungeKutta4,16,1.6,8.20085E-10,0.1,0,0.01,9.60289E-10
RungeKutta4,17,1.7,1.81975E-9,0.1,0,0.01,2.13086E-9
RungeKutta4,18,1.8,4.02787E-9,0.1,0,0.01,4.71649E-9
RungeKutta4,19,1.9,8.89390E-9,0.1,0,0.01,1.04144E-8
RungeKutta4,20,2.0,1.95936E-8,0.1,0,0.01,2.29434E-8
RungeKutta4,21,2.1,4.30706E-8,0.1,0,0.01,5.04341E-8
RungeKutta4,22,2.2,9.44766E-8,0.1,0,0.01,1.10629E-7
RungeKutta4,23,2.3,2.06817E-7,0.1,0,0.01,2.42175E-7
RungeKutta4,24,2.4,4.51845E-7,0.1,0,0.01,5.29094E-7
RungeKutta4,25,2.5,9.85298E-7,0.1,0,0.01,0.00000115375
RungeKutta4,26,2.6,0.00000214459,0.1,0,0.01,0.00000251124
RungeKutta4,27,2.7,0.00000465954,0.1,0,0.01,0.00000545615
RungeKutta4,28,2.8,0.0000101061,0.1,0,0.01,0.0000118339
RungeKutta4,29,2.9,0.0000218812,0.1,0,0.01,0.0000256221
RungeKutta4,30,3.0,0.0000472974,0.1,0,0.01,0.0000553835
RungeKutta4,31,3.1,0.000102064,0.1,0,0.01,0.000119513
RungeKutta4,32,3.2,0.000219867,0.1,0,0.01,0.000257456
RungeKutta4,33,3.3,0.000472769,0.1,0,0.01,0.000553595
RungeKutta4,34,3.4,0.00101440,0.1,0,0.01,0.00118782
RungeKutta4,35,3.5,0.00217055,0.1,0,0.01,0.00254163
RungeKutta4,36,3.6,0.00462518,0.1,0,0.01,0.00541591
RungeKutta4,37,3.7,0.00978730,0.1,0,0.01,0.0114606
RungeKutta4,38,3.8,0.0204513,0.1,0,0.01,0.0239477
RungeKutta4,39,3.9,0.0417550,0.1,0,0.01,0.0488936
RungeKutta4,40,4.0,0.0818395,0.1,0,0.01,0.0958310
RungeKutta4,41,4.1,0.150340,0.1,0,0.01,0.176043
RungeKutta4,42,4.2,0.252925,0.1,0,0.01,0.296166
RungeKutta4,43,4.3,0.385132,0.1,0,0.01,0.450975
RungeKutta4,44,4.4,0.532306,0.1,0,0.01,0.623311
RungeKutta4,45,4.5,0.674620,0.1,0,0.01,0.789955
RungeKutta4,46,4.6,0.790071,0.1,0,0.01,0.925144
RungeKutta4,47,4.7,0.853998,0.1,0,0.01,1
RungeKutta4,48,4.8,0.842147,0.1,0,0.01,0.986123
RungeKutta4,49,4.9,0.745863,0.1,0,0.01,0.873378
RungeKutta4,50,5.0,0.589304,0.1,0,0.01,0.690053
RungeKutta4,51,5.1,0.419132,0.1,0,0.01,0.490788
RungeKutta4,52,5.2,0.273070,0.1,0,0.01,0.319755
RungeKutta4,53,5.3,0.165498,0.1,0,0.01,0.193792
RungeKutta4,54,5.4,0.0942402,0.1,0,0.01,0.110352
RungeKutta4,55,5.5,0.0507577,0.1,0,0.01,0.0594354
RungeKutta4,56,5.6,0.0260234,0.1,0,0.01,0.0304724
RungeKutta4,57,5.7,0.0127968,0.1,0,0.01,0.0149846
RungeKutta4,58,5.8,0.00608698,0.1,0,0.01,0.00712763
RungeKutta4,59,5.9,0.00282428,0.1,0,0.01,0.00330713
RungeKutta4,60,6.0,0.00128767,0.1,0,0.01,0.00150781
RungeKutta4,61,6.1,0.000580268,0.1,0,0.01,0.000679472
RungeKutta4,62,6.2,0.000259573,0.1,0,0.01,0.000303950
RungeKutta4,63,6.3,0.000115620,0.1,0,0.01,0.000135387
RungeKutta4,64,6.4,0.0000513862,0.1,0,0.01,0.0000601713
RungeKutta4,65,6.5,0.0000228189,0.1,0,0.01,0.0000267201
RungeKutta4,66,6.6,0.0000101334,0.1,0,0.01,0.0000118658
RungeKutta4,67,6.7,0.00000450247,0.1,0,0.01,0.00000527223
RungeKutta4,68,6.8,0.00000200219,0.1,0,0.01,0.00000234449
RungeKutta4,69,6.9,8.9119E-7,0.1,0,0.01,0.00000104355
RungeKutta4,70,7.0,3.9706E-7,0.1,0,0.01,4.64943E-7
RungeKutta4,71,7.1,1.77068E-7,0.1,0,0.01,2.07340E-7
RungeKutta4,72,7.2,7.90272E-8,0.1,0,0.01,9.25379E-8
RungeKutta4,73,7.3,3.52945E-8,0.1,0,0.01,4.13286E-8
RungeKutta4,74,7.4,1.57713E-8,0.1,0,0.01,1.84676E-8
RungeKutta4,75,7.5,7.04998E-9,0.1,0,0.01,8.25527E-9
RungeKutta4,76,7.6,3.15203E-9,0.1,0,0.01,3.69091E-9
RungeKutta4,77,7.7,1.40928E-9,0.1,0,0.01,1.65021E-9
RungeKutta4,78,7.8,6.29982E-10,0.1,0,0.01,7.37686E-10
RungeKutta4,79,7.9,2.81515E-10,0.1,0,0.01,3.29644E-10
RungeKutta4,80,8.0,1.25732E-10,0.1,0,0.01,1.47228E-10
RungeKutta4,81,8.1,5.61145E-11,0.1,0,0.01,6.57080E-11
RungeKutta4,82,8.2,2.50217E-11,0.1,0,0.01,2.92995E-11
RungeKutta4,83,8.3,1.11452E-11,0.1,0,0.01,1.30506E-11
RungeKutta4,84,8.4,4.95805E-12,0.1,0,0.01,5.80569E-12
RungeKutta4,85,8.5,2.20247E-12,0.1,0,0.01,2.57901E-12
RungeKutta4,86,8.6,9.7680E-13,0.1,0,0.01,1.14380E-12
RungeKutta4,87,8.7,4.32433E-13,0.1,0,0.01,5.06363E-13
RungeKutta4,88,8.8,1.91060E-13,0.1,0,0.01,2.23724E-13
RungeKutta4,89,8.9,8.4232E-14,0.1,0,0.01,9.86325E-14
RungeKutta4,90,9.0,3.70478E-14,0.1,0,0.01,4.33816E-14
RungeKutta4,91,9.1,1.62533E-14,0.1,0,0.01,1.90320E-14
RungeKutta4,92,9.2,7.11103E-15,0.1,0,0.01,8.32675E-15
RungeKutta4,93,9.3,3.10206E-15,0.1,0,0.01,3.63240E-15
RungeKutta4,94,9.4,1.34901E-15,0.1,0,0.01,1.57964E-15
RungeKutta4,95,9.5,5.84713E-16,0.1,0,0.01,6.84677E-16
RungeKutta4,96,9.6,2.52558E-16,0.1,0,0.01,2.95736E-16
RungeKutta4,97,9.7,1.08693E-16,0.1,0,0.01,1.27275E-16
RungeKutta4,98,9.8,4.66027E-17,0.1,0,0.01,5.45700E-17
RungeKutta4,99,9.9,1.99047E-17,0.1,0,0.01,2.33077E-17
RungeKutta4,100,10.0,8.4691E-18,0.1,0,0.01,9.91700E-18
RungeKutta4,101,10.1,3.5901E-18,0.1,0,0.01,4.20387E-18
RungeKutta4,102,10.2,1.51665E-18,0.1,0,0.01,1.77594E-18
RungeKutta4,103,10.3,6.38843E-19,0.1,0,0.01,7.48061E-19
RungeKutta4,104,10.4,2.68536E-19,0.1,0,0.01,3.14446E-19
RungeKutta4,105,10.5,1.12790E-19,0.1,0,0.01,1.32073E-19
RungeKutta4,106,10.6,4.74267E-20,0.1,0,0.01,5.55349E-20
RungeKutta4,107,10.7,2.00172E-20,0.1,0,0.01,2.34394E-20
RungeKutta4,108,10.8,8.5099E-21,0.1,0,0.01,9.96478E-21
RungeKutta4,109,10.9,3.65982E-21,0.1,0,0.01,4.28551E-21
RungeKutta4,110,11.0,1.60012E-21,0.1,0,0.01,1.87368E-21
RungeKutta4,111,11.1,7.14775E-22,0.1,0,0.01,8.36975E-22
RungeKutta4,112,11.2,3.27608E-22,0.1,0,0.01,3.83617E-22
RungeKutta4,113,11.3,1.54458E-22,0.1,0,0.01,1.80865E-22
RungeKutta4,114,11.4,7.4926E-23,0.1,0,0.01,8.77356E-23
RungeKutta4,115,11.5,3.73145E-23,0.1,0,0.01,4.36939E-23
RungeKutta4,116,11.6,1.90022E-23,0.1,0,0.01,2.22509E-23
RungeKutta4,117,11.7,9.84608E-24,0.1,0,0.01,1.15294E-23
RungeKutta4,118,11.8,5.16518E-24,0.1,0,0.01,6.04823E-24
RungeKutta4,119,11.9,2.73103E-24,0.1,0,0.01,3.19793E-24
RungeKutta4,120,12.0,3.21868E-16,0.1,0,0.01,3.76895E-16
RungeKutta4,121,12.1,2.31617E-15,0.1,0,0.01,2.71215E-15
