TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 19:42:48,black_headed_gull_observed.csv,0.2190389603713966085483886204,0.68,0.444,1.849,6.247,0.678,7.32,8.423,0.085,7.37,26.875,0.015,0.38,0.038,4.34,11.15,11.37,7.658,16.338,17.086,15.589,12.584,11.360,13.809,0.098,9.65,7.74,0.967,7.55,13.633,35.006,54.852,15.161,0.916,0.304,12.19,73.236,139.164,7.309
2026-05-23 19:42:48,black_headed_gull_observed.csv,0.2719458146854349482298164624,0.745,1.855,4.326,0.902,0.027,7.06,14.989,0.083,6.88,7.33,0.072,0.035,0.04,4.95,9.87,11.33,6.68,4.294,2.735,5.853,0.672,0.638,0.706,0.162,11.23,8.83,7.225,6.92,13.863,20.844,22.03,19.658,1.614,0.27,12.125,103.602,192.503,14.702
2026-05-23 19:42:48,black_headed_gull_observed.csv,16.13594428809667322828062660,0.795,0.818,4.268,5.497,0.73,6.8,5.405,0.096,7.33,7.51,0.028,0.492,0.023,3.97,9.76,11.31,11.888,9.690,9.112,10.269,10.291,7.908,12.674,0.121,10.49,9.25,4.416,7.06,9.466,38.892,64.761,13.024,1.322,0.035,12.232,78.235,141.015,15.455
2026-05-23 19:42:49,black_headed_gull_observed.csv,0.1508941156212129136156290544,0.957,1.359,1.564,3.791,0.894,6.38,14.881,0.031,6.57,20.872,0.082,0.595,0.05,3.56,10.98,11.29,10.966,6.800,7.177,6.424,4.125,1.575,6.675,0.046,8.55,8.97,7.326,7.52,22.977,12.676,19.372,5.979,0.845,0.346,12.121,89.362,168.071,10.653
2026-05-23 19:42:49,black_headed_gull_observed.csv,17.56296574458427272563388596,0.924,2.708,0.146,1.356,0.246,6.77,4.455,0.082,7.37,25.675,0.071,0.442,0.006,3.81,11.35,11.36,8.602,14.847,10.766,18.928,11.088,11.351,10.825,0.158,9.33,7.36,3.415,6.75,19.665,46.643,75.825,17.461,1.322,0.012,12.028,82.772,156.013,9.531
2026-05-23 19:42:49,black_headed_gull_observed.csv,1.184967598208984496274166406,0.51,3.343,4.733,1.63,0.465,7.38,4.7,0.093,6.62,18.12,0.09,0.17,0.043,3.87,10.04,11.35,2.144,8.650,9.093,8.207,12.094,11.849,12.338,0.205,11.26,8.79,1.942,7.41,18.802,25.026,31.166,18.885,1.761,0.243,12.045,121.191,228.897,13.485
2026-05-23 19:42:49,black_headed_gull_observed.csv,0.5837211566052042011712358854,0.725,2.379,3.39,6.982,0.626,7.6,9.383,0.024,6.75,6.905,0.044,0.025,0.038,2.68,10.4,11.36,3.679,15.986,16.778,15.194,3.802,4.414,3.189,0.246,9.84,8.14,5.821,6.65,17.534,19.900,23.082,16.717,1.61,0.305,12.047,49.913,88.375,11.451
2026-05-23 19:42:50,black_headed_gull_observed.csv,0.4922965103650122740826375736,0.613,1.407,5.16,7.125,0.073,6.43,4.555,0.039,6.59,23.854,0.012,0.251,0.042,3.87,9.68,11.48,2.022,14.305,10.988,17.622,3.745,3.963,3.527,0.152,11.27,7.65,2.643,7.56,23.808,22.478,29.725,15.23,1.512,0.157,12.138,51.438,89.277,13.6
2026-05-23 19:42:50,black_headed_gull_observed.csv,0.2260806866118356351259942332,0.772,3.431,2.708,7.542,0.338,6.93,14.064,0.087,7.01,19.265,0.036,0.159,0.044,4.13,11.7,11.42,5.15,12.146,9.017,15.276,7.346,11.622,3.07,0.03,8.65,7.36,3.037,7.04,19.279,10.104,19.324,0.883,1.445,0.016,12.23,60.920,116.368,5.473
2026-05-23 19:42:50,black_headed_gull_observed.csv,1.033027591006955091173586110,0.684,1.403,0.871,5.356,0.535,7.7,15.526,0.025,7.42,6.863,0.025,0.149,0.025,5.34,9.91,11.41,4.766,8.006,6.753,9.259,4.092,6.373,1.812,0.029,10.18,8.22,5.913,7.34,19.02,8.736,0.751,16.721,1.51,0.327,12.172,99.974,188.222,11.727
