method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.762,0.1,0,0.01,1
RungeKutta4,1,0.1,0.677963,0.1,0,0.01,0.889715
RungeKutta4,2,0.2,0.604734,0.1,0,0.01,0.793614
RungeKutta4,3,0.3,0.540956,0.1,0,0.01,0.709916
RungeKutta4,4,0.4,0.485450,0.1,0,0.01,0.637073
RungeKutta4,5,0.5,0.437205,0.1,0,0.01,0.573760
RungeKutta4,6,0.6,0.395356,0.1,0,0.01,0.518840
RungeKutta4,7,0.7,0.359176,0.1,0,0.01,0.471360
RungeKutta4,8,0.8,0.328057,0.1,0,0.01,0.430521
RungeKutta4,9,0.9,0.301507,0.1,0,0.01,0.395678
RungeKutta4,10,1.0,0.279134,0.1,0,0.01,0.366318
RungeKutta4,11,1.1,0.260642,0.1,0,0.01,0.342050
RungeKutta4,12,1.2,0.245818,0.1,0,0.01,0.322596
RungeKutta4,13,1.3,0.234523,0.1,0,0.01,0.307773
RungeKutta4,14,1.4,0.226677,0.1,0,0.01,0.297476
RungeKutta4,15,1.5,0.222246,0.1,0,0.01,0.291661
RungeKutta4,16,1.6,0.221285,0.1,0,0.01,0.290400
RungeKutta4,17,1.7,0.224833,0.1,0,0.01,0.295056
RungeKutta4,18,1.8,0.233188,0.1,0,0.01,0.306021
RungeKutta4,19,1.9,0.246022,0.1,0,0.01,0.322864
RungeKutta4,20,2.0,0.262980,0.1,0,0.01,0.345118
RungeKutta4,21,2.1,0.283647,0.1,0,0.01,0.372240
RungeKutta4,22,2.2,0.307530,0.1,0,0.01,0.403583
RungeKutta4,23,2.3,0.334033,0.1,0,0.01,0.438364
RungeKutta4,24,2.4,0.362455,0.1,0,0.01,0.475663
RungeKutta4,25,2.5,0.392002,0.1,0,0.01,0.514438
RungeKutta4,26,2.6,0.421798,0.1,0,0.01,0.553541
RungeKutta4,27,2.7,0.450911,0.1,0,0.01,0.591747
RungeKutta4,28,2.8,0.478396,0.1,0,0.01,0.627816
RungeKutta4,29,2.9,0.503323,0.1,0,0.01,0.660529
RungeKutta4,30,3.0,0.524834,0.1,0,0.01,0.688759
RungeKutta4,31,3.1,0.542169,0.1,0,0.01,0.711508
RungeKutta4,32,3.2,0.554666,0.1,0,0.01,0.727908
RungeKutta4,33,3.3,0.561861,0.1,0,0.01,0.737350
RungeKutta4,34,3.4,0.563562,0.1,0,0.01,0.739583
RungeKutta4,35,3.5,0.560892,0.1,0,0.01,0.736079
RungeKutta4,36,3.6,0.554399,0.1,0,0.01,0.727558
RungeKutta4,37,3.7,0.544147,0.1,0,0.01,0.714104
RungeKutta4,38,3.8,0.530353,0.1,0,0.01,0.696001
RungeKutta4,39,3.9,0.513377,0.1,0,0.01,0.673723
RungeKutta4,40,4.0,0.493680,0.1,0,0.01,0.647874
RungeKutta4,41,4.1,0.471798,0.1,0,0.01,0.619157
RungeKutta4,42,4.2,0.448306,0.1,0,0.01,0.588328
