method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.631,0.1,0,0.01,1
RungeKutta4,1,0.1,0.551241,0.1,0,0.01,0.873598
RungeKutta4,2,0.2,0.484160,0.1,0,0.01,0.767288
RungeKutta4,3,0.3,0.427963,0.1,0,0.01,0.678227
RungeKutta4,4,0.4,0.381158,0.1,0,0.01,0.604051
RungeKutta4,5,0.5,0.342515,0.1,0,0.01,0.542809
RungeKutta4,6,0.6,0.311028,0.1,0,0.01,0.492909
RungeKutta4,7,0.7,0.285881,0.1,0,0.01,0.453056
RungeKutta4,8,0.8,0.266417,0.1,0,0.01,0.422209
RungeKutta4,9,0.9,0.252112,0.1,0,0.01,0.399539
RungeKutta4,10,1.0,0.242545,0.1,0,0.01,0.384377
RungeKutta4,11,1.1,0.237378,0.1,0,0.01,0.376188
RungeKutta4,12,1.2,0.236414,0.1,0,0.01,0.374661
RungeKutta4,13,1.3,0.240580,0.1,0,0.01,0.381263
RungeKutta4,14,1.4,0.249796,0.1,0,0.01,0.395868
RungeKutta4,15,1.5,0.263416,0.1,0,0.01,0.417453
RungeKutta4,16,1.6,0.280866,0.1,0,0.01,0.445108
RungeKutta4,17,1.7,0.301596,0.1,0,0.01,0.477961
RungeKutta4,18,1.8,0.325063,0.1,0,0.01,0.515151
RungeKutta4,19,1.9,0.350700,0.1,0,0.01,0.555781
RungeKutta4,20,2.0,0.377911,0.1,0,0.01,0.598905
RungeKutta4,21,2.1,0.406069,0.1,0,0.01,0.643530
RungeKutta4,22,2.2,0.434513,0.1,0,0.01,0.688608
RungeKutta4,23,2.3,0.462563,0.1,0,0.01,0.733061
RungeKutta4,24,2.4,0.489525,0.1,0,0.01,0.775791
RungeKutta4,25,2.5,0.514723,0.1,0,0.01,0.815724
RungeKutta4,26,2.6,0.537505,0.1,0,0.01,0.851829
RungeKutta4,27,2.7,0.557274,0.1,0,0.01,0.883159
RungeKutta4,28,2.8,0.573503,0.1,0,0.01,0.908879
RungeKutta4,29,2.9,0.585816,0.1,0,0.01,0.928392
RungeKutta4,30,3.0,0.594031,0.1,0,0.01,0.941412
RungeKutta4,31,3.1,0.598046,0.1,0,0.01,0.947775
RungeKutta4,32,3.2,0.598022,0.1,0,0.01,0.947737
RungeKutta4,33,3.3,0.595053,0.1,0,0.01,0.943031
RungeKutta4,34,3.4,0.589154,0.1,0,0.01,0.933683
RungeKutta4,35,3.5,0.580324,0.1,0,0.01,0.919689
RungeKutta4,36,3.6,0.568652,0.1,0,0.01,0.901191
RungeKutta4,37,3.7,0.554305,0.1,0,0.01,0.878454
RungeKutta4,38,3.8,0.537520,0.1,0,0.01,0.851853
RungeKutta4,39,3.9,0.518585,0.1,0,0.01,0.821845
RungeKutta4,40,4.0,0.497838,0.1,0,0.01,0.788965
RungeKutta4,41,4.1,0.475643,0.1,0,0.01,0.753790
RungeKutta4,42,4.2,0.452376,0.1,0,0.01,0.716917
RungeKutta4,43,4.3,0.428421,0.1,0,0.01,0.678953
RungeKutta4,44,4.4,0.404148,0.1,0,0.01,0.640485
RungeKutta4,45,4.5,0.379908,0.1,0,0.01,0.602070
RungeKutta4,46,4.6,0.356023,0.1,0,0.01,0.564217
RungeKutta4,47,4.7,0.332777,0.1,0,0.01,0.527377
RungeKutta4,48,4.8,0.310416,0.1,0,0.01,0.491939
RungeKutta4,49,4.9,0.289140,0.1,0,0.01,0.458221
RungeKutta4,50,5.0,0.269105,0.1,0,0.01,0.426469
RungeKutta4,51,5.1,0.250420,0.1,0,0.01,0.396857
RungeKutta4,52,5.2,0.233155,0.1,0,0.01,0.369496
RungeKutta4,53,5.3,0.217339,0.1,0,0.01,0.344431
RungeKutta4,54,5.4,0.202961,0.1,0,0.01,0.321644
RungeKutta4,55,5.5,0.189974,0.1,0,0.01,0.301063
RungeKutta4,56,5.6,0.178286,0.1,0,0.01,0.282539
RungeKutta4,57,5.7,0.167739,0.1,0,0.01,0.265825
RungeKutta4,58,5.8,0.158051,0.1,0,0.01,0.250471
RungeKutta4,59,5.9,0.148640,0.1,0,0.01,0.235557
RungeKutta4,60,6.0,0.138126,0.1,0,0.01,0.218894
RungeKutta4,61,6.1,0.124434,0.1,0,0.01,0.197195
RungeKutta4,62,6.2,0.108531,0.1,0,0.01,0.171992
RungeKutta4,63,6.3,0.0940936,0.1,0,0.01,0.149112
RungeKutta4,64,6.4,0.0827881,0.1,0,0.01,0.131195
RungeKutta4,65,6.5,0.0744686,0.1,0,0.01,0.118010
RungeKutta4,66,6.6,0.0684924,0.1,0,0.01,0.108539
RungeKutta4,67,6.7,0.0642401,0.1,0,0.01,0.101800
RungeKutta4,68,6.8,0.0612268,0.1,0,0.01,0.0970245
RungeKutta4,69,6.9,0.0590954,0.1,0,0.01,0.0936467
RungeKutta4,70,7.0,0.0575885,0.1,0,0.01,0.0912586
RungeKutta4,71,7.1,0.0565191,0.1,0,0.01,0.0895638
RungeKutta4,72,7.2,0.0557456,0.1,0,0.01,0.0883379
RungeKutta4,73,7.3,0.0551458,0.1,0,0.01,0.0873874
RungeKutta4,74,7.4,0.0545891,0.1,0,0.01,0.0865051
RungeKutta4,75,7.5,0.0539075,0.1,0,0.01,0.0854249
RungeKutta4,76,7.6,0.0528702,0.1,0,0.01,0.0837810
RungeKutta4,77,7.7,0.0511656,0.1,0,0.01,0.0810796
RungeKutta4,78,7.8,0.0483946,0.1,0,0.01,0.0766881
RungeKutta4,79,7.9,0.0440853,0.1,0,0.01,0.0698587
RungeKutta4,80,8.0,0.0377522,0.1,0,0.01,0.0598220
RungeKutta4,81,8.1,0.0290201,0.1,0,0.01,0.0459834
RungeKutta4,82,8.2,0.0183445,0.1,0,0.01,0.0290647
RungeKutta4,83,8.3,0.0107530,0.1,0,0.01,0.0170337
RungeKutta4,84,8.4,0.00606933,0.1,0,0.01,0.00961112
RungeKutta4,85,8.5,0.00331718,0.1,0,0.01,0.00524952
RungeKutta4,86,8.6,0.00177247,0.1,0,0.01,0.00280146
RungeKutta4,87,8.7,0.00093766,0.1,0,0.01,0.00147846
RungeKutta4,88,8.8,0.000496322,0.1,0,0.01,0.000779024
RungeKutta4,89,8.9,0.000264052,0.1,0,0.01,0.000410922
RungeKutta4,90,9.0,0.000141732,0.1,0,0.01,0.000217070
RungeKutta4,91,9.1,0.000077016,0.1,0,0.01,0.000114508
RungeKutta4,92,9.2,0.0000424922,0.1,0,0.01,0.0000597948
RungeKutta4,93,9.3,0.0000238605,0.1,0,0.01,0.0000302673
RungeKutta4,94,9.4,0.0000136600,0.1,0,0.01,0.0000141016
RungeKutta4,95,9.5,0.00000798158,0.1,0,0.01,0.00000510242
RungeKutta4,96,9.6,0.00000476198,0.1,0,0.01,0.00000
RungeKutta4,97,9.7,0.000371579,0.1,0,0.01,0.000581331
RungeKutta4,98,9.8,0.00227910,0.1,0,0.01,0.00360437
RungeKutta4,99,9.9,0.00541915,0.1,0,0.01,0.00858072
RungeKutta4,100,10.0,0.00945975,0.1,0,0.01,0.0149843
RungeKutta4,101,10.1,0.0141561,0.1,0,0.01,0.0224270
RungeKutta4,102,10.2,0.0193364,0.1,0,0.01,0.0306367
RungeKutta4,103,10.3,0.0248663,0.1,0,0.01,0.0394005
RungeKutta4,104,10.4,0.0306114,0.1,0,0.01,0.0485053
RungeKutta4,105,10.5,0.0364899,0.1,0,0.01,0.0578215
RungeKutta4,106,10.6,0.0427763,0.1,0,0.01,0.0677842
RungeKutta4,107,10.7,0.0506972,0.1,0,0.01,0.0803372
RungeKutta4,108,10.8,0.0628878,0.1,0,0.01,0.0996569
RungeKutta4,109,10.9,0.0826875,0.1,0,0.01,0.131035
RungeKutta4,110,11.0,0.111530,0.1,0,0.01,0.176745
RungeKutta4,111,11.1,0.145788,0.1,0,0.01,0.231037
RungeKutta4,112,11.2,0.176914,0.1,0,0.01,0.280365
RungeKutta4,113,11.3,0.200627,0.1,0,0.01,0.317945
RungeKutta4,114,11.4,0.217775,0.1,0,0.01,0.345122
RungeKutta4,115,11.5,0.229228,0.1,0,0.01,0.363272
RungeKutta4,116,11.6,0.235741,0.1,0,0.01,0.373594
RungeKutta4,117,11.7,0.238001,0.1,0,0.01,0.377176
RungeKutta4,118,11.8,0.236179,0.1,0,0.01,0.374288
RungeKutta4,119,11.9,0.230596,0.1,0,0.01,0.365440
RungeKutta4,120,12.0,0.220729,0.1,0,0.01,0.349803
RungeKutta4,121,12.1,0.203845,0.1,0,0.01,0.323045
