TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 20:00:44,egret_observed.csv,1.016985645520808277865582908,0.033,1.654,3.274,2.662,0.353,7.38,3.341,0.236,7.43,21.979,0.02,0.342,0.049,5.83,10.22,8.76,9.276,18.412,20.000,16.824,8.601,9.447,7.755,0.072,1.98,4.56,6.212,7.11,8.12,22.592,37.043,8.142,1.778,0.186,12.166,90.244,165.936,14.552
2026-05-23 20:00:44,egret_observed.csv,3.784463585428199334206252071,0.574,0.527,3.637,0.883,0.549,7.25,5.979,0.416,6.83,20.766,0.053,0.232,0.044,6.85,10.72,10.64,11.441,7.018,8.745,5.291,2.753,1.411,4.095,0.18,3.46,4.2,2.839,7.03,14.751,15.658,15.67,15.646,1.394,0.297,12.026,71.503,130.72,12.286
2026-05-23 20:00:45,egret_observed.csv,0.8947304300213040920085370907,0.278,1.624,2.524,0.458,0.694,7.11,8.339,0.258,6.96,14.458,0.059,0.143,0.029,5.94,9.89,11.2,2.572,13.280,13.255,13.305,10.012,10.908,9.115,0.136,2.77,3.63,5.362,6.71,10.985,12.886,14.629,11.142,0.912,0.091,12.242,114.965,221.546,8.384
2026-05-23 20:00:45,egret_observed.csv,17.04040146323985394266090667,0.286,0.865,0.577,7.017,0.285,7.75,13.814,0.137,6.89,9.14,0.063,0.409,0.014,7.0,10.5,10.73,9.044,8.178,13.346,3.011,10.940,13.639,8.242,0.164,3.5,4.87,7.835,6.62,20.077,16.366,21.045,11.688,0.848,0.32,12.088,118.608,230.949,6.266
2026-05-23 20:00:45,egret_observed.csv,19.84952290653977622764481608,0.337,1.975,0.429,0.421,0.9,6.6,5.282,0.444,6.64,25.556,0.03,0.16,0.032,6.27,10.81,9.1,3.953,10.356,8.656,12.057,11.980,13.457,10.502,0.154,4.5,4.98,4.036,6.87,21.57,25.668,33.571,17.764,1.766,0.156,12.294,122.278,229.511,15.045
2026-05-23 20:00:46,egret_observed.csv,3.448711046205572949031343766,0.254,2.756,4.308,1.962,0.077,6.41,6.674,0.171,7.54,13.192,0.04,0.003,0.013,7.49,11.21,8.64,4.698,8.956,15.869,2.043,7.055,4.687,9.423,0.015,3.67,3.68,2.059,7.11,16.16,36.470,62.733,10.208,1.322,0.149,12.05,82.979,152.629,13.329
2026-05-23 20:00:46,egret_observed.csv,0.6608664560420127719738306905,0.421,1.872,2.877,5.32,0.206,6.71,8.24,0.394,7.08,25.606,0.045,0.699,0.029,5.74,11.92,10.47,2.978,14.670,14.273,15.067,10.700,7.766,13.634,0.228,2.7,4.59,3.161,6.67,23.548,36.938,56.341,17.534,0.922,0.103,12.064,79.149,144.291,14.007
2026-05-23 20:00:46,egret_observed.csv,0.4632279498185021195965716437,0.074,0.353,5.881,7.503,0.868,7.46,5.149,0.261,7.39,6.722,0.058,0.251,0.012,7.34,10.74,9.74,2.615,14.142,18.416,9.867,10.376,12.994,7.759,0.049,3.94,4.93,6.655,7.29,6.021,25.924,34.768,17.08,1.224,0.266,12.237,58.498,108.798,8.197
2026-05-23 20:00:46,egret_observed.csv,21.91648025400979035195577837,0.26,0.379,1.659,3.983,0.903,7.68,12.752,0.057,6.98,10.975,0.014,0.326,0.031,8.11,9.96,11.29,3.833,8.376,11.877,4.875,8.968,4.157,13.778,0.013,3.77,3.98,7.961,6.65,16.018,10.651,20.011,1.291,1.232,0.148,12.297,89.470,164.39,14.551
2026-05-23 20:00:47,egret_observed.csv,4.462725513418138624478766625,0.03,3.166,3.625,0.049,0.207,6.26,14.891,0.149,7.53,8.904,0.013,0.122,0.035,8.48,11.83,9.07,7.908,8.827,7.415,10.239,12.515,14.000,11.030,0.235,1.66,4.18,5.454,7.54,16.029,7.018,3.815,10.22,1.749,0.157,12.129,63.756,119.337,8.174
2026-05-23 20:00:47,egret_observed.csv,20.46966409060383019431080729,0.053,3.434,0.807,2.375,0.515,7.06,3.511,0.061,7.39,8.305,0.071,0.61,0.029,6.82,10.99,9.55,10.19,5.819,8.54,3.098,10.888,8.983,12.793,0.036,3.92,4.7,2.701,7.06,12.022,24.043,43.078,5.008,1.647,0.191,12.298,85.236,157.305,13.167
2026-05-23 20:00:47,egret_observed.csv,18.20435041947242777916600093,0.39,1.748,1.166,1.778,0.617,6.62,14.488,0.076,6.86,20.579,0.057,0.366,0.012,7.84,10.72,10.7,10.606,16.376,18.510,14.243,5.158,1.353,8.964,0.231,3.89,3.55,1.912,6.93,21.694,33.577,64.818,2.336,1.061,0.145,12.201,112.609,211.872,13.346
2026-05-23 20:00:48,egret_observed.csv,2.805398571851823079507419898,0.467,1.537,4.405,4.729,0.58,6.76,5.207,0.195,7.41,10.156,0.079,0.112,0.017,7.85,10.27,10.26,5.172,17.860,16.297,19.424,9.826,6.65,13.001,0.104,4.45,3.77,3.115,6.71,21.785,35.216,68.282,2.149,1.542,0.033,12.237,86.764,165.307,8.22
2026-05-23 20:00:48,egret_observed.csv,0.4955367849512532029523333334,0.061,1.866,4.623,5.208,0.461,7.1,14.936,0.129,7.33,16.728,0.028,0.155,0.037,5.97,10.02,8.67,8.829,2.960,2.974,2.945,3.444,6.111,0.776,0.2,4.49,4.39,4.127,6.96,23.676,22.468,25.049,19.888,0.804,0.329,12.276,109.200,208.64,9.759
2026-05-23 20:00:48,egret_observed.csv,16.56857550139701438346552939,0.161,0.321,3.737,5.992,0.567,6.68,9.93,0.351,7.03,8.701,0.045,0.418,0.005,7.52,9.82,8.77,8.454,10.164,2.636,17.692,5.520,8.308,2.731,0.108,3.65,4.35,4.349,7.0,20.195,24.400,41.206,7.593,1.254,0.11,12.064,61.737,115.586,7.888
2026-05-23 20:00:49,egret_observed.csv,1.302157941703665261741868592,0.428,1.197,1.502,2.072,0.149,6.41,4.604,0.01,6.8,21.011,0.01,0.521,0.028,5.92,10.08,10.5,9.099,11.281,3.574,18.988,3.115,4.956,1.274,0.184,3.68,3.66,1.098,6.82,8.884,29.007,57.447,0.567,1.058,0.346,12.006,68.054,129.646,6.463
2026-05-23 20:00:49,egret_observed.csv,20.59865016671774256578847617,0.401,0.691,0.481,1.511,0.382,7.73,11.949,0.022,7.08,7.462,0.075,0.345,0.008,6.74,11.18,10.87,2.574,10.628,14.24,7.016,3.428,2.852,4.005,0.019,3.93,4.61,6.642,7.12,18.959,21.122,25.541,16.704,1.533,0.01,12.01,77.691,144.784,10.598
2026-05-23 20:00:49,egret_observed.csv,18.26897336127081668875317868,0.226,1.539,4.153,6.969,0.916,6.85,9.377,0.233,6.66,15.554,0.054,0.096,0.024,8.3,11.04,11.45,11.597,9.506,6.75,12.261,10.432,10.15,10.714,0.23,3.69,4.17,3.533,6.8,21.904,27.708,35.66,19.757,1.128,0.003,12.281,106.484,206.924,6.044
2026-05-23 20:00:50,egret_observed.csv,0.7231871972103625427395916467,0.486,3.015,5.739,6.158,0.601,6.83,8.745,0.441,6.74,15.449,0.015,0.739,0.01,5.85,11.26,9.33,7.149,10.940,11.902,9.979,10.858,8.809,12.908,0.217,1.77,3.95,3.04,7.55,11.88,37.717,56.589,18.845,0.91,0.034,12.226,57.399,105.746,9.052
2026-05-23 20:00:50,egret_observed.csv,1.752412467659462749040770370,0.338,3.278,3.775,4.313,0.008,7.68,4.371,0.099,7.26,8.445,0.004,0.072,0.026,7.17,10.24,9.44,6.754,9.505,0.488,18.522,5.656,4.918,6.395,0.071,1.74,4.02,5.928,7.4,20.05,32.380,57.052,7.708,1.432,0.249,12.217,101.168,193.259,9.076
2026-05-23 20:00:50,egret_observed.csv,17.46114895916177481296794417,0.122,1.642,2.64,3.819,0.477,6.91,3.68,0.338,7.57,16.482,0.013,0.355,0.023,7.02,11.63,10.32,5.283,5.258,9.413,1.103,8.561,5.092,12.03,0.158,1.89,4.14,6.264,6.99,9.89,33.044,51.438,14.65,1.794,0.299,12.062,118.604,231.569,5.639
2026-05-23 20:00:50,egret_observed.csv,16.79066789552055283718791822,0.292,1.395,5.536,3.733,0.516,7.67,3.692,0.166,7.27,10.407,0.009,0.384,0.037,5.82,10.18,10.17,11.799,3.624,5.754,1.495,10.378,8.027,12.729,0.174,3.89,4.38,4.416,6.93,20.753,16.424,26.907,5.941,1.453,0.05,12.042,87.070,160.971,13.168
