TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 19:47:10,gadwall_observed.csv,0.4247230979171215360781413632,0.896,1.388,5.948,3.801,0.705,6.96,10.578,0.003,6.59,23.224,0.021,0.186,0.002,1.89,10.49,9.17,9.465,17.850,18.21,17.49,5.677,0.952,10.402,0.213,5.57,4.09,1.672,7.36,15.201,35.684,54.516,16.853,1.41,0.245,12.134,80.944,154.39,7.497
2026-05-23 19:47:10,gadwall_observed.csv,0.5736280357875836423433440826,1.123,2.306,3.027,1.854,0.702,7.21,5.512,0.01,6.62,19.015,0.003,0.492,0.047,2.26,10.57,10.97,7.234,11.146,4.076,18.215,4.566,7.399,1.733,0.116,5.09,4.15,3.763,7.17,13.91,27.870,51.657,4.084,1.752,0.326,12.102,88.685,162.487,14.883
2026-05-23 19:47:10,gadwall_observed.csv,0.9353441787512677464778333484,1.187,2.583,0.768,5.903,0.154,7.12,4.711,0.092,7.32,14.186,0.085,0.65,0.044,2.28,10.85,9.33,10.227,9.387,2.382,16.392,8.840,9.813,7.868,0.098,4.72,4.44,6.561,7.24,11.81,30.208,52.946,7.469,1.664,0.184,12.001,94.974,183.939,6.009
2026-05-23 19:47:11,gadwall_observed.csv,2.167253973488038998004493123,0.856,3.625,5.579,7.623,0.104,7.02,13.995,0.016,6.9,7.375,0.036,0.318,0.037,11.8,10.07,11.12,4.026,18.684,17.866,19.502,8.121,6.32,9.922,0.111,4.2,4.09,3.209,7.42,6.736,22.165,39.527,4.803,1.237,0.039,12.214,86.703,159.881,13.525
2026-05-23 19:47:11,gadwall_observed.csv,0.3272077559155841754101600939,1.298,2.675,4.92,4.883,0.544,7.53,3.577,0.067,7.6,12.685,0.041,0.306,0.013,1.29,11.66,11.09,8.724,18.175,20.000,16.350,9.544,7.003,12.086,0.055,3.63,4.96,3.585,7.32,18.174,29.008,43.859,14.157,1.546,0.037,12.233,110.454,214.428,6.481
2026-05-23 19:47:11,gadwall_observed.csv,1.735696924578655230427399559,1.262,1.848,3.817,5.732,0.232,6.85,14.717,0.055,7.63,9.152,0.036,0.007,0.026,2.05,11.89,11.16,11.344,9.919,1.797,18.041,8.008,12.119,3.898,0.13,5.13,4.42,1.137,7.56,14.239,18.936,29.533,8.34,1.038,0.269,12.008,76.670,141.323,12.016
2026-05-23 19:47:12,gadwall_observed.csv,0.2442631701717166965869433481,0.984,2.068,2.592,3.924,0.88,6.45,6.659,0.079,7.48,23.754,0.008,0.232,0.049,1.27,10.64,9.94,10.485,11.494,17.933,5.054,2.700,3.558,1.843,0.119,5.95,4.63,4.445,6.89,16.386,42.072,68.174,15.969,1.185,0.198,12.286,112.648,211.494,13.803
2026-05-23 19:47:12,gadwall_observed.csv,0.2154275816470275632428061804,0.895,0.642,3.541,4.385,0.027,6.62,3.809,0.079,7.28,20.859,0.072,0.47,0.044,1.92,10.51,8.69,9.018,16.909,16.77,17.048,9.775,8.287,11.263,0.109,4.76,3.65,6.478,6.78,23.14,24.508,34.147,14.87,1.537,0.065,12.141,117.610,221.728,13.491
2026-05-23 19:47:12,gadwall_observed.csv,1.989476039886023726035324225,1.15,3.535,5.461,0.398,0.7,6.51,5.544,0.034,7.3,24.86,0.066,0.714,0.026,11.68,11.14,10.33,7.21,8.206,8.551,7.860,5.215,8.474,1.956,0.187,5.49,4.82,7.248,6.85,20.847,40.305,73.385,7.225,0.892,0.146,12.243,52.810,96.695,8.924
2026-05-23 19:47:12,gadwall_observed.csv,2.567590406602590561684651664,0.813,3.991,4.618,1.36,0.105,6.48,13.183,0.034,7.5,27.399,0.028,0.316,0.029,11.5,10.76,8.91,11.815,14.347,14.951,13.743,0.419,0.428,0.410,0.035,4.46,4.3,5.313,7.32,14.557,13.744,17.244,10.244,1.218,0.024,12.082,92.529,177.27,7.788
2026-05-23 19:47:13,gadwall_observed.csv,2.676035979120173308841743073,1.124,0.425,5.211,4.989,0.166,6.71,4.411,0.017,7.4,8.359,0.026,0.045,0.041,11.66,10.84,10.91,10.699,6.211,11.585,0.837,10.581,7.8,13.362,0.135,4.54,4.8,7.145,6.64,23.971,32.775,61.418,4.132,0.872,0.165,12.008,74.418,133.441,15.396
2026-05-23 19:47:13,gadwall_observed.csv,1.022405494173710201187201164,1.061,1.253,0.106,0.239,0.166,7.71,6.37,0.024,6.98,6.653,0.016,0.637,0.003,11.72,10.08,8.47,6.096,4.872,4.005,5.739,1.810,0.706,2.915,0.165,4.58,4.17,7.91,6.73,14.491,38.528,72.675,4.38,1.61,0.251,12.266,94.086,172.327,15.846
2026-05-23 19:47:13,gadwall_observed.csv,1.895890729654141471417715899,1.169,2.391,4.06,7.935,0.266,6.31,8.663,0.076,7.56,12.593,0.058,0.218,0.02,11.9,10.91,8.33,6.087,10.160,11.966,8.355,9.341,13.51,5.172,0.1,4.33,4.38,2.222,7.4,15.999,44.693,70.111,19.275,0.932,0.129,12.27,63.592,120.141,7.042
2026-05-23 19:47:14,gadwall_observed.csv,0.2188842412121453587649444249,1.226,1.694,1.408,7.659,0.077,6.57,10.303,0.074,6.83,18.746,0.009,0.433,0.005,1.97,9.85,8.57,10.862,13.380,17.062,9.697,7.978,8.197,7.76,0.037,5.71,3.92,1.176,6.84,15.998,39.480,72.622,6.339,1.739,0.155,12.095,77.138,138.751,15.524
2026-05-23 19:47:14,gadwall_observed.csv,0.5864274717357162194140505457,0.907,3.709,5.444,2.16,0.041,6.26,14.508,0.036,6.59,22.014,0.071,0.631,0.028,1.5,10.37,10.99,11.727,15.014,18.868,11.16,5.868,7.832,3.904,0.203,5.84,4.84,4.096,6.86,14.808,36.827,57.792,15.862,1.67,0.047,12.222,65.188,119.303,11.072
2026-05-23 19:47:14,gadwall_observed.csv,1.106607681907311692004118272,1.209,2.28,4.73,4.014,0.737,7.41,11.168,0.052,6.63,9.568,0.037,0.13,0.035,1.73,11.46,10.33,4.448,16.455,17.056,15.854,4.537,3.914,5.16,0.103,3.89,4.48,2.615,6.96,14.266,30.377,55.709,5.045,0.905,0.296,12.213,110.424,215.59,5.258
2026-05-23 19:47:15,gadwall_observed.csv,1.193891144826587746976414873,1.01,3.39,5.539,6.195,0.714,6.48,13.76,0.064,6.63,6.887,0.018,0.22,0.03,1.96,10.89,9.9,8.834,8.210,11.933,4.487,3.172,3.302,3.041,0.028,5.77,4.89,5.35,7.32,22.106,23.568,33.996,13.14,0.893,0.1,12.156,54.372,98.201,10.542
