method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,1.03,0.1,0,0.01,1
RungeKutta4,1,0.1,0.957754,0.1,0,0.01,0.927990
RungeKutta4,2,0.2,0.897491,0.1,0,0.01,0.867926
RungeKutta4,3,0.3,0.847217,0.1,0,0.01,0.817819
RungeKutta4,4,0.4,0.805104,0.1,0,0.01,0.775845
RungeKutta4,5,0.5,0.769498,0.1,0,0.01,0.740357
RungeKutta4,6,0.6,0.738911,0.1,0,0.01,0.709871
RungeKutta4,7,0.7,0.711953,0.1,0,0.01,0.683002
RungeKutta4,8,0.8,0.687274,0.1,0,0.01,0.658405
RungeKutta4,9,0.9,0.663732,0.1,0,0.01,0.634941
RungeKutta4,10,1.0,0.640428,0.1,0,0.01,0.611714
RungeKutta4,11,1.1,0.616705,0.1,0,0.01,0.588070
RungeKutta4,12,1.2,0.592134,0.1,0,0.01,0.563580
RungeKutta4,13,1.3,0.566502,0.1,0,0.01,0.538033
RungeKutta4,14,1.4,0.539786,0.1,0,0.01,0.511405
RungeKutta4,15,1.5,0.512119,0.1,0,0.01,0.483830
RungeKutta4,16,1.6,0.483754,0.1,0,0.01,0.455559
RungeKutta4,17,1.7,0.455021,0.1,0,0.01,0.426921
RungeKutta4,18,1.8,0.426298,0.1,0,0.01,0.398293
RungeKutta4,19,1.9,0.397970,0.1,0,0.01,0.370058
RungeKutta4,20,2.0,0.370402,0.1,0,0.01,0.342582
RungeKutta4,21,2.1,0.343921,0.1,0,0.01,0.316188
RungeKutta4,22,2.2,0.318795,0.1,0,0.01,0.291145
RungeKutta4,23,2.3,0.295229,0.1,0,0.01,0.267657
RungeKutta4,24,2.4,0.273362,0.1,0,0.01,0.245863
RungeKutta4,25,2.5,0.253268,0.1,0,0.01,0.225835
RungeKutta4,26,2.6,0.234965,0.1,0,0.01,0.207593
RungeKutta4,27,2.7,0.218420,0.1,0,0.01,0.191103
RungeKutta4,28,2.8,0.203553,0.1,0,0.01,0.176285
RungeKutta4,29,2.9,0.190239,0.1,0,0.01,0.163015
RungeKutta4,30,3.0,0.178290,0.1,0,0.01,0.151105
RungeKutta4,31,3.1,0.167430,0.1,0,0.01,0.140281
RungeKutta4,32,3.2,0.157264,0.1,0,0.01,0.130149
RungeKutta4,33,3.3,0.147287,0.1,0,0.01,0.120205
RungeKutta4,34,3.4,0.136953,0.1,0,0.01,0.109905
RungeKutta4,35,3.5,0.125806,0.1,0,0.01,0.0987950
RungeKutta4,36,3.6,0.113624,0.1,0,0.01,0.0866533
RungeKutta4,37,3.7,0.100509,0.1,0,0.01,0.0735817
RungeKutta4,38,3.8,0.0877739,0.1,0,0.01,0.0608887
RungeKutta4,39,3.9,0.0766288,0.1,0,0.01,0.0497805
RungeKutta4,40,4.0,0.0668988,0.1,0,0.01,0.0400827
RungeKutta4,41,4.1,0.0584043,0.1,0,0.01,0.0316163
RungeKutta4,42,4.2,0.0509884,0.1,0,0.01,0.0242250
RungeKutta4,43,4.3,0.0445141,0.1,0,0.01,0.0177721
RungeKutta4,44,4.4,0.0388619,0.1,0,0.01,0.0121386
RungeKutta4,45,4.5,0.0339274,0.1,0,0.01,0.00722043
RungeKutta4,46,4.6,0.0299756,0.1,0,0.01,0.00328170
RungeKutta4,47,4.7,0.0276006,0.1,0,0.01,0.000914564
RungeKutta4,48,4.8,0.0266830,0.1,0,0.01,0.00
RungeKutta4,49,4.9,0.0272666,0.1,0,0.01,0.000581669
RungeKutta4,50,5.0,0.0294508,0.1,0,0.01,0.00275864
RungeKutta4,51,5.1,0.0328604,0.1,0,0.01,0.00615696
RungeKutta4,52,5.2,0.0371388,0.1,0,0.01,0.0104212
RungeKutta4,53,5.3,0.0419736,0.1,0,0.01,0.0152400
RungeKutta4,54,5.4,0.0470980,0.1,0,0.01,0.0203474
RungeKutta4,55,5.5,0.0522912,0.1,0,0.01,0.0255235
RungeKutta4,56,5.6,0.0573764,0.1,0,0.01,0.0305918
RungeKutta4,57,5.7,0.0622121,0.1,0,0.01,0.0354115
RungeKutta4,58,5.8,0.0666551,0.1,0,0.01,0.0398398
RungeKutta4,59,5.9,0.0703772,0.1,0,0.01,0.0435496
RungeKutta4,60,6.0,0.0721916,0.1,0,0.01,0.0453580
RungeKutta4,61,6.1,0.0693524,0.1,0,0.01,0.0425282
RungeKutta4,62,6.2,0.0627027,0.1,0,0.01,0.0359005
RungeKutta4,63,6.3,0.0563195,0.1,0,0.01,0.0295384
RungeKutta4,64,6.4,0.0514890,0.1,0,0.01,0.0247239
RungeKutta4,65,6.5,0.0480562,0.1,0,0.01,0.0213025
RungeKutta4,66,6.6,0.0456548,0.1,0,0.01,0.0189090
RungeKutta4,67,6.7,0.0439794,0.1,0,0.01,0.0172392
RungeKutta4,68,6.8,0.0428087,0.1,0,0.01,0.0160723
RungeKutta4,69,6.9,0.0419885,0.1,0,0.01,0.0152549
RungeKutta4,70,7.0,0.0414118,0.1,0,0.01,0.0146801
RungeKutta4,71,7.1,0.0410050,0.1,0,0.01,0.0142746
RungeKutta4,72,7.2,0.0407170,0.1,0,0.01,0.0139876
RungeKutta4,73,7.3,0.0405124,0.1,0,0.01,0.0137836
RungeKutta4,74,7.4,0.0403667,0.1,0,0.01,0.0136384
RungeKutta4,75,7.5,0.0402628,0.1,0,0.01,0.0135349
RungeKutta4,76,7.6,0.0401885,0.1,0,0.01,0.0134608
RungeKutta4,77,7.7,0.0401352,0.1,0,0.01,0.0134077
RungeKutta4,78,7.8,0.0400970,0.1,0,0.01,0.0133696
RungeKutta4,79,7.9,0.0400697,0.1,0,0.01,0.0133424
RungeKutta4,80,8.0,0.0400501,0.1,0,0.01,0.0133229
RungeKutta4,81,8.1,0.0400363,0.1,0,0.01,0.0133091
RungeKutta4,82,8.2,0.0400268,0.1,0,0.01,0.0132996
RungeKutta4,83,8.3,0.0400213,0.1,0,0.01,0.0132942
RungeKutta4,84,8.4,0.0400205,0.1,0,0.01,0.0132934
RungeKutta4,85,8.5,0.0400260,0.1,0,0.01,0.0132988
