TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 19:48:12,great_crested_grebe_observed.csv,19.01937310262405843510897137,0.946,1.695,0.167,3.462,0.199,7.31,13.544,0.012,6.69,14.531,0.28,0.468,0.039,3.64,10.87,10.89,2.777,11.198,6.111,16.285,9.646,9.657,9.634,0.128,9.72,7.37,3.658,6.77,16.646,40.126,71.98,8.271,1.481,0.17,12.204,52.114,97.706,6.521
2026-05-23 19:48:13,great_crested_grebe_observed.csv,0.5316634693600232230094284001,0.876,1.706,1.228,1.524,0.327,6.49,14.796,0.016,6.65,19.11,0.203,0.161,0.031,4.52,10.29,10.98,8.91,13.646,9.937,17.355,13.226,13.146,13.305,0.038,9.47,6.93,0.899,7.47,23.337,24.990,30.155,19.826,0.87,0.146,12.294,71.596,127.724,15.469
2026-05-23 19:48:13,great_crested_grebe_observed.csv,0.4860029074996723620965857638,0.564,1.277,3.675,1.34,0.036,6.83,12.298,0.051,6.65,11.484,0.247,0.683,0.047,2.71,11.59,10.62,8.633,11.076,6.891,15.262,5.419,1.973,8.865,0.127,10.21,8.48,1.037,6.75,13.698,38.918,69.952,7.885,1.483,0.192,12.063,88.007,170.593,5.421
2026-05-23 19:48:13,great_crested_grebe_observed.csv,0.3383051430058903232388501433,0.556,0.644,0.228,4.835,0.137,7.17,4.798,0.019,7.57,8.098,0.067,0.696,0.023,5.07,10.82,11.16,6.471,6.894,1.212,12.576,11.402,13.798,9.007,0.138,9.15,6.1,6.968,6.97,18.264,26.118,43.245,8.991,0.911,0.008,12.21,45.630,81.44,9.82
2026-05-23 19:48:14,great_crested_grebe_observed.csv,0.7603543847359386834700449444,0.594,2.702,5.891,7.073,0.7,7.7,13.059,0.051,7.48,19.409,0.386,0.728,0.02,4.72,11.78,10.63,6.801,10.497,1.825,19.169,3.311,0.684,5.938,0.014,9.48,6.15,2.479,6.97,20.624,12.054,5.977,18.132,1.256,0.113,12.012,85.764,157.111,14.416
2026-05-23 19:48:14,great_crested_grebe_observed.csv,0.4624753634825112723478952659,0.904,1.277,4.997,7.263,0.452,6.86,10.083,0.004,7.14,14.372,0.223,0.64,0.002,3.17,10.15,11.24,9.601,5.847,3.658,8.036,4.780,4.586,4.973,0.12,7.62,8.35,3.498,7.17,8.24,32.772,55.047,10.498,1.519,0.274,12.04,86.288,161.276,11.301
2026-05-23 19:48:14,great_crested_grebe_observed.csv,0.4346027963896187078569747846,0.477,3.577,5.91,7.296,0.796,7.1,8.412,0.07,6.95,8.922,0.36,0.616,0.037,2.63,11.7,11.25,7.448,6.882,12.131,1.632,10.194,11.304,9.085,0.031,8.88,7.51,4.058,6.93,11.873,28.368,38.383,18.353,1.617,0.286,12.01,67.119,121.427,12.811
2026-05-23 19:48:15,great_crested_grebe_observed.csv,0.3939374347740528884464058944,0.482,2.551,1.871,3.164,0.732,7.2,14.004,0.064,6.78,19.518,0.138,0.496,0.018,5.38,11.07,11.48,3.882,18.544,17.633,19.456,7.332,9.617,5.046,0.179,10.1,6.14,0.859,7.53,14.977,39.726,62.197,17.256,1.007,0.17,12.155,90.551,175.867,5.235
2026-05-23 19:48:15,great_crested_grebe_observed.csv,0.5290799860693589963327438292,0.549,3.63,3.579,7.54,0.128,6.56,5.645,0.02,7.08,19.375,0.054,0.405,0.008,5.07,9.81,11.14,5.389,8.226,9.015,7.438,5.303,6.225,4.381,0.043,7.7,7.86,7.604,6.71,20.261,26.038,46.705,5.37,1.223,0.085,12.147,72.136,133.699,10.573
2026-05-23 19:48:15,great_crested_grebe_observed.csv,0.1666167625188615000725892984,0.627,1.151,3.183,4.322,0.451,6.47,8.798,0.06,7.34,8.977,0.255,0.642,0.007,3.18,11.7,10.43,11.76,7.119,4.035,10.203,4.754,0.432,9.076,0.082,9.88,6.47,5.596,7.58,19.765,13.782,11.974,15.589,1.264,0.16,12.118,107.654,201.624,13.683
2026-05-23 19:48:15,great_crested_grebe_observed.csv,0.2194127265128589258327009512,0.837,2.016,5.383,6.726,0.445,6.98,15.086,0.074,6.84,25.452,0.261,0.012,0.04,2.71,11.7,10.29,5.489,14.004,12.565,15.443,5.254,8.832,1.677,0.113,10.09,7.38,5.101,7.3,17.301,7.399,7.289,7.509,1.448,0.111,12.105,103.974,203.105,4.843
2026-05-23 19:48:16,great_crested_grebe_observed.csv,0.9017841936337169097402091573,0.654,1.604,5.299,4.512,0.712,6.37,8.338,0.065,6.96,22.301,0.179,0.701,0.013,4.61,9.72,10.95,9.937,10.116,0.75,19.482,2.359,1.876,2.842,0.167,9.82,7.21,2.393,7.32,11.632,27.850,41.275,14.424,1.66,0.093,12.228,119.992,226.323,13.66
2026-05-23 19:48:16,great_crested_grebe_observed.csv,0.3652614940691227251164437753,0.971,3.622,4.054,0.058,0.861,6.49,11.604,0.092,6.51,20.8,0.27,0.071,0.029,4.22,11.02,10.91,2.493,17.542,19.746,15.337,7.454,4.606,10.302,0.13,9.21,7.81,0.859,7.29,12.675,24.875,39.413,10.337,1.249,0.066,12.135,126.478,237.653,15.302
2026-05-23 19:48:16,great_crested_grebe_observed.csv,0.4857216919183355005856311661,0.926,3.826,2.518,0.629,0.6,6.28,9.523,0.05,6.67,16.909,0.234,0.614,0.046,2.69,9.53,10.54,3.883,5.803,8.103,3.503,6.278,11.692,0.865,0.131,8.39,7.3,6.673,7.33,22.861,15.960,23.595,8.324,1.182,0.304,12.219,57.381,103.48,11.282
2026-05-23 19:48:17,great_crested_grebe_observed.csv,0.2029893783952451279986125428,0.927,1.537,1.64,6.356,0.438,6.74,14.4,0.07,7.18,22.044,0.406,0.063,0.014,3.33,10.36,10.41,5.382,9.304,3.129,15.48,7.562,11.106,4.017,0.215,8.91,8.42,2.187,7.46,10.011,14.484,20.156,8.811,0.875,0.158,12.049,124.950,236.63,13.27
2026-05-23 19:48:17,great_crested_grebe_observed.csv,0.6877454250510982339624791175,0.906,3.462,0.883,6.594,0.617,6.65,11.766,0.078,6.87,26.28,0.28,0.537,0.046,4.93,10.78,11.49,9.622,6.198,7.338,5.057,5.307,8.312,2.302,0.032,9.92,7.23,1.17,7.39,15.197,38.248,67.688,8.808,1.298,0.223,12.008,125.380,234.966,15.793
2026-05-23 19:48:17,great_crested_grebe_observed.csv,0.9285726697972871157678352544,0.868,0.278,2.509,6.939,0.006,7.27,7.159,0.009,7.56,25.919,0.22,0.47,0.011,4.7,10.24,11.22,4.394,4.634,4.082,5.185,11.482,13.833,9.132,0.011,8.23,7.19,4.406,7.45,15.494,15.835,17.919,13.751,0.893,0.268,12.039,87.056,161.302,12.809
2026-05-23 19:48:18,great_crested_grebe_observed.csv,0.3928980126367272875828864359,0.945,2.17,2.996,6.579,0.478,6.72,13.891,0.077,7.22,14.118,0.179,0.61,0.048,2.52,9.82,10.81,3.732,12.074,12.788,11.360,10.012,9.761,10.264,0.173,9.01,6.62,5.232,7.44,17.306,12.658,6.836,18.48,1.279,0.116,12.099,84.572,164.365,4.778
2026-05-23 19:48:18,great_crested_grebe_observed.csv,0.7810825969598628981777821289,0.492,1.784,0.841,5.572,0.417,7.49,14.918,0.058,7.31,21.35,0.374,0.241,0.045,3.47,11.05,10.91,4.023,6.070,11.441,0.7,9.994,11.591,8.397,0.064,7.9,7.9,5.009,6.87,7.714,29.506,42.124,16.887,0.852,0.09,12.051,55.000,105.511,4.488
2026-05-23 19:48:18,great_crested_grebe_observed.csv,0.5687812212872522844971195995,0.717,3.459,5.263,2.591,0.415,6.83,5.833,0.06,7.26,16.805,0.257,0.13,0.025,2.72,9.69,11.12,11.222,7.994,5.042,10.945,7.130,2.862,11.397,0.028,9.25,6.85,2.874,6.89,22.334,20.894,30.821,10.966,0.883,0.171,12.229,96.532,185.471,7.593
