method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,1.05,0.1,0,0.01,1
RungeKutta4,1,0.1,0.963755,0.1,0,0.01,0.917861
RungeKutta4,2,0.2,0.890507,0.1,0,0.01,0.848101
RungeKutta4,3,0.3,0.828722,0.1,0,0.01,0.789258
RungeKutta4,4,0.4,0.776956,0.1,0,0.01,0.739957
RungeKutta4,5,0.5,0.733840,0.1,0,0.01,0.698894
RungeKutta4,6,0.6,0.698075,0.1,0,0.01,0.664832
RungeKutta4,7,0.7,0.668432,0.1,0,0.01,0.636601
RungeKutta4,8,0.8,0.643747,0.1,0,0.01,0.613091
RungeKutta4,9,0.9,0.622937,0.1,0,0.01,0.593272
RungeKutta4,10,1.0,0.605006,0.1,0,0.01,0.576195
RungeKutta4,11,1.1,0.589060,0.1,0,0.01,0.561009
RungeKutta4,12,1.2,0.574334,0.1,0,0.01,0.546984
RungeKutta4,13,1.3,0.560175,0.1,0,0.01,0.533499
RungeKutta4,14,1.4,0.546046,0.1,0,0.01,0.520043
RungeKutta4,15,1.5,0.531527,0.1,0,0.01,0.506215
RungeKutta4,16,1.6,0.516317,0.1,0,0.01,0.491730
RungeKutta4,17,1.7,0.500224,0.1,0,0.01,0.476403
RungeKutta4,18,1.8,0.483159,0.1,0,0.01,0.460150
RungeKutta4,19,1.9,0.465128,0.1,0,0.01,0.442978
RungeKutta4,20,2.0,0.446215,0.1,0,0.01,0.424966
RungeKutta4,21,2.1,0.426565,0.1,0,0.01,0.406251
RungeKutta4,22,2.2,0.406372,0.1,0,0.01,0.38702
RungeKutta4,23,2.3,0.385860,0.1,0,0.01,0.367485
RungeKutta4,24,2.4,0.365268,0.1,0,0.01,0.347873
RungeKutta4,25,2.5,0.344834,0.1,0,0.01,0.328412
RungeKutta4,26,2.6,0.324786,0.1,0,0.01,0.309319
RungeKutta4,27,2.7,0.305330,0.1,0,0.01,0.290790
RungeKutta4,28,2.8,0.286644,0.1,0,0.01,0.272993
RungeKutta4,29,2.9,0.268872,0.1,0,0.01,0.256068
RungeKutta4,30,3.0,0.252124,0.1,0,0.01,0.240117
RungeKutta4,31,3.1,0.236475,0.1,0,0.01,0.225213
RungeKutta4,32,3.2,0.221968,0.1,0,0.01,0.211397
RungeKutta4,33,3.3,0.208616,0.1,0,0.01,0.198681
RungeKutta4,34,3.4,0.196406,0.1,0,0.01,0.187052
RungeKutta4,35,3.5,0.185306,0.1,0,0.01,0.176481
RungeKutta4,36,3.6,0.175266,0.1,0,0.01,0.166919
RungeKutta4,37,3.7,0.166225,0.1,0,0.01,0.158309
RungeKutta4,38,3.8,0.158114,0.1,0,0.01,0.150584
RungeKutta4,39,3.9,0.150861,0.1,0,0.01,0.143676
RungeKutta4,40,4.0,0.144392,0.1,0,0.01,0.137515
RungeKutta4,41,4.1,0.138635,0.1,0,0.01,0.132032
RungeKutta4,42,4.2,0.133519,0.1,0,0.01,0.12716
RungeKutta4,43,4.3,0.128980,0.1,0,0.01,0.122837
RungeKutta4,44,4.4,0.124956,0.1,0,0.01,0.119005
RungeKutta4,45,4.5,0.121391,0.1,0,0.01,0.115610
RungeKutta4,46,4.6,0.118234,0.1,0,0.01,0.112603
RungeKutta4,47,4.7,0.115440,0.1,0,0.01,0.109942
RungeKutta4,48,4.8,0.112967,0.1,0,0.01,0.107587
RungeKutta4,49,4.9,0.110779,0.1,0,0.01,0.105503
RungeKutta4,50,5.0,0.108843,0.1,0,0.01,0.103659
RungeKutta4,51,5.1,0.107131,0.1,0,0.01,0.102029
RungeKutta4,52,5.2,0.105616,0.1,0,0.01,0.100586
RungeKutta4,53,5.3,0.104276,0.1,0,0.01,0.0993095
RungeKutta4,54,5.4,0.103090,0.1,0,0.01,0.09818
RungeKutta4,55,5.5,0.102039,0.1,0,0.01,0.0971790
RungeKutta4,56,5.6,0.101107,0.1,0,0.01,0.0962914
RungeKutta4,57,5.7,0.100276,0.1,0,0.01,0.0955
RungeKutta4,58,5.8,0.0995252,0.1,0,0.01,0.0947848
RungeKutta4,59,5.9,0.0988262,0.1,0,0.01,0.0941190
RungeKutta4,60,6.0,0.0981287,0.1,0,0.01,0.0934548
RungeKutta4,61,6.1,0.0972926,0.1,0,0.01,0.0926585
RungeKutta4,62,6.2,0.0956403,0.1,0,0.01,0.0910849
RungeKutta4,63,6.3,0.0908684,0.1,0,0.01,0.0865402
RungeKutta4,64,6.4,0.0819195,0.1,0,0.01,0.0780174
RungeKutta4,65,6.5,0.0723778,0.1,0,0.01,0.0689301
RungeKutta4,66,6.6,0.0644144,0.1,0,0.01,0.0613459
RungeKutta4,67,6.7,0.0581990,0.1,0,0.01,0.0554265
RungeKutta4,68,6.8,0.0534272,0.1,0,0.01,0.0508819
RungeKutta4,69,6.9,0.0497786,0.1,0,0.01,0.0474070
RungeKutta4,70,7.0,0.0469919,0.1,0,0.01,0.0447530
RungeKutta4,71,7.1,0.0448636,0.1,0,0.01,0.0427261
RungeKutta4,72,7.2,0.0432366,0.1,0,0.01,0.0411766
RungeKutta4,73,7.3,0.0419878,0.1,0,0.01,0.0399872
RungeKutta4,74,7.4,0.0410155,0.1,0,0.01,0.0390612
RungeKutta4,75,7.5,0.0402253,0.1,0,0.01,0.0383087
RungeKutta4,76,7.6,0.0395143,0.1,0,0.01,0.0376315
RungeKutta4,77,7.7,0.0387527,0.1,0,0.01,0.0369062
RungeKutta4,78,7.8,0.0377658,0.1,0,0.01,0.0359663
RungeKutta4,79,7.9,0.0363148,0.1,0,0.01,0.0345844
RungeKutta4,80,8.0,0.0340798,0.1,0,0.01,0.0324558
RungeKutta4,81,8.1,0.0306489,0.1,0,0.01,0.0291883
RungeKutta4,82,8.2,0.0255336,0.1,0,0.01,0.0243166
RungeKutta4,83,8.3,0.0184620,0.1,0,0.01,0.0175817
RungeKutta4,84,8.4,0.0122146,0.1,0,0.01,0.0116318
RungeKutta4,85,8.5,0.00773853,0.1,0,0.01,0.00736892
RungeKutta4,86,8.6,0.00468438,0.1,0,0.01,0.00446021
RungeKutta4,87,8.7,0.00271345,0.1,0,0.01,0.00258313
RungeKutta4,88,8.8,0.00151284,0.1,0,0.01,0.00143970
RungeKutta4,89,8.9,0.000819957,0.1,0,0.01,0.000779805
RungeKutta4,90,9.0,0.000437779,0.1,0,0.01,0.000415826
RungeKutta4,91,9.1,0.000233337,0.1,0,0.01,0.000221119
RungeKutta4,92,9.2,0.000125085,0.1,0,0.01,0.000118022
RungeKutta4,93,9.3,0.000067818,0.1,0,0.01,0.0000634819
RungeKutta4,94,9.4,0.0000373757,0.1,0,0.01,0.0000344892
RungeKutta4,95,9.5,0.0000210285,0.1,0,0.01,0.0000189205
RungeKutta4,96,9.6,0.0000121195,0.1,0,0.01,0.0000104357
RungeKutta4,97,9.7,0.0000071725,0.1,0,0.01,0.00000572427
RungeKutta4,98,9.8,0.00000436485,0.1,0,0.01,0.00000305031
RungeKutta4,99,9.9,0.00000273235,0.1,0,0.01,0.00000149555
RungeKutta4,100,10.0,0.00000175850,0.1,0,0.01,5.68076E-7
RungeKutta4,101,10.1,0.00000116202,0.1,0,0.01,0.000000
RungeKutta4,102,10.2,0.000505787,0.1,0,0.01,0.000480595
RungeKutta4,103,10.3,0.00240077,0.1,0,0.01,0.00228534
RungeKutta4,104,10.4,0.00550720,0.1,0,0.01,0.00524385
RungeKutta4,105,10.5,0.00962542,0.1,0,0.01,0.00916596
RungeKutta4,106,10.6,0.0147738,0.1,0,0.01,0.0140691
RungeKutta4,107,10.7,0.0215541,0.1,0,0.01,0.0205266
RungeKutta4,108,10.8,0.0314156,0.1,0,0.01,0.0299185
RungeKutta4,109,10.9,0.0461534,0.1,0,0.01,0.0439545
RungeKutta4,110,11.0,0.0662724,0.1,0,0.01,0.0631154
RungeKutta4,111,11.1,0.0893604,0.1,0,0.01,0.085104
RungeKutta4,112,11.2,0.111315,0.1,0,0.01,0.106013
RungeKutta4,113,11.3,0.131256,0.1,0,0.01,0.125005
RungeKutta4,114,11.4,0.149476,0.1,0,0.01,0.142357
RungeKutta4,115,11.5,0.166277,0.1,0,0.01,0.158358
RungeKutta4,116,11.6,0.181966,0.1,0,0.01,0.1733
RungeKutta4,117,11.7,0.196843,0.1,0,0.01,0.187469
RungeKutta4,118,11.8,0.211191,0.1,0,0.01,0.201133
RungeKutta4,119,11.9,0.225261,0.1,0,0.01,0.214533
RungeKutta4,120,12.0,0.238234,0.1,0,0.01,0.226889
RungeKutta4,121,12.1,0.247625,0.1,0,0.01,0.235832
