TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 19:50:20,herring_gull_observed.csv,1.345369392376011954604811055,0.953,0.36,1.876,7.536,0.932,7.32,7.345,0.1,6.79,19.916,0.024,0.239,0.01,3.53,10.35,10.56,5.535,5.830,7.824,3.836,5.196,8.015,2.376,0.147,10.09,6.5,5.024,7.53,22.69,16.308,29.449,3.168,1.478,0.322,12.087,111.422,217.289,5.555
2026-05-23 19:50:21,herring_gull_observed.csv,0.3791404692882758812606604904,0.454,3.885,4.272,5.351,0.861,7.67,8.277,0.018,7.61,21.978,0.063,0.744,0.041,4.79,9.98,10.53,8.872,12.572,19.492,5.653,12.433,13.102,11.764,0.2,9.24,7.23,2.339,6.97,20.719,17.635,20.197,15.073,1.541,0.017,12.272,87.960,161.308,14.612
2026-05-23 19:50:21,herring_gull_observed.csv,0.2132949103371333151366636693,0.527,2.027,4.213,4.053,0.893,7.27,8.221,0.048,7.04,24.957,0.082,0.491,0.03,3.57,10.3,10.8,10.333,9.746,3.159,16.333,5.004,9.597,0.41,0.108,10.47,6.18,1.75,6.78,21.688,30.446,44.632,16.261,1.026,0.119,12.029,89.375,170.261,8.489
2026-05-23 19:50:21,herring_gull_observed.csv,0.4107124693002992720130910626,0.614,0.926,4.156,2.141,0.673,6.93,14.176,0.039,7.59,21.782,0.075,0.598,0.046,5.02,11.23,11.32,11.329,7.813,13.213,2.413,7.244,5.063,9.424,0.125,9.36,6.12,1.405,6.77,17.603,6.504,5.84,7.167,0.915,0.225,12.132,90.018,175.864,4.171
2026-05-23 19:50:22,herring_gull_observed.csv,0.2652150939607975002336589814,0.871,1.516,3.901,3.432,0.343,7.09,14.321,0.083,7.46,11.832,0.018,0.18,0.047,2.88,12.0,11.46,2.286,3.020,3.073,2.966,4.290,6.927,1.653,0.156,8.21,7.0,6.099,7.06,14.827,33.260,62.275,4.245,1.557,0.127,12.273,54.360,103.536,5.184
2026-05-23 19:50:22,herring_gull_observed.csv,0.4591402161478742665511048574,0.612,3.415,2.659,3.591,0.525,7.7,8.55,0.039,6.73,17.638,0.006,0.367,0.039,4.78,9.81,10.59,11.477,18.545,18.899,18.191,6.348,2.971,9.724,0.024,8.07,6.88,6.466,7.12,20.392,7.626,11.369,3.882,1.614,0.138,12.197,44.224,83.152,5.296
2026-05-23 19:50:22,herring_gull_observed.csv,0.3277897855916488865470072505,0.466,2.961,2.011,4.079,0.394,6.81,14.083,0.003,7.33,17.587,0.09,0.329,0.031,5.46,10.44,10.63,9.832,7.740,7.961,7.519,10.927,8.502,13.352,0.043,8.89,6.04,6.326,7.51,7.278,11.202,7.874,14.531,1.22,0.082,12.014,64.344,120.563,8.126
2026-05-23 19:50:23,herring_gull_observed.csv,0.4478179910083975046530706448,0.908,0.484,3.417,6.971,0.069,6.55,9.418,0.085,7.42,10.557,0.018,0.697,0.05,2.98,10.19,10.28,4.518,11.518,12.815,10.221,4.670,3.77,5.571,0.236,8.68,6.86,6.837,6.63,12.276,20.698,31.824,9.573,1.112,0.173,12.072,69.307,134.167,4.447
2026-05-23 19:50:23,herring_gull_observed.csv,0.7864161316710637735472581131,0.476,3.806,1.041,2.052,0.7,7.68,3.464,0.029,7.01,25.795,0.055,0.128,0.044,3.01,9.79,10.91,6.56,8.906,17.417,0.395,5.934,5.814,6.054,0.246,9.6,6.76,1.995,7.36,10.234,34.482,60.52,8.444,1.271,0.053,12.221,123.916,231.978,15.854
2026-05-23 19:50:23,herring_gull_observed.csv,0.7202715339171028572350727624,0.535,0.843,3.804,0.051,0.136,7.2,8.18,0.031,6.74,14.075,0.085,0.265,0.007,3.6,10.77,11.34,11.754,9.904,12.134,7.675,4.570,1.652,7.489,0.16,10.25,7.93,6.732,6.83,20.277,18.087,33.085,3.089,0.826,0.217,12.195,103.062,195.529,10.595
