TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 19:51:23,mallard_observed.csv,0.6911056105803679549492785784,0.736,3.939,5.242,6.292,0.869,7.46,15.598,0.087,6.79,14.261,0.073,0.348,0.037,3.09,11.39,11.38,11.259,12.759,12.185,13.333,8.324,8.658,7.989,0.157,11.01,9.11,7.602,7.22,22.599,27.411,42.731,12.091,1.287,0.304,12.089,114.965,216.278,13.652
2026-05-23 19:51:24,mallard_observed.csv,0.5154375591237189948452794672,0.593,0.685,4.758,5.927,0.649,6.37,13.78,0.034,7.05,22.24,0.068,0.074,0.005,5.16,1.33,11.49,10.403,8.244,9.024,7.464,10.878,9.519,12.237,0.231,10.2,7.56,1.6,7.06,9.277,9.811,8.154,11.468,0.886,0.077,12.08,113.228,221.836,4.619
2026-05-23 19:51:24,mallard_observed.csv,1.177797664243837449048916243,0.946,1.774,0.544,1.543,0.337,6.93,15.619,0.011,7.35,22.521,0.004,0.487,0.047,3.38,10.59,11.25,10.456,3.646,5.994,1.297,7.501,8.774,6.228,0.031,8.73,8.15,4.118,7.57,19.077,27.498,49.211,5.786,1.455,0.267,12.137,116.054,220.706,11.401
2026-05-23 19:51:24,mallard_observed.csv,0.3861552974729926931027200274,0.58,2.429,4.164,1.628,0.728,7.62,6.807,0.048,6.91,27.59,0.075,0.629,0.005,3.22,11.52,11.38,10.811,10.201,5.139,15.263,7.509,11.969,3.049,0.059,9.06,8.69,3.685,7.14,16.168,43.609,71.282,15.936,1.378,0.114,12.256,102.120,189.425,14.816
2026-05-23 19:51:25,mallard_observed.csv,0.5430438471495404618885795835,0.642,2.665,3.995,0.653,0.827,7.51,9.565,0.088,6.68,18.763,0.051,0.101,0.044,4.6,10.84,11.33,3.527,9.506,1.723,17.289,13.339,13.482,13.196,0.181,8.58,8.97,7.47,6.86,7.27,23.282,30.194,16.371,1.237,0.004,12.294,95.224,183.42,7.029
2026-05-23 19:51:25,mallard_observed.csv,0.3350504553522399329470078346,0.679,2.184,0.854,3.525,0.622,7.68,4.591,0.057,7.43,9.665,0.076,0.434,0.039,3.79,1.17,11.29,10.433,6.124,4.465,7.782,10.510,7.514,13.507,0.039,9.19,9.15,4.499,6.67,12.304,11.874,16.221,7.528,1.03,0.182,12.151,116.838,221.96,11.715
2026-05-23 19:51:25,mallard_observed.csv,1.332615495598457885763581656,0.472,0.742,5.538,4.822,0.053,7.68,12.908,0.002,7.57,8.189,0.004,0.028,0.028,3.22,1.37,11.36,2.798,13.918,19.426,8.411,5.812,6.488,5.135,0.165,10.59,7.1,6.747,7.28,20.497,28.913,51.744,6.082,1.018,0.161,12.214,120.895,232.323,9.467
2026-05-23 19:51:26,mallard_observed.csv,0.5949883816098179727387955362,0.912,1.637,1.369,7.732,0.234,6.76,15.796,0.086,6.52,13.56,0.01,0.03,0.032,4.53,10.68,11.25,5.565,12.850,10.357,15.342,7.320,6.417,8.222,0.14,10.84,7.17,3.984,6.85,11.753,18.266,30.23,6.303,1.375,0.09,12.219,63.784,113.023,14.546
2026-05-23 19:51:26,mallard_observed.csv,0.3792214956093130531798792306,0.625,0.782,4.319,6.016,0.788,6.85,6.756,0.027,7.12,21.071,0.046,0.457,0.002,3.5,1.15,11.31,10.028,10.994,14.991,6.997,8.534,11.912,5.155,0.074,9.37,8.06,2.605,7.36,13.151,21.932,24.774,19.089,1.369,0.058,12.041,112.353,220.438,4.268
2026-05-23 19:51:26,mallard_observed.csv,36.97474311974586329493791214,0.945,3.515,1.395,0.884,0.634,7.5,7.467,0.077,6.56,12.64,0.046,0.441,0.035,3.45,11.53,11.35,10.669,8.236,8.882,7.589,9.307,8.809,9.805,0.145,11.0,7.03,5.644,7.57,13.368,40.995,78.833,3.157,1.473,0.001,12.06,52.610,93.414,11.806
