month,observed,simulated_raw,synthesised
1,11,0.3729154,12.394793552696088
2,13,0.24162559999999997,8.031042507352401
3,10,0.4221813,14.032271274688181
4,18,0.49176169999999997,16.344953167991633
5,10,0.32578019999999996,10.828135074486175
6,6,0.1741161,5.787192252453472
7,5,0.08853661,2.9427398353770533
8,5,0.0499761,1.6610830286678828
9,3,0.00483678726,0.16076294930702936
10,0,0.0013852351420000002,0.04604181969162349
11,4,0.03865607,1.2848329868076478
12,5,0.15563723999999998,5.173000253975603
