method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.784,0.1,0,0.01,1
RungeKutta4,1,0.1,0.744791,0.1,0,0.01,0.949988
RungeKutta4,2,0.2,0.711535,0.1,0,0.01,0.907570
RungeKutta4,3,0.3,0.683809,0.1,0,0.01,0.872205
RungeKutta4,4,0.4,0.661153,0.1,0,0.01,0.843307
RungeKutta4,5,0.5,0.643070,0.1,0,0.01,0.820242
RungeKutta4,6,0.6,0.629019,0.1,0,0.01,0.802320
RungeKutta4,7,0.7,0.618421,0.1,0,0.01,0.788802
RungeKutta4,8,0.8,0.610668,0.1,0,0.01,0.778913
RungeKutta4,9,0.9,0.605128,0.1,0,0.01,0.771847
RungeKutta4,10,1.0,0.601165,0.1,0,0.01,0.766792
RungeKutta4,11,1.1,0.598154,0.1,0,0.01,0.762951
RungeKutta4,12,1.2,0.595501,0.1,0,0.01,0.759567
RungeKutta4,13,1.3,0.592704,0.1,0,0.01,0.756000
RungeKutta4,14,1.4,0.589329,0.1,0,0.01,0.751695
RungeKutta4,15,1.5,0.585012,0.1,0,0.01,0.746188
RungeKutta4,16,1.6,0.579456,0.1,0,0.01,0.739102
RungeKutta4,17,1.7,0.572442,0.1,0,0.01,0.730155
RungeKutta4,18,1.8,0.563829,0.1,0,0.01,0.719169
RungeKutta4,19,1.9,0.553556,0.1,0,0.01,0.706066
RungeKutta4,20,2.0,0.541635,0.1,0,0.01,0.690861
RungeKutta4,21,2.1,0.528142,0.1,0,0.01,0.673650
RungeKutta4,22,2.2,0.513213,0.1,0,0.01,0.654608
RungeKutta4,23,2.3,0.497028,0.1,0,0.01,0.633964
RungeKutta4,24,2.4,0.479804,0.1,0,0.01,0.611994
RungeKutta4,25,2.5,0.461778,0.1,0,0.01,0.589002
RungeKutta4,26,2.6,0.443197,0.1,0,0.01,0.565302
RungeKutta4,27,2.7,0.424308,0.1,0,0.01,0.541209
RungeKutta4,28,2.8,0.405348,0.1,0,0.01,0.517025
RungeKutta4,29,2.9,0.386535,0.1,0,0.01,0.493029
RungeKutta4,30,3.0,0.368064,0.1,0,0.01,0.469469
RungeKutta4,31,3.1,0.350102,0.1,0,0.01,0.446558
RungeKutta4,32,3.2,0.332786,0.1,0,0.01,0.424471
RungeKutta4,33,3.3,0.316223,0.1,0,0.01,0.403345
RungeKutta4,34,3.4,0.300492,0.1,0,0.01,0.383280
RungeKutta4,35,3.5,0.285642,0.1,0,0.01,0.364338
RungeKutta4,36,3.6,0.271701,0.1,0,0.01,0.346557
