TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 19:53:30,mute_swan_observed.csv,0.3088385881626470177451290208,0.556,0.664,4.572,4.559,0.847,7.36,7.73,0.074,6.84,24.433,0.367,0.302,0.02,2.51,11.08,11.27,5.404,10.892,19.02,2.763,3.401,5.326,1.476,0.179,9.09,7.59,1.335,7.59,12.729,14.230,25.732,2.729,1.261,0.312,12.007,79.557,149.776,9.338
2026-05-23 19:53:30,mute_swan_observed.csv,0.3820380088536799943805615179,0.533,3.657,0.886,7.339,0.002,6.89,8.621,0.047,7.17,19.39,0.336,0.303,0.025,5.37,10.11,11.28,7.716,10.337,10.128,10.546,6.754,0.82,12.687,0.021,8.94,9.2,1.096,7.17,9.307,24.488,31.97,17.006,1.522,0.349,12.213,63.614,117.643,9.585
2026-05-23 19:53:30,mute_swan_observed.csv,0.2148931955174440586988917717,0.829,2.168,3.335,1.59,0.252,7.05,12.036,0.063,6.73,22.751,0.342,0.598,0.038,4.23,9.67,11.35,6.367,7.731,6.987,8.475,8.306,7.752,8.86,0.134,9.09,8.98,2.931,6.94,12.205,40.892,63.262,18.521,1.718,0.227,12.253,101.056,191.224,10.889
2026-05-23 19:53:31,mute_swan_observed.csv,0.3477544784994101315032859434,0.561,3.178,1.665,6.747,0.768,6.66,4.077,0.058,7.09,24.043,0.331,0.343,0.048,4.67,11.53,11.43,5.626,14.246,13.574,14.919,12.509,12.732,12.286,0.07,9.18,7.5,6.073,6.77,7.991,21.417,35.678,7.156,1.486,0.226,12.243,116.694,219.142,14.246
2026-05-23 19:53:31,mute_swan_observed.csv,0.2690754828381536459687063195,0.825,3.666,3.491,4.503,0.146,7.27,10.227,0.081,7.25,13.131,0.243,0.516,0.027,3.89,10.17,11.44,2.011,11.768,7.552,15.983,9.255,10.843,7.667,0.06,8.85,7.47,6.918,7.52,21.688,41.994,64.947,19.042,1.137,0.255,12.202,80.528,154.577,6.479
2026-05-23 19:53:31,mute_swan_observed.csv,16.27002599252843566489675113,0.979,2.643,1.255,7.091,0.362,7.56,3.033,0.078,6.57,21.183,0.091,0.275,0.022,3.01,11.08,11.47,11.873,11.456,8.743,14.17,8.394,13.219,3.57,0.206,11.23,9.36,4.952,7.37,9.397,39.628,66.802,12.455,1.024,0.04,12.013,95.553,184.91,6.196
2026-05-23 19:53:32,mute_swan_observed.csv,0.5303164945745169268731355940,0.649,0.378,2.111,7.698,0.42,6.7,10.642,0.016,6.75,23.811,0.05,0.239,0.01,3.15,11.1,11.48,4.985,5.412,7.505,3.318,6.979,1.702,12.256,0.197,9.23,8.88,3.961,6.91,12.145,13.358,8.514,18.201,0.925,0.009,12.047,109.416,204.177,14.656
2026-05-23 19:53:32,mute_swan_observed.csv,0.2991316614394004140432282246,0.789,1.104,0.503,2.764,0.602,7.52,14.482,0.092,7.3,11.97,0.389,0.132,0.038,3.49,10.68,11.49,7.501,13.140,19.678,6.601,5.432,1.105,9.759,0.12,9.51,8.07,3.844,6.68,6.687,16.508,32.147,0.87,0.99,0.267,12.208,77.086,138.492,15.679
2026-05-23 19:53:32,mute_swan_observed.csv,20.57940895893604250443411576,0.592,0.629,0.605,6.479,0.937,7.62,9.66,0.017,7.55,10.871,0.405,0.127,0.046,3.93,11.49,11.4,8.516,19.672,19.344,20.000,11.152,11.387,10.917,0.114,10.41,8.43,5.365,7.24,19.786,12.395,22.356,2.434,1.552,0.089,12.293,85.740,162.804,8.677
2026-05-23 19:53:33,mute_swan_observed.csv,0.6499308818502292865068908129,0.602,2.732,1.857,6.848,0.253,7.25,7.768,0.012,6.99,18.187,0.092,0.722,0.049,3.44,11.1,11.43,4.284,13.542,17.817,9.268,13.750,13.777,13.722,0.189,10.75,7.4,2.715,6.86,14.165,10.668,12.162,9.175,0.866,0.202,12.03,90.136,173.74,6.533
2026-05-23 19:53:33,mute_swan_observed.csv,1.171552658893756720780836852,0.727,2.915,2.814,3.382,0.292,6.75,13.436,0.001,7.44,12.21,0.359,0.29,0.05,2.72,12.0,11.26,8.456,9.366,8.311,10.422,11.580,9.744,13.415,0.159,10.84,8.81,3.598,6.91,15.162,25.026,30.904,19.149,1.462,0.34,12.152,79.702,150.674,8.73
2026-05-23 19:53:33,mute_swan_observed.csv,0.7093370971974917009389088004,1.047,0.469,5.693,4.513,0.062,7.25,3.904,0.097,6.64,10.18,0.16,0.379,0.011,3.15,11.67,11.4,7.036,11.836,8.644,15.027,8.232,9.777,6.687,0.005,9.48,7.48,2.023,7.04,14.625,9.440,10.191,8.689,1.41,0.109,12.016,67.220,125.786,8.654
2026-05-23 19:53:33,mute_swan_observed.csv,0.3103663474383034223432265239,1.092,2.869,3.417,2.897,0.544,6.41,3.338,0.091,7.46,22.377,0.054,0.341,0.032,3.51,11.49,11.41,3.858,9.875,9.676,10.074,11.375,11.432,11.318,0.084,10.36,8.85,2.372,7.36,15.01,31.052,50.195,11.91,1.176,0.13,12.283,86.200,158.619,13.782
2026-05-23 19:53:34,mute_swan_observed.csv,0.3668814816359852311863004451,0.655,3.335,5.528,4.877,0.729,6.75,5.387,0.07,6.76,15.851,0.071,0.487,0.013,3.02,10.07,11.39,6.202,5.006,8.817,1.196,9.001,4.99,13.012,0.084,9.16,8.39,2.747,7.36,7.248,31.854,61.469,2.239,0.802,0.14,12.107,116.166,219.212,13.121
2026-05-23 19:53:34,mute_swan_observed.csv,0.3150020660139431031911586938,1.093,3.501,0.157,5.297,0.503,7.15,11.891,0.093,7.64,12.477,0.186,0.041,0.047,3.52,9.5,11.29,10.253,4.655,3.910,5.400,7.824,8.596,7.052,0.22,8.63,8.17,3.905,6.73,6.697,36.370,57.806,14.934,1.05,0.055,12.048,116.392,224.727,8.056
2026-05-23 19:53:34,mute_swan_observed.csv,0.1987411910366264234790861359,0.972,1.151,2.499,7.361,0.641,7.12,11.737,0.008,7.34,23.93,0.132,0.513,0.024,5.39,10.51,11.42,5.238,5.454,3.316,7.591,7.026,6.671,7.38,0.067,9.64,8.73,2.861,7.15,14.622,43.279,70.745,15.813,1.298,0.013,12.048,91.940,170.686,13.194
2026-05-23 19:53:35,mute_swan_observed.csv,0.6094803595922966506356472752,1.05,2.912,5.874,4.912,0.58,7.58,8.688,0.1,7.23,9.398,0.076,0.287,0.045,4.96,11.52,11.39,11.216,19.344,19.883,18.806,0.616,0.699,0.534,0.027,10.8,7.18,3.537,6.64,19.717,28.658,41.323,15.994,1.159,0.171,12.097,120.846,236.974,4.718
2026-05-23 19:53:35,mute_swan_observed.csv,0.1235479957678641712950996130,0.966,0.885,4.254,7.656,0.566,7.07,13.969,0.083,7.23,11.05,0.344,0.644,0.021,3.43,11.89,11.38,11.516,2.540,1.906,3.174,2.812,4.736,0.888,0.077,11.28,7.47,1.353,7.49,13.069,41.912,70.07,13.755,0.988,0.332,12.278,113.718,215.997,11.438
2026-05-23 19:53:35,mute_swan_observed.csv,1.621807983904089361242174106,1.097,2.971,0.504,6.067,0.926,6.61,14.375,0.075,6.94,6.034,0.136,0.152,0.001,3.07,10.68,11.4,10.979,15.152,16.054,14.25,4.588,3.393,5.783,0.003,8.57,7.19,2.964,7.55,16.19,23.856,36.651,11.062,1.54,0.18,12.179,111.914,215.085,8.744
2026-05-23 19:53:36,mute_swan_observed.csv,0.3166749532562682945640556761,0.615,0.428,3.035,0.841,0.669,6.69,14.918,0.065,7.39,10.237,0.152,0.592,0.011,4.99,11.8,11.47,9.189,14.955,16.234,13.676,0.852,0.824,0.879,0.021,9.69,8.49,5.667,7.43,14.774,24.922,30.083,19.76,1.508,0.084,12.082,44.536,80.041,9.031
2026-05-23 19:53:36,mute_swan_observed.csv,0.2581147122831604555271863137,0.781,2.498,1.577,6.648,0.004,7.41,14.044,0.095,7.42,13.321,0.149,0.35,0.028,3.29,11.35,11.47,6.879,5.953,5.99,5.916,13.347,14.000,12.694,0.089,10.71,7.62,7.294,7.51,23.267,23.672,30.902,16.441,1.427,0.331,12.166,103.286,191.571,15.0
