method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.861,0.1,0,0.01,1
RungeKutta4,1,0.1,0.788343,0.1,0,0.01,0.905735
RungeKutta4,2,0.2,0.724431,0.1,0,0.01,0.822816
RungeKutta4,3,0.3,0.668260,0.1,0,0.01,0.749940
RungeKutta4,4,0.4,0.618961,0.1,0,0.01,0.685980
RungeKutta4,5,0.5,0.575794,0.1,0,0.01,0.629975
RungeKutta4,6,0.6,0.538138,0.1,0,0.01,0.581120
RungeKutta4,7,0.7,0.505482,0.1,0,0.01,0.538753
RungeKutta4,8,0.8,0.477422,0.1,0,0.01,0.502348
RungeKutta4,9,0.9,0.453650,0.1,0,0.01,0.471506
RungeKutta4,10,1.0,0.433950,0.1,0,0.01,0.445947
RungeKutta4,11,1.1,0.418182,0.1,0,0.01,0.425490
RungeKutta4,12,1.2,0.406274,0.1,0,0.01,0.410041
RungeKutta4,13,1.3,0.398199,0.1,0,0.01,0.399564
RungeKutta4,14,1.4,0.393957,0.1,0,0.01,0.394061
RungeKutta4,15,1.5,0.393699,0.1,0,0.01,0.393726
RungeKutta4,16,1.6,0.398960,0.1,0,0.01,0.400551
RungeKutta4,17,1.7,0.409635,0.1,0,0.01,0.414401
RungeKutta4,18,1.8,0.425151,0.1,0,0.01,0.434531
RungeKutta4,19,1.9,0.444846,0.1,0,0.01,0.460084
RungeKutta4,20,2.0,0.467945,0.1,0,0.01,0.490052
RungeKutta4,21,2.1,0.493550,0.1,0,0.01,0.523272
RungeKutta4,22,2.2,0.520640,0.1,0,0.01,0.558418
RungeKutta4,23,2.3,0.548104,0.1,0,0.01,0.594050
RungeKutta4,24,2.4,0.574776,0.1,0,0.01,0.628654
RungeKutta4,25,2.5,0.599493,0.1,0,0.01,0.660722
RungeKutta4,26,2.6,0.621151,0.1,0,0.01,0.688821
RungeKutta4,27,2.7,0.638837,0.1,0,0.01,0.711767
RungeKutta4,28,2.8,0.651998,0.1,0,0.01,0.728842
RungeKutta4,29,2.9,0.660286,0.1,0,0.01,0.739595
RungeKutta4,30,3.0,0.663521,0.1,0,0.01,0.743792
RungeKutta4,31,3.1,0.662402,0.1,0,0.01,0.742340
RungeKutta4,32,3.2,0.658002,0.1,0,0.01,0.736631
RungeKutta4,33,3.3,0.650380,0.1,0,0.01,0.726743
RungeKutta4,34,3.4,0.639680,0.1,0,0.01,0.712860
RungeKutta4,35,3.5,0.626164,0.1,0,0.01,0.695325
RungeKutta4,36,3.6,0.610182,0.1,0,0.01,0.674590
RungeKutta4,37,3.7,0.592152,0.1,0,0.01,0.651198
RungeKutta4,38,3.8,0.572534,0.1,0,0.01,0.625746
RungeKutta4,39,3.9,0.551801,0.1,0,0.01,0.598847
RungeKutta4,40,4.0,0.530421,0.1,0,0.01,0.571108
RungeKutta4,41,4.1,0.508834,0.1,0,0.01,0.543101
RungeKutta4,42,4.2,0.487435,0.1,0,0.01,0.515338
RungeKutta4,43,4.3,0.466566,0.1,0,0.01,0.488263
RungeKutta4,44,4.4,0.446508,0.1,0,0.01,0.462240
RungeKutta4,45,4.5,0.427477,0.1,0,0.01,0.437549
RungeKutta4,46,4.6,0.409629,0.1,0,0.01,0.414393
RungeKutta4,47,4.7,0.393062,0.1,0,0.01,0.392899
RungeKutta4,48,4.8,0.377823,0.1,0,0.01,0.373128
RungeKutta4,49,4.9,0.363918,0.1,0,0.01,0.355088
RungeKutta4,50,5.0,0.351318,0.1,0,0.01,0.338741
RungeKutta4,51,5.1,0.339968,0.1,0,0.01,0.324015
RungeKutta4,52,5.2,0.329794,0.1,0,0.01,0.310816
RungeKutta4,53,5.3,0.320710,0.1,0,0.01,0.299030
RungeKutta4,54,5.4,0.312621,0.1,0,0.01,0.288536
RungeKutta4,55,5.5,0.305426,0.1,0,0.01,0.279201
RungeKutta4,56,5.6,0.299012,0.1,0,0.01,0.270879
RungeKutta4,57,5.7,0.293244,0.1,0,0.01,0.263396
RungeKutta4,58,5.8,0.287935,0.1,0,0.01,0.256508
RungeKutta4,59,5.9,0.282812,0.1,0,0.01,0.249862
RungeKutta4,60,6.0,0.277485,0.1,0,0.01,0.242950
RungeKutta4,61,6.1,0.271158,0.1,0,0.01,0.234742
RungeKutta4,62,6.2,0.261416,0.1,0,0.01,0.222102
RungeKutta4,63,6.3,0.247280,0.1,0,0.01,0.203762
RungeKutta4,64,6.4,0.233450,0.1,0,0.01,0.185819
RungeKutta4,65,6.5,0.222604,0.1,0,0.01,0.171748
RungeKutta4,66,6.6,0.214674,0.1,0,0.01,0.161460
RungeKutta4,67,6.7,0.208991,0.1,0,0.01,0.154086
RungeKutta4,68,6.8,0.204943,0.1,0,0.01,0.148835
RungeKutta4,69,6.9,0.202064,0.1,0,0.01,0.145099
RungeKutta4,70,7.0,0.200018,0.1,0,0.01,0.142445
RungeKutta4,71,7.1,0.198563,0.1,0,0.01,0.140557
RungeKutta4,72,7.2,0.197527,0.1,0,0.01,0.139213
RungeKutta4,73,7.3,0.196781,0.1,0,0.01,0.138245
RungeKutta4,74,7.4,0.196225,0.1,0,0.01,0.137524
RungeKutta4,75,7.5,0.195764,0.1,0,0.01,0.136926
RungeKutta4,76,7.6,0.195286,0.1,0,0.01,0.136306
RungeKutta4,77,7.7,0.194628,0.1,0,0.01,0.135452
RungeKutta4,78,7.8,0.193541,0.1,0,0.01,0.134042
RungeKutta4,79,7.9,0.191650,0.1,0,0.01,0.131588
RungeKutta4,80,8.0,0.188431,0.1,0,0.01,0.127412
RungeKutta4,81,8.1,0.183224,0.1,0,0.01,0.120656
RungeKutta4,82,8.2,0.175358,0.1,0,0.01,0.110451
RungeKutta4,83,8.3,0.164409,0.1,0,0.01,0.0962457
RungeKutta4,84,8.4,0.150556,0.1,0,0.01,0.0782729
RungeKutta4,85,8.5,0.134842,0.1,0,0.01,0.0578856
RungeKutta4,86,8.6,0.119133,0.1,0,0.01,0.0375048
RungeKutta4,87,8.7,0.105638,0.1,0,0.01,0.0199965
RungeKutta4,88,8.8,0.0962791,0.1,0,0.01,0.00785430
RungeKutta4,89,8.9,0.0915717,0.1,0,0.01,0.00174694
RungeKutta4,90,9.0,0.0902252,0.1,0,0.01,0.0
RungeKutta4,91,9.1,0.0906216,0.1,0,0.01,0.000514288
RungeKutta4,92,9.2,0.0918710,0.1,0,0.01,0.00213525
RungeKutta4,93,9.3,0.0940675,0.1,0,0.01,0.00498498
RungeKutta4,94,9.4,0.0972308,0.1,0,0.01,0.00908903
RungeKutta4,95,9.5,0.101318,0.1,0,0.01,0.0143917
RungeKutta4,96,9.6,0.106233,0.1,0,0.01,0.0207684
RungeKutta4,97,9.7,0.111844,0.1,0,0.01,0.0280481
RungeKutta4,98,9.8,0.118001,0.1,0,0.01,0.0360362
RungeKutta4,99,9.9,0.124553,0.1,0,0.01,0.0445367
RungeKutta4,100,10.0,0.131371,0.1,0,0.01,0.0533824
RungeKutta4,101,10.1,0.138368,0.1,0,0.01,0.0624603
RungeKutta4,102,10.2,0.145514,0.1,0,0.01,0.0717314
RungeKutta4,103,10.3,0.152809,0.1,0,0.01,0.0811959
RungeKutta4,104,10.4,0.160205,0.1,0,0.01,0.0907915
RungeKutta4,105,10.5,0.167542,0.1,0,0.01,0.100310
RungeKutta4,106,10.6,0.174698,0.1,0,0.01,0.109595
RungeKutta4,107,10.7,0.182060,0.1,0,0.01,0.119146
RungeKutta4,108,10.8,0.191168,0.1,0,0.01,0.130963
RungeKutta4,109,10.9,0.204817,0.1,0,0.01,0.148671
RungeKutta4,110,11.0,0.225450,0.1,0,0.01,0.175440
RungeKutta4,111,11.1,0.252043,0.1,0,0.01,0.209942
RungeKutta4,112,11.2,0.278518,0.1,0,0.01,0.244290
RungeKutta4,113,11.3,0.299950,0.1,0,0.01,0.272096
RungeKutta4,114,11.4,0.316530,0.1,0,0.01,0.293607
RungeKutta4,115,11.5,0.328726,0.1,0,0.01,0.309430
RungeKutta4,116,11.6,0.336972,0.1,0,0.01,0.320128
RungeKutta4,117,11.7,0.341680,0.1,0,0.01,0.326237
RungeKutta4,118,11.8,0.343253,0.1,0,0.01,0.328277
RungeKutta4,119,11.9,0.341386,0.1,0,0.01,0.325855
RungeKutta4,120,12.0,0.335450,0.1,0,0.01,0.318154
RungeKutta4,121,12.1,0.325577,0.1,0,0.01,0.305345
