TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-23 19:54:34,robin_observed.csv,17.47118727817725712123395113,0.928,3.789,0.398,0.341,0.321,7.64,9.206,0.042,7.49,25.58,0.074,0.688,0.036,4.6,10.3,9.46,8.897,9.458,16.104,2.811,6.821,7.320,6.322,0.048,8.71,5.89,6.817,7.44,20.939,23.140,30.898,15.381,1.474,0.161,12.182,69.705,124.197,15.213
2026-05-23 19:54:34,robin_observed.csv,0.7794189780481557881338894159,0.786,3.115,2.378,2.216,0.321,6.36,7.231,0.093,6.77,27.207,0.024,0.425,0.014,4.95,9.53,11.19,7.5,15.810,14.986,16.633,4.686,2.674,6.698,0.142,8.26,5.85,1.569,7.04,10.524,36.464,65.357,7.572,0.93,0.135,12.11,95.626,183.294,7.957
2026-05-23 19:54:34,robin_observed.csv,0.7772459899646669361842776039,1.034,2.776,5.809,7.887,0.053,7.26,15.416,0.079,6.85,23.111,0.086,0.34,0.02,4.48,11.18,10.3,8.319,11.170,9.349,12.992,11.618,10.601,12.636,0.012,6.61,5.52,5.391,6.67,12.032,16.107,27.366,4.848,1.676,0.223,12.024,85.170,159.512,10.828
2026-05-23 19:54:35,robin_observed.csv,0.4433564897910691292322290698,0.759,2.321,5.494,6.297,0.609,6.71,8.707,0.048,7.04,22.837,0.002,0.543,0.035,4.46,11.94,10.79,6.489,8.044,2.062,14.025,6.209,6.44,5.978,0.035,8.61,6.05,1.368,7.42,23.36,17.942,26.658,9.226,1.12,0.072,12.076,99.366,185.76,12.973
2026-05-23 19:54:35,robin_observed.csv,0.5350960398856182854464831958,1.07,1.942,3.898,7.397,0.772,7.21,7.521,0.08,7.07,7.459,0.076,0.277,0.021,2.65,9.98,9.55,4.719,7.389,8.532,6.246,13.144,13.523,12.766,0.21,9.46,5.37,7.077,6.97,6.246,46.494,74.504,18.484,0.92,0.282,12.242,105.230,198.252,12.208
2026-05-23 19:54:35,robin_observed.csv,0.2448339482033008055960251810,0.785,2.741,3.299,2.336,0.859,7.58,12.831,0.041,6.97,24.877,0.063,0.296,0.011,2.98,11.56,9.82,8.409,14.348,13.045,15.651,4.987,9.391,0.583,0.111,9.21,6.71,7.847,7.0,21.473,16.546,18.985,14.106,1.039,0.225,12.156,84.233,157.047,11.419
2026-05-23 19:54:36,robin_observed.csv,0.6662959712112928652934827444,1.184,1.161,1.744,7.422,0.65,7.72,3.311,0.024,7.02,8.735,0.004,0.551,0.045,2.56,9.77,9.56,3.509,14.412,14.954,13.871,7.210,9.864,4.556,0.227,6.68,5.28,7.383,7.23,16.615,7.528,0.712,14.343,0.839,0.22,12.235,108.672,202.279,15.065
2026-05-23 19:54:36,robin_observed.csv,0.3784267382111743382505012189,0.86,1.11,3.781,6.075,0.344,6.33,13.632,0.05,7.59,10.102,0.024,0.148,0.048,2.54,11.63,11.33,4.78,8.366,0.461,16.272,5.851,8.888,2.814,0.134,9.16,6.73,7.421,7.16,19.294,31.078,43.289,18.868,1.669,0.077,12.019,65.310,118.574,12.045
2026-05-23 19:54:37,robin_observed.csv,0.2467762765913143741618894036,1.153,3.753,2.501,1.823,0.917,7.08,11.793,0.023,7.12,25.314,0.085,0.157,0.036,4.17,11.72,10.7,7.987,12.718,8.298,17.137,13.084,14.000,12.167,0.246,7.1,5.71,2.866,7.35,12.216,28.566,52.285,4.846,0.91,0.093,12.171,100.649,187.342,13.956
2026-05-23 19:54:37,robin_observed.csv,0.8289239741197343980232290017,0.901,2.163,0.314,5.901,0.042,7.05,14.406,0.085,6.69,20.588,0.083,0.525,0.005,3.09,10.64,11.5,3.223,10.686,3.123,18.25,1.837,1.909,1.765,0.141,8.53,7.47,6.475,6.79,11.107,7.912,6.772,9.053,1.477,0.077,12.11,118.354,230.091,6.617
