method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.65,0.1,0,0.01,1
RungeKutta4,1,0.1,0.586705,0.1,0,0.01,0.902623
RungeKutta4,2,0.2,0.530571,0.1,0,0.01,0.816263
RungeKutta4,3,0.3,0.480816,0.1,0,0.01,0.739717
RungeKutta4,4,0.4,0.436755,0.1,0,0.01,0.671930
RungeKutta4,5,0.5,0.397792,0.1,0,0.01,0.611987
RungeKutta4,6,0.6,0.363414,0.1,0,0.01,0.559098
RungeKutta4,7,0.7,0.333186,0.1,0,0.01,0.512593
RungeKutta4,8,0.8,0.306745,0.1,0,0.01,0.471915
RungeKutta4,9,0.9,0.283798,0.1,0,0.01,0.436611
RungeKutta4,10,1.0,0.264115,0.1,0,0.01,0.406330
RungeKutta4,11,1.1,0.247524,0.1,0,0.01,0.380805
RungeKutta4,12,1.2,0.233905,0.1,0,0.01,0.359853
RungeKutta4,13,1.3,0.223181,0.1,0,0.01,0.343354
RungeKutta4,14,1.4,0.215311,0.1,0,0.01,0.331247
RungeKutta4,15,1.5,0.210275,0.1,0,0.01,0.323499
RungeKutta4,16,1.6,0.208063,0.1,0,0.01,0.320096
RungeKutta4,17,1.7,0.209403,0.1,0,0.01,0.322157
RungeKutta4,18,1.8,0.215900,0.1,0,0.01,0.332153
RungeKutta4,19,1.9,0.227000,0.1,0,0.01,0.349230
RungeKutta4,20,2.0,0.242047,0.1,0,0.01,0.372379
RungeKutta4,21,2.1,0.260378,0.1,0,0.01,0.400581
RungeKutta4,22,2.2,0.281298,0.1,0,0.01,0.432765
RungeKutta4,23,2.3,0.304066,0.1,0,0.01,0.467793
RungeKutta4,24,2.4,0.327890,0.1,0,0.01,0.504445
RungeKutta4,25,2.5,0.351933,0.1,0,0.01,0.541435
RungeKutta4,26,2.6,0.375340,0.1,0,0.01,0.577446
RungeKutta4,27,2.7,0.397256,0.1,0,0.01,0.611162
RungeKutta4,28,2.8,0.416866,0.1,0,0.01,0.641332
RungeKutta4,29,2.9,0.433427,0.1,0,0.01,0.666810
RungeKutta4,30,3.0,0.446327,0.1,0,0.01,0.686656
RungeKutta4,31,3.1,0.455118,0.1,0,0.01,0.700181
RungeKutta4,32,3.2,0.459512,0.1,0,0.01,0.706941
RungeKutta4,33,3.3,0.459638,0.1,0,0.01,0.707135
RungeKutta4,34,3.4,0.457286,0.1,0,0.01,0.703516
RungeKutta4,35,3.5,0.452499,0.1,0,0.01,0.696152
RungeKutta4,36,3.6,0.445246,0.1,0,0.01,0.684993
RungeKutta4,37,3.7,0.435603,0.1,0,0.01,0.670158
RungeKutta4,38,3.8,0.423742,0.1,0,0.01,0.651910
RungeKutta4,39,3.9,0.409910,0.1,0,0.01,0.630630
RungeKutta4,40,4.0,0.394415,0.1,0,0.01,0.606792
RungeKutta4,41,4.1,0.377604,0.1,0,0.01,0.580929
RungeKutta4,42,4.2,0.359842,0.1,0,0.01,0.553602
RungeKutta4,43,4.3,0.341497,0.1,0,0.01,0.525379
RungeKutta4,44,4.4,0.322918,0.1,0,0.01,0.496796
RungeKutta4,45,4.5,0.304428,0.1,0,0.01,0.468350
RungeKutta4,46,4.6,0.286308,0.1,0,0.01,0.440473
RungeKutta4,47,4.7,0.268796,0.1,0,0.01,0.413531
RungeKutta4,48,4.8,0.252080,0.1,0,0.01,0.387814
RungeKutta4,49,4.9,0.236300,0.1,0,0.01,0.363537
RungeKutta4,50,5.0,0.221550,0.1,0,0.01,0.340845
RungeKutta4,51,5.1,0.207884,0.1,0,0.01,0.319820
RungeKutta4,52,5.2,0.195317,0.1,0,0.01,0.300487
RungeKutta4,53,5.3,0.183832,0.1,0,0.01,0.282817
RungeKutta4,54,5.4,0.173383,0.1,0,0.01,0.266742
RungeKutta4,55,5.5,0.163888,0.1,0,0.01,0.252134
RungeKutta4,56,5.6,0.155220,0.1,0,0.01,0.238799
RungeKutta4,57,5.7,0.147174,0.1,0,0.01,0.226420
RungeKutta4,58,5.8,0.139447,0.1,0,0.01,0.214533
RungeKutta4,59,5.9,0.131730,0.1,0,0.01,0.202660
RungeKutta4,60,6.0,0.123998,0.1,0,0.01,0.190765
RungeKutta4,61,6.1,0.116469,0.1,0,0.01,0.179182
RungeKutta4,62,6.2,0.108432,0.1,0,0.01,0.166817
RungeKutta4,63,6.3,0.0980841,0.1,0,0.01,0.150897
RungeKutta4,64,6.4,0.0869054,0.1,0,0.01,0.133699
RungeKutta4,65,6.5,0.0772663,0.1,0,0.01,0.118869
RungeKutta4,66,6.6,0.0695621,0.1,0,0.01,0.107017
RungeKutta4,67,6.7,0.0635035,0.1,0,0.01,0.0976957
RungeKutta4,68,6.8,0.0587353,0.1,0,0.01,0.0903600
RungeKutta4,69,6.9,0.0549349,0.1,0,0.01,0.0845132
RungeKutta4,70,7.0,0.0518007,0.1,0,0.01,0.0796914
