method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0,0.1,0,0.01,0E+5
RungeKutta4,1,0.1,0.00368975,0.1,0,0.01,0.00220494
RungeKutta4,2,0.2,0.0114569,0.1,0,0.01,0.00684648
RungeKutta4,3,0.3,0.0289632,0.1,0,0.01,0.0173080
RungeKutta4,4,0.4,0.0653922,0.1,0,0.01,0.0390774
RungeKutta4,5,0.5,0.129511,0.1,0,0.01,0.0773939
RungeKutta4,6,0.6,0.221522,0.1,0,0.01,0.132378
RungeKutta4,7,0.7,0.331789,0.1,0,0.01,0.198272
RungeKutta4,8,0.8,0.448490,0.1,0,0.01,0.268011
RungeKutta4,9,0.9,0.563312,0.1,0,0.01,0.336627
RungeKutta4,10,1.0,0.672005,0.1,0,0.01,0.401581
RungeKutta4,11,1.1,0.772989,0.1,0,0.01,0.461927
RungeKutta4,12,1.2,0.866062,0.1,0,0.01,0.517546
RungeKutta4,13,1.3,0.951622,0.1,0,0.01,0.568676
RungeKutta4,14,1.4,1.03028,0.1,0,0.01,0.615681
RungeKutta4,15,1.5,1.10266,0.1,0,0.01,0.658934
RungeKutta4,16,1.6,1.16936,0.1,0,0.01,0.698793
RungeKutta4,17,1.7,1.23089,0.1,0,0.01,0.735562
RungeKutta4,18,1.8,1.28769,0.1,0,0.01,0.769505
RungeKutta4,19,1.9,1.34014,0.1,0,0.01,0.800849
RungeKutta4,20,2.0,1.38853,0.1,0,0.01,0.829766
RungeKutta4,21,2.1,1.43311,0.1,0,0.01,0.856406
RungeKutta4,22,2.2,1.47408,0.1,0,0.01,0.880889
RungeKutta4,23,2.3,1.51158,0.1,0,0.01,0.903299
RungeKutta4,24,2.4,1.54569,0.1,0,0.01,0.923682
RungeKutta4,25,2.5,1.57643,0.1,0,0.01,0.942052
RungeKutta4,26,2.6,1.60374,0.1,0,0.01,0.958372
RungeKutta4,27,2.7,1.62743,0.1,0,0.01,0.972529
RungeKutta4,28,2.8,1.64715,0.1,0,0.01,0.984313
RungeKutta4,29,2.9,1.66227,0.1,0,0.01,0.993349
RungeKutta4,30,3.0,1.67167,0.1,0,0.01,0.998966
RungeKutta4,31,3.1,1.67340,0.1,0,0.01,1
RungeKutta4,32,3.2,1.66399,0.1,0,0.01,0.994377
RungeKutta4,33,3.3,1.63712,0.1,0,0.01,0.978320
RungeKutta4,34,3.4,1.58117,0.1,0,0.01,0.944885
RungeKutta4,35,3.5,1.47611,0.1,0,0.01,0.882102
RungeKutta4,36,3.6,1.29470,0.1,0,0.01,0.773694
RungeKutta4,37,3.7,1.02377,0.1,0,0.01,0.611790
RungeKutta4,38,3.8,0.704333,0.1,0,0.01,0.420899
RungeKutta4,39,3.9,0.420305,0.1,0,0.01,0.251168
RungeKutta4,40,4.0,0.223258,0.1,0,0.01,0.133416
RungeKutta4,41,4.1,0.108875,0.1,0,0.01,0.0650621
RungeKutta4,42,4.2,0.0499477,0.1,0,0.01,0.0298480
RungeKutta4,43,4.3,0.0219427,0.1,0,0.01,0.0131126
RungeKutta4,44,4.4,0.0093517,0.1,0,0.01,0.00558844
RungeKutta4,45,4.5,0.00390305,0.1,0,0.01,0.00233241
RungeKutta4,46,4.6,0.00160587,0.1,0,0.01,0.000959645
RungeKutta4,47,4.7,0.00065429,0.1,0,0.01,0.000390994
RungeKutta4,48,4.8,0.000264795,0.1,0,0.01,0.000158238
RungeKutta4,49,4.9,0.000106660,0.1,0,0.01,0.0000637385
