month,observed,simulated_raw,synthesised
1,1,8.762674012000001e-51,8.998988930195045e-39
2,2,1.647899072e-45,1.692340201940481e-33
3,8,2.6289102339000002e-40,2.6998076227581756e-28
4,19,3.6138156961000004e-35,3.7112743667553654e-23
5,5,3.5509246510999996e-30,3.646687253622051e-18
6,4,3.5924674105e-25,3.689350352974874e-13
7,2,2.9330824015e-20,3.01218281386506e-08
8,2,1.6128407526e-15,0.0016563364172784251
9,1,5.7030432e-13,0.5856844903158782
10,0,1.7087801e-13,0.17548630912184138
11,0,4.5362156e-13,0.46585498802620606
12,2,9.00228088e-16,0.0009245057601673393
