TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH
2026-05-23 20:04:29,shoveler_observed.csv,0.1804191491057902660445750745,1.209,1.666,3.412,0.0,1.153,0.739,1.57,11.43,2.76,4.628,0.116,6.9,2.705
2026-05-23 20:04:30,shoveler_observed.csv,0.07371416489352150362809210886,1.077,1.573,2.404,0.0,0.718,0.113,2.45,10.92,1.818,5.111,0.386,6.35,2.693
2026-05-23 20:04:30,shoveler_observed.csv,0.1974301905425978849904324689,0.751,1.171,3.22,0.0,0.96,0.61,1.5,11.53,3.287,2.266,0.157,6.03,3.941
2026-05-23 20:04:30,shoveler_observed.csv,0.2390564315133893709753707635,0.665,0.293,3.038,0.0,1.435,0.065,11.85,11.75,3.033,5.466,0.352,6.92,4.989
2026-05-23 20:04:31,shoveler_observed.csv,0.1085046033404743583532218443,0.89,0.985,1.668,0.0,1.406,0.236,1.88,10.96,2.909,5.174,0.046,7.75,4.896
2026-05-23 20:04:31,shoveler_observed.csv,0.3374629505824807680208933482,0.936,1.386,2.884,0.0,1.268,0.328,11.68,10.37,3.173,4.841,0.067,7.22,2.833
2026-05-23 20:04:31,shoveler_observed.csv,0.1272282209032461824284599395,0.852,0.855,1.279,0.0,0.803,0.555,1.78,10.56,2.731,5.785,0.238,7.38,2.993
2026-05-23 20:04:31,shoveler_observed.csv,0.1402754120915552305435805784,1.155,1.974,1.702,0.0,1.427,0.57,1.38,11.98,3.41,5.228,0.368,6.02,3.075
2026-05-23 20:04:32,shoveler_observed.csv,0.2228847439735122014120578231,1.099,1.174,0.524,0.0,1.035,0.636,1.13,10.5,2.024,2.004,0.241,7.17,3.835
2026-05-23 20:04:32,shoveler_observed.csv,0.1323654916803157223930000189,0.805,0.964,1.525,0.0,0.792,0.525,1.81,11.06,3.942,4.183,0.162,6.81,2.836
