method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.996,0.1,0,0.01,1
RungeKutta4,1,0.1,0.965925,0.1,0,0.01,0.969801
RungeKutta4,2,0.2,0.944753,0.1,0,0.01,0.948542
RungeKutta4,3,0.3,0.930639,0.1,0,0.01,0.934370
RungeKutta4,4,0.4,0.922009,0.1,0,0.01,0.925704
RungeKutta4,5,0.5,0.917519,0.1,0,0.01,0.921196
RungeKutta4,6,0.6,0.916011,0.1,0,0.01,0.919681
RungeKutta4,7,0.7,0.916178,0.1,0,0.01,0.919849
RungeKutta4,8,0.8,0.916888,0.1,0,0.01,0.920562
RungeKutta4,9,0.9,0.917842,0.1,0,0.01,0.921520
RungeKutta4,10,1.0,0.918789,0.1,0,0.01,0.922471
RungeKutta4,11,1.1,0.919490,0.1,0,0.01,0.923175
RungeKutta4,12,1.2,0.919706,0.1,0,0.01,0.923392
RungeKutta4,13,1.3,0.918660,0.1,0,0.01,0.922341
RungeKutta4,14,1.4,0.915688,0.1,0,0.01,0.919357
RungeKutta4,15,1.5,0.910572,0.1,0,0.01,0.914220
RungeKutta4,16,1.6,0.903152,0.1,0,0.01,0.906769
RungeKutta4,17,1.7,0.893314,0.1,0,0.01,0.896891
RungeKutta4,18,1.8,0.880991,0.1,0,0.01,0.884517
RungeKutta4,19,1.9,0.866164,0.1,0,0.01,0.869629
RungeKutta4,20,2.0,0.848847,0.1,0,0.01,0.852241
RungeKutta4,21,2.1,0.829090,0.1,0,0.01,0.832402
RungeKutta4,22,2.2,0.806977,0.1,0,0.01,0.810198
RungeKutta4,23,2.3,0.782618,0.1,0,0.01,0.785739
RungeKutta4,24,2.4,0.756148,0.1,0,0.01,0.759160
RungeKutta4,25,2.5,0.727724,0.1,0,0.01,0.730618
RungeKutta4,26,2.6,0.697518,0.1,0,0.01,0.700288
RungeKutta4,27,2.7,0.665717,0.1,0,0.01,0.668356
RungeKutta4,28,2.8,0.632520,0.1,0,0.01,0.635022
RungeKutta4,29,2.9,0.598133,0.1,0,0.01,0.600493
RungeKutta4,30,3.0,0.562764,0.1,0,0.01,0.564979
RungeKutta4,31,3.1,0.526629,0.1,0,0.01,0.528695
RungeKutta4,32,3.2,0.489936,0.1,0,0.01,0.491851
RungeKutta4,33,3.3,0.452893,0.1,0,0.01,0.454655
RungeKutta4,34,3.4,0.415703,0.1,0,0.01,0.417312
RungeKutta4,35,3.5,0.378562,0.1,0,0.01,0.380018
RungeKutta4,36,3.6,0.341652,0.1,0,0.01,0.342955
RungeKutta4,37,3.7,0.305150,0.1,0,0.01,0.306303
RungeKutta4,38,3.8,0.269219,0.1,0,0.01,0.270224
RungeKutta4,39,3.9,0.234010,0.1,0,0.01,0.234870
RungeKutta4,40,4.0,0.199659,0.1,0,0.01,0.200377
RungeKutta4,41,4.1,0.166647,0.1,0,0.01,0.167229
RungeKutta4,42,4.2,0.138557,0.1,0,0.01,0.139024
RungeKutta4,43,4.3,0.115202,0.1,0,0.01,0.115572
RungeKutta4,44,4.4,0.0957833,0.1,0,0.01,0.0960741
RungeKutta4,45,4.5,0.0796379,0.1,0,0.01,0.0798622
RungeKutta4,46,4.6,0.0662140,0.1,0,0.01,0.0663829
RungeKutta4,47,4.7,0.0550528,0.1,0,0.01,0.0551757
RungeKutta4,48,4.8,0.0457730,0.1,0,0.01,0.0458577
