method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.915,0.1,0,0.01,1
RungeKutta4,1,0.1,0.838751,0.1,0,0.01,0.896739
RungeKutta4,2,0.2,0.774926,0.1,0,0.01,0.810304
RungeKutta4,3,0.3,0.721980,0.1,0,0.01,0.738602
RungeKutta4,4,0.4,0.678638,0.1,0,0.01,0.679906
RungeKutta4,5,0.5,0.643846,0.1,0,0.01,0.632789
RungeKutta4,6,0.6,0.616733,0.1,0,0.01,0.596071
RungeKutta4,7,0.7,0.596570,0.1,0,0.01,0.568765
RungeKutta4,8,0.8,0.582732,0.1,0,0.01,0.550025
RungeKutta4,9,0.9,0.574664,0.1,0,0.01,0.539099
RungeKutta4,10,1.0,0.571848,0.1,0,0.01,0.535285
RungeKutta4,11,1.1,0.573851,0.1,0,0.01,0.537998
RungeKutta4,12,1.2,0.580219,0.1,0,0.01,0.546622
RungeKutta4,13,1.3,0.590354,0.1,0,0.01,0.560347
RungeKutta4,14,1.4,0.603620,0.1,0,0.01,0.578312
RungeKutta4,15,1.5,0.619334,0.1,0,0.01,0.599593
RungeKutta4,16,1.6,0.636768,0.1,0,0.01,0.623203
RungeKutta4,17,1.7,0.655164,0.1,0,0.01,0.648116
RungeKutta4,18,1.8,0.673741,0.1,0,0.01,0.673274
RungeKutta4,19,1.9,0.691728,0.1,0,0.01,0.697633
RungeKutta4,20,2.0,0.708383,0.1,0,0.01,0.720188
RungeKutta4,21,2.1,0.723016,0.1,0,0.01,0.740005
RungeKutta4,22,2.2,0.735023,0.1,0,0.01,0.756265
RungeKutta4,23,2.3,0.743910,0.1,0,0.01,0.768301
RungeKutta4,24,2.4,0.749304,0.1,0,0.01,0.775606
RungeKutta4,25,2.5,0.750981,0.1,0,0.01,0.777877
RungeKutta4,26,2.6,0.748932,0.1,0,0.01,0.775102
RungeKutta4,27,2.7,0.743266,0.1,0,0.01,0.767429
RungeKutta4,28,2.8,0.734156,0.1,0,0.01,0.755091
RungeKutta4,29,2.9,0.721892,0.1,0,0.01,0.738483
RungeKutta4,30,3.0,0.706861,0.1,0,0.01,0.718127
RungeKutta4,31,3.1,0.689522,0.1,0,0.01,0.694646
RungeKutta4,32,3.2,0.670381,0.1,0,0.01,0.668724
RungeKutta4,33,3.3,0.649962,0.1,0,0.01,0.641071
RungeKutta4,34,3.4,0.628784,0.1,0,0.01,0.612391
RungeKutta4,35,3.5,0.607334,0.1,0,0.01,0.583342
RungeKutta4,36,3.6,0.586055,0.1,0,0.01,0.554525
RungeKutta4,37,3.7,0.565331,0.1,0,0.01,0.526459
RungeKutta4,38,3.8,0.545478,0.1,0,0.01,0.499573
RungeKutta4,39,3.9,0.526741,0.1,0,0.01,0.474199
RungeKutta4,40,4.0,0.509295,0.1,0,0.01,0.450572
RungeKutta4,41,4.1,0.493250,0.1,0,0.01,0.428843
RungeKutta4,42,4.2,0.478658,0.1,0,0.01,0.409082
RungeKutta4,43,4.3,0.465520,0.1,0,0.01,0.391290
RungeKutta4,44,4.4,0.453798,0.1,0,0.01,0.375415
RungeKutta4,45,4.5,0.443423,0.1,0,0.01,0.361365
RungeKutta4,46,4.6,0.434306,0.1,0,0.01,0.349018
RungeKutta4,47,4.7,0.426342,0.1,0,0.01,0.338233
RungeKutta4,48,4.8,0.419419,0.1,0,0.01,0.328858
RungeKutta4,49,4.9,0.413422,0.1,0,0.01,0.320736
RungeKutta4,50,5.0,0.408232,0.1,0,0.01,0.313707
RungeKutta4,51,5.1,0.403726,0.1,0,0.01,0.307605
RungeKutta4,52,5.2,0.399772,0.1,0,0.01,0.302250
RungeKutta4,53,5.3,0.396218,0.1,0,0.01,0.297437
RungeKutta4,54,5.4,0.392882,0.1,0,0.01,0.292920
RungeKutta4,55,5.5,0.389539,0.1,0,0.01,0.288392
RungeKutta4,56,5.6,0.385906,0.1,0,0.01,0.283472
RungeKutta4,57,5.7,0.381620,0.1,0,0.01,0.277668
RungeKutta4,58,5.8,0.376161,0.1,0,0.01,0.270275
RungeKutta4,59,5.9,0.368559,0.1,0,0.01,0.259980
RungeKutta4,60,6.0,0.356422,0.1,0,0.01,0.243544
RungeKutta4,61,6.1,0.334716,0.1,0,0.01,0.214148
RungeKutta4,62,6.2,0.300543,0.1,0,0.01,0.167869
RungeKutta4,63,6.3,0.261866,0.1,0,0.01,0.115491
RungeKutta4,64,6.4,0.228420,0.1,0,0.01,0.0701964
RungeKutta4,65,6.5,0.203573,0.1,0,0.01,0.0365472
RungeKutta4,66,6.6,0.187601,0.1,0,0.01,0.0149171
RungeKutta4,67,6.7,0.179461,0.1,0,0.01,0.00389348
RungeKutta4,68,6.8,0.176586,0.1,0,0.01,0
RungeKutta4,69,6.9,0.176659,0.1,0,0.01,0.0000988605
RungeKutta4,70,7.0,0.177728,0.1,0,0.01,0.00154656
RungeKutta4,71,7.1,0.179785,0.1,0,0.01,0.00433226
RungeKutta4,72,7.2,0.182880,0.1,0,0.01,0.00852367
RungeKutta4,73,7.3,0.187009,0.1,0,0.01,0.0141154
RungeKutta4,74,7.4,0.192121,0.1,0,0.01,0.0210383
RungeKutta4,75,7.5,0.198122,0.1,0,0.01,0.0291652
RungeKutta4,76,7.6,0.204888,0.1,0,0.01,0.0383281
RungeKutta4,77,7.7,0.212267,0.1,0,0.01,0.0483211
RungeKutta4,78,7.8,0.220097,0.1,0,0.01,0.0589249
RungeKutta4,79,7.9,0.228208,0.1,0,0.01,0.0699093
RungeKutta4,80,8.0,0.236436,0.1,0,0.01,0.0810521
RungeKutta4,81,8.1,0.244626,0.1,0,0.01,0.0921434
RungeKutta4,82,8.2,0.252641,0.1,0,0.01,0.102998
RungeKutta4,83,8.3,0.260367,0.1,0,0.01,0.113461
RungeKutta4,84,8.4,0.267717,0.1,0,0.01,0.123415
RungeKutta4,85,8.5,0.274640,0.1,0,0.01,0.132790
RungeKutta4,86,8.6,0.281131,0.1,0,0.01,0.141580
RungeKutta4,87,8.7,0.287241,0.1,0,0.01,0.149855
RungeKutta4,88,8.8,0.293063,0.1,0,0.01,0.157739
RungeKutta4,89,8.9,0.298675,0.1,0,0.01,0.165339
RungeKutta4,90,9.0,0.304073,0.1,0,0.01,0.172650
RungeKutta4,91,9.1,0.309183,0.1,0,0.01,0.179570
RungeKutta4,92,9.2,0.313923,0.1,0,0.01,0.185989
RungeKutta4,93,9.3,0.318246,0.1,0,0.01,0.191844
RungeKutta4,94,9.4,0.322140,0.1,0,0.01,0.197117
RungeKutta4,95,9.5,0.325614,0.1,0,0.01,0.201822
RungeKutta4,96,9.6,0.328688,0.1,0,0.01,0.205985
RungeKutta4,97,9.7,0.331388,0.1,0,0.01,0.209641
RungeKutta4,98,9.8,0.333738,0.1,0,0.01,0.212824
RungeKutta4,99,9.9,0.335760,0.1,0,0.01,0.215562
RungeKutta4,100,10.0,0.337474,0.1,0,0.01,0.217883
RungeKutta4,101,10.1,0.338891,0.1,0,0.01,0.219802
RungeKutta4,102,10.2,0.340021,0.1,0,0.01,0.221332
RungeKutta4,103,10.3,0.340877,0.1,0,0.01,0.222492
RungeKutta4,104,10.4,0.341487,0.1,0,0.01,0.223318
RungeKutta4,105,10.5,0.341937,0.1,0,0.01,0.223927
RungeKutta4,106,10.6,0.342508,0.1,0,0.01,0.224701
RungeKutta4,107,10.7,0.343956,0.1,0,0.01,0.226661
RungeKutta4,108,10.8,0.347784,0.1,0,0.01,0.231846
RungeKutta4,109,10.9,0.355930,0.1,0,0.01,0.242877
RungeKutta4,110,11.0,0.369361,0.1,0,0.01,0.261066
RungeKutta4,111,11.1,0.386297,0.1,0,0.01,0.284002
RungeKutta4,112,11.2,0.402363,0.1,0,0.01,0.305759
RungeKutta4,113,11.3,0.415654,0.1,0,0.01,0.323759
RungeKutta4,114,11.4,0.426277,0.1,0,0.01,0.338145
RungeKutta4,115,11.5,0.434399,0.1,0,0.01,0.349144
RungeKutta4,116,11.6,0.440214,0.1,0,0.01,0.357019
RungeKutta4,117,11.7,0.443949,0.1,0,0.01,0.362077
RungeKutta4,118,11.8,0.445873,0.1,0,0.01,0.364683
RungeKutta4,119,11.9,0.446265,0.1,0,0.01,0.365214
RungeKutta4,120,12.0,0.444026,0.1,0,0.01,0.362182
RungeKutta4,121,12.1,0.437490,0.1,0,0.01,0.353330
