TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-07 08:13:08,common_starling_observed.csv,0.4388574356407651963908164922,0.951,1.636,0.371,0.867,0.636,7.11,6.466,0.129,6.65,22.787,0.848,0.423,0.04,1.04,10.63,9.83,5.519,15.556,12.062,19.051,5.014,8.927,1.101,0.144,6.55,4.39,2.579,6.7,22.692,33.822,66.98,0.664,1.461,0.279,12.18,66.918,128.508,5.327
2026-05-07 08:13:08,common_starling_observed.csv,0.7190842659289764008267199677,1.133,1.679,0.647,4.957,0.127,7.73,14.382,0.349,7.45,20.982,0.773,0.66,0.044,1.28,1.33,10.53,9.376,5.880,11.32,0.44,8.663,4.848,12.478,0.003,5.74,5.93,5.697,6.61,12.665,10.535,12.164,8.906,1.643,0.219,12.269,86.322,160.512,12.132
2026-05-07 08:13:09,common_starling_observed.csv,0.8352586987626217102047745869,0.954,0.302,0.726,3.688,0.009,6.74,8.795,0.237,7.6,26.667,0.82,0.637,0.042,1.05,11.2,9.02,3.807,14.648,13.055,16.24,6.156,3.026,9.287,0.16,6.81,4.13,7.14,7.06,14.874,20.816,35.015,6.618,1.634,0.278,12.148,115.616,226.387,4.845
2026-05-07 08:13:09,common_starling_observed.csv,0.5907486389783706817908746419,1.204,0.869,1.723,5.054,0.533,7.3,5.244,0.106,6.89,19.917,0.876,0.381,0.038,11.51,11.8,10.68,10.773,11.968,15.989,7.948,3.622,1.35,5.893,0.147,8.28,4.61,7.478,7.1,11.845,20.810,26.905,14.715,1.407,0.215,12.135,50.735,93.481,7.989
2026-05-07 08:13:09,common_starling_observed.csv,0.8567454049904192672299462642,0.805,2.796,3.098,4.391,0.738,7.42,4.754,0.121,7.18,12.559,0.673,0.421,0.047,1.84,10.57,10.7,7.461,12.688,10.832,14.545,7.363,7.819,6.907,0.016,7.33,4.82,4.803,7.44,12.124,30.540,53.511,7.57,1.077,0.274,12.218,88.811,168.684,8.938
2026-05-07 08:13:10,common_starling_observed.csv,3.066474068702438833031092415,0.979,0.772,3.924,0.274,0.161,6.65,9.365,0.203,6.7,24.096,0.427,0.49,0.004,11.59,10.63,9.33,11.119,2.412,2.071,2.754,2.616,2.377,2.855,0.102,5.57,5.34,7.608,7.09,7.107,23.260,44.575,1.945,1.722,0.191,12.009,101.030,186.081,15.98
2026-05-07 08:13:10,common_starling_observed.csv,36.87445691938165908739641275,1.289,2.99,0.672,7.652,0.882,7.26,15.2,0.192,7.56,15.485,0.567,0.032,0.02,2.28,10.87,8.98,4.555,4.202,4.048,4.356,10.120,9.889,10.352,0.024,6.1,5.33,6.411,6.74,6.061,25.358,34.858,15.858,0.969,0.005,12.208,110.838,215.008,6.669
2026-05-07 08:13:10,common_starling_observed.csv,2.060087829498678799501760287,0.751,0.551,1.076,3.083,0.564,6.42,6.017,0.393,7.52,26.188,0.619,0.063,0.048,2.47,1.35,11.26,7.505,5.063,5.709,4.417,4.376,7.952,0.799,0.094,5.51,6.28,1.522,6.88,20.562,26.048,44.345,7.751,0.908,0.176,12.075,49.986,90.937,9.034
2026-05-07 08:13:11,common_starling_observed.csv,0.4156099257529436957307181118,0.785,2.679,0.074,7.63,0.198,6.87,8.432,0.012,7.19,11.022,0.457,0.408,0.017,1.77,1.14,8.75,5.317,17.178,16.116,18.24,8.094,5.977,10.211,0.121,6.9,4.41,4.355,7.28,13.923,39.968,79.101,0.834,1.016,0.279,12.199,57.170,100.956,13.385
2026-05-07 08:13:11,common_starling_observed.csv,0.6579423747618370966174653977,0.799,2.259,1.864,5.158,0.645,7.33,5.829,0.444,7.3,14.878,0.778,0.225,0.015,1.56,10.74,8.59,11.119,12.692,10.7,14.684,6.919,7.117,6.721,0.079,6.97,5.98,4.099,7.2,9.801,26.229,49.831,2.627,1.76,0.221,12.112,50.076,95.028,5.123
