method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.874,0.1,0,0.01,0.667864
RungeKutta4,1,0.1,0.862115,0.1,0,0.01,0.653647
RungeKutta4,2,0.2,0.851876,0.1,0,0.01,0.641400
RungeKutta4,3,0.3,0.843063,0.1,0,0.01,0.630858
RungeKutta4,4,0.4,0.835484,0.1,0,0.01,0.621793
RungeKutta4,5,0.5,0.828977,0.1,0,0.01,0.614009
RungeKutta4,6,0.6,0.823406,0.1,0,0.01,0.607345
RungeKutta4,7,0.7,0.818657,0.1,0,0.01,0.601665
RungeKutta4,8,0.8,0.814639,0.1,0,0.01,0.596859
RungeKutta4,9,0.9,0.811281,0.1,0,0.01,0.592842
RungeKutta4,10,1.0,0.808530,0.1,0,0.01,0.589551
RungeKutta4,11,1.1,0.806352,0.1,0,0.01,0.586946
RungeKutta4,12,1.2,0.804730,0.1,0,0.01,0.585006
RungeKutta4,13,1.3,0.803665,0.1,0,0.01,0.583732
RungeKutta4,14,1.4,0.803174,0.1,0,0.01,0.583145
RungeKutta4,15,1.5,0.803366,0.1,0,0.01,0.583374
RungeKutta4,16,1.6,0.804506,0.1,0,0.01,0.584738
RungeKutta4,17,1.7,0.806636,0.1,0,0.01,0.587286
RungeKutta4,18,1.8,0.809804,0.1,0,0.01,0.591075
RungeKutta4,19,1.9,0.814075,0.1,0,0.01,0.596184
RungeKutta4,20,2.0,0.819524,0.1,0,0.01,0.602702
RungeKutta4,21,2.1,0.826230,0.1,0,0.01,0.610723
RungeKutta4,22,2.2,0.834269,0.1,0,0.01,0.620339
RungeKutta4,23,2.3,0.843706,0.1,0,0.01,0.631627
RungeKutta4,24,2.4,0.854589,0.1,0,0.01,0.644645
RungeKutta4,25,2.5,0.866942,0.1,0,0.01,0.659421
RungeKutta4,26,2.6,0.880757,0.1,0,0.01,0.675946
RungeKutta4,27,2.7,0.895992,0.1,0,0.01,0.694169
RungeKutta4,28,2.8,0.912564,0.1,0,0.01,0.713992
RungeKutta4,29,2.9,0.930345,0.1,0,0.01,0.735261
RungeKutta4,30,3.0,0.949165,0.1,0,0.01,0.757773
RungeKutta4,31,3.1,0.968804,0.1,0,0.01,0.781264
RungeKutta4,32,3.2,0.989004,0.1,0,0.01,0.805426
RungeKutta4,33,3.3,1.00947,0.1,0,0.01,0.829907
RungeKutta4,34,3.4,1.02987,0.1,0,0.01,0.854308
RungeKutta4,35,3.5,1.04986,0.1,0,0.01,0.878219
RungeKutta4,36,3.6,1.06907,0.1,0,0.01,0.901198
RungeKutta4,37,3.7,1.08713,0.1,0,0.01,0.922800
RungeKutta4,38,3.8,1.10367,0.1,0,0.01,0.942585
RungeKutta4,39,3.9,1.11836,0.1,0,0.01,0.960156
RungeKutta4,40,4.0,1.13090,0.1,0,0.01,0.975156
RungeKutta4,41,4.1,1.14098,0.1,0,0.01,0.987213
RungeKutta4,42,4.2,1.14807,0.1,0,0.01,0.995694
RungeKutta4,43,4.3,1.15167,0.1,0,0.01,1
RungeKutta4,44,4.4,1.15163,0.1,0,0.01,0.999952
RungeKutta4,45,4.5,1.14884,0.1,0,0.01,0.996615
RungeKutta4,46,4.6,1.14326,0.1,0,0.01,0.989940
RungeKutta4,47,4.7,1.13488,0.1,0,0.01,0.979917
RungeKutta4,48,4.8,1.12383,0.1,0,0.01,0.966699
RungeKutta4,49,4.9,1.11033,0.1,0,0.01,0.950551
RungeKutta4,50,5.0,1.09471,0.1,0,0.01,0.931867
RungeKutta4,51,5.1,1.07736,0.1,0,0.01,0.911114
RungeKutta4,52,5.2,1.05871,0.1,0,0.01,0.888805
RungeKutta4,53,5.3,1.03919,0.1,0,0.01,0.865456
RungeKutta4,54,5.4,1.01923,0.1,0,0.01,0.841581
RungeKutta4,55,5.5,0.999216,0.1,0,0.01,0.817641
RungeKutta4,56,5.6,0.979423,0.1,0,0.01,0.793966
RungeKutta4,57,5.7,0.959811,0.1,0,0.01,0.770507
RungeKutta4,58,5.8,0.939205,0.1,0,0.01,0.745859
RungeKutta4,59,5.9,0.912802,0.1,0,0.01,0.714277
RungeKutta4,60,6.0,0.871352,0.1,0,0.01,0.664696
RungeKutta4,61,6.1,0.813928,0.1,0,0.01,0.596008
RungeKutta4,62,6.2,0.751355,0.1,0,0.01,0.521161
RungeKutta4,63,6.3,0.693196,0.1,0,0.01,0.451594
RungeKutta4,64,6.4,0.643952,0.1,0,0.01,0.392691
RungeKutta4,65,6.5,0.604263,0.1,0,0.01,0.345216
RungeKutta4,66,6.6,0.573004,0.1,0,0.01,0.307826
RungeKutta4,67,6.7,0.548635,0.1,0,0.01,0.278677
RungeKutta4,68,6.8,0.529729,0.1,0,0.01,0.256062
RungeKutta4,69,6.9,0.515100,0.1,0,0.01,0.238564
RungeKutta4,70,7.0,0.503800,0.1,0,0.01,0.225047
RungeKutta4,71,7.1,0.495083,0.1,0,0.01,0.214620
RungeKutta4,72,7.2,0.488365,0.1,0,0.01,0.206584
RungeKutta4,73,7.3,0.483192,0.1,0,0.01,0.200397
RungeKutta4,74,7.4,0.479212,0.1,0,0.01,0.195636
RungeKutta4,75,7.5,0.476151,0.1,0,0.01,0.191975
RungeKutta4,76,7.6,0.473797,0.1,0,0.01,0.189159
RungeKutta4,77,7.7,0.471987,0.1,0,0.01,0.186994
RungeKutta4,78,7.8,0.470591,0.1,0,0.01,0.185324
RungeKutta4,79,7.9,0.469503,0.1,0,0.01,0.184022
RungeKutta4,80,8.0,0.468628,0.1,0,0.01,0.182976
RungeKutta4,81,8.1,0.467863,0.1,0,0.01,0.182061
RungeKutta4,82,8.2,0.467072,0.1,0,0.01,0.181115
RungeKutta4,83,8.3,0.466047,0.1,0,0.01,0.179889
RungeKutta4,84,8.4,0.464461,0.1,0,0.01,0.177991
RungeKutta4,85,8.5,0.461802,0.1,0,0.01,0.174811
RungeKutta4,86,8.6,0.457305,0.1,0,0.01,0.169432
RungeKutta4,87,8.7,0.449943,0.1,0,0.01,0.160626
RungeKutta4,88,8.8,0.438572,0.1,0,0.01,0.147024
RungeKutta4,89,8.9,0.422358,0.1,0,0.01,0.127630
RungeKutta4,90,9.0,0.401479,0.1,0,0.01,0.102655
RungeKutta4,91,9.1,0.377693,0.1,0,0.01,0.0742035
RungeKutta4,92,9.2,0.354248,0.1,0,0.01,0.0461596
RungeKutta4,93,9.3,0.334993,0.1,0,0.01,0.0231277
RungeKutta4,94,9.4,0.322901,0.1,0,0.01,0.00866375
RungeKutta4,95,9.5,0.317215,0.1,0,0.01,0.00186241
RungeKutta4,96,9.6,0.315658,0.1,0,0.01,0
RungeKutta4,97,9.7,0.316223,0.1,0,0.01,0.000675828
RungeKutta4,98,9.8,0.317926,0.1,0,0.01,0.00271288
RungeKutta4,99,9.9,0.320844,0.1,0,0.01,0.00620326
RungeKutta4,100,10.0,0.325022,0.1,0,0.01,0.0112008
RungeKutta4,101,10.1,0.330490,0.1,0,0.01,0.0177414
RungeKutta4,102,10.2,0.337266,0.1,0,0.01,0.0258465
RungeKutta4,103,10.3,0.345334,0.1,0,0.01,0.0354971
RungeKutta4,104,10.4,0.354598,0.1,0,0.01,0.0465783
RungeKutta4,105,10.5,0.364873,0.1,0,0.01,0.0588688
RungeKutta4,106,10.6,0.376090,0.1,0,0.01,0.0722860
RungeKutta4,107,10.7,0.388778,0.1,0,0.01,0.0874629
RungeKutta4,108,10.8,0.404580,0.1,0,0.01,0.106365
RungeKutta4,109,10.9,0.425999,0.1,0,0.01,0.131985
RungeKutta4,110,11.0,0.454580,0.1,0,0.01,0.166172
RungeKutta4,111,11.1,0.488288,0.1,0,0.01,0.206492
RungeKutta4,112,11.2,0.520720,0.1,0,0.01,0.245286
RungeKutta4,113,11.3,0.547144,0.1,0,0.01,0.276893
RungeKutta4,114,11.4,0.567833,0.1,0,0.01,0.301640
RungeKutta4,115,11.5,0.583319,0.1,0,0.01,0.320164
RungeKutta4,116,11.6,0.594098,0.1,0,0.01,0.333057
RungeKutta4,117,11.7,0.600655,0.1,0,0.01,0.340901
RungeKutta4,118,11.8,0.603473,0.1,0,0.01,0.344271
RungeKutta4,119,11.9,0.602945,0.1,0,0.01,0.343640
RungeKutta4,120,12.0,0.652100,0.1,0,0.01,0.402437
RungeKutta4,121,12.1,0.680245,0.1,0,0.01,0.436103
