method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,1.09,0.1,0,0.01,1
RungeKutta4,1,0.1,1.04292,0.1,0,0.01,0.938360
RungeKutta4,2,0.2,1.00645,0.1,0,0.01,0.890611
RungeKutta4,3,0.3,0.978546,0.1,0,0.01,0.854077
RungeKutta4,4,0.4,0.957480,0.1,0,0.01,0.826496
RungeKutta4,5,0.5,0.941772,0.1,0,0.01,0.805930
RungeKutta4,6,0.6,0.930159,0.1,0,0.01,0.790726
RungeKutta4,7,0.7,0.921564,0.1,0,0.01,0.779473
RungeKutta4,8,0.8,0.915074,0.1,0,0.01,0.770975
RungeKutta4,9,0.9,0.909908,0.1,0,0.01,0.764212
RungeKutta4,10,1.0,0.905211,0.1,0,0.01,0.758062
RungeKutta4,11,1.1,0.900072,0.1,0,0.01,0.751334
RungeKutta4,12,1.2,0.893780,0.1,0,0.01,0.743096
RungeKutta4,13,1.3,0.885838,0.1,0,0.01,0.732698
RungeKutta4,14,1.4,0.875949,0.1,0,0.01,0.719750
RungeKutta4,15,1.5,0.864008,0.1,0,0.01,0.704116
RungeKutta4,16,1.6,0.850072,0.1,0,0.01,0.685871
RungeKutta4,17,1.7,0.834337,0.1,0,0.01,0.665269
RungeKutta4,18,1.8,0.817109,0.1,0,0.01,0.642713
RungeKutta4,19,1.9,0.798765,0.1,0,0.01,0.618696
RungeKutta4,20,2.0,0.779720,0.1,0,0.01,0.593761
RungeKutta4,21,2.1,0.760400,0.1,0,0.01,0.568466
RungeKutta4,22,2.2,0.741211,0.1,0,0.01,0.543343
RungeKutta4,23,2.3,0.722521,0.1,0,0.01,0.518872
RungeKutta4,24,2.4,0.704642,0.1,0,0.01,0.495464
RungeKutta4,25,2.5,0.687821,0.1,0,0.01,0.473441
RungeKutta4,26,2.6,0.672237,0.1,0,0.01,0.453037
RungeKutta4,27,2.7,0.658001,0.1,0,0.01,0.434399
RungeKutta4,28,2.8,0.645158,0.1,0,0.01,0.417584
RungeKutta4,29,2.9,0.633689,0.1,0,0.01,0.402568
RungeKutta4,30,3.0,0.623507,0.1,0,0.01,0.389237
RungeKutta4,31,3.1,0.614443,0.1,0,0.01,0.377370
RungeKutta4,32,3.2,0.606222,0.1,0,0.01,0.366606
RungeKutta4,33,3.3,0.598444,0.1,0,0.01,0.356423
RungeKutta4,34,3.4,0.590604,0.1,0,0.01,0.346158
RungeKutta4,35,3.5,0.582174,0.1,0,0.01,0.335121
RungeKutta4,36,3.6,0.572737,0.1,0,0.01,0.322765
RungeKutta4,37,3.7,0.562112,0.1,0,0.01,0.308854
RungeKutta4,38,3.8,0.550409,0.1,0,0.01,0.293532
RungeKutta4,39,3.9,0.538016,0.1,0,0.01,0.277306
RungeKutta4,40,4.0,0.525523,0.1,0,0.01,0.260950
RungeKutta4,41,4.1,0.513635,0.1,0,0.01,0.245385
RungeKutta4,42,4.2,0.503064,0.1,0,0.01,0.231545
RungeKutta4,43,4.3,0.494232,0.1,0,0.01,0.219981
RungeKutta4,44,4.4,0.487194,0.1,0,0.01,0.210767
RungeKutta4,45,4.5,0.481945,0.1,0,0.01,0.203895
RungeKutta4,46,4.6,0.478440,0.1,0,0.01,0.199306
RungeKutta4,47,4.7,0.476598,0.1,0,0.01,0.196894
RungeKutta4,48,4.8,0.476323,0.1,0,0.01,0.196534
RungeKutta4,49,4.9,0.477667,0.1,0,0.01,0.198294
RungeKutta4,50,5.0,0.480457,0.1,0,0.01,0.201946
RungeKutta4,51,5.1,0.484429,0.1,0,0.01,0.207147
RungeKutta4,52,5.2,0.489323,0.1,0,0.01,0.213554
RungeKutta4,53,5.3,0.494888,0.1,0,0.01,0.220840
RungeKutta4,54,5.4,0.500889,0.1,0,0.01,0.228697
RungeKutta4,55,5.5,0.507107,0.1,0,0.01,0.236838
RungeKutta4,56,5.6,0.513336,0.1,0,0.01,0.244994
RungeKutta4,57,5.7,0.519322,0.1,0,0.01,0.252831
RungeKutta4,58,5.8,0.524412,0.1,0,0.01,0.259495
RungeKutta4,59,5.9,0.525890,0.1,0,0.01,0.261430
RungeKutta4,60,6.0,0.514252,0.1,0,0.01,0.246193
RungeKutta4,61,6.1,0.481719,0.1,0,0.01,0.203599
RungeKutta4,62,6.2,0.443278,0.1,0,0.01,0.153269
RungeKutta4,63,6.3,0.411438,0.1,0,0.01,0.111582
RungeKutta4,64,6.4,0.387758,0.1,0,0.01,0.0805787
RungeKutta4,65,6.5,0.370623,0.1,0,0.01,0.0581445
RungeKutta4,66,6.6,0.358292,0.1,0,0.01,0.0419999
RungeKutta4,67,6.7,0.349414,0.1,0,0.01,0.0303763
RungeKutta4,68,6.8,0.343011,0.1,0,0.01,0.0219930
RungeKutta4,69,6.9,0.338382,0.1,0,0.01,0.0159325
RungeKutta4,70,7.0,0.335029,0.1,0,0.01,0.0115425
RungeKutta4,71,7.1,0.332595,0.1,0,0.01,0.00835573
RungeKutta4,72,7.2,0.330824,0.1,0,0.01,0.00603702
RungeKutta4,73,7.3,0.329533,0.1,0,0.01,0.00434676
RungeKutta4,74,7.4,0.328590,0.1,0,0.01,0.00311212
RungeKutta4,75,7.5,0.327901,0.1,0,0.01,0.00221004
RungeKutta4,76,7.6,0.327396,0.1,0,0.01,0.00154886
RungeKutta4,77,7.7,0.327026,0.1,0,0.01,0.00106443
RungeKutta4,78,7.8,0.326755,0.1,0,0.01,0.000709622
RungeKutta4,79,7.9,0.326556,0.1,0,0.01,0.000449078
RungeKutta4,80,8.0,0.326411,0.1,0,0.01,0.000259235
RungeKutta4,81,8.1,0.326309,0.1,0,0.01,0.000125689
RungeKutta4,82,8.2,0.326242,0.1,0,0.01,0.0000379687
RungeKutta4,83,8.3,0.326213,0.1,0,0.01,0
RungeKutta4,84,8.4,0.326231,0.1,0,0.01,0.0000235668
RungeKutta4,85,8.5,0.326323,0.1,0,0.01,0.000144019
RungeKutta4,86,8.6,0.326561,0.1,0,0.01,0.000455624
RungeKutta4,87,8.7,0.327076,0.1,0,0.01,0.00112990
RungeKutta4,88,8.8,0.328049,0.1,0,0.01,0.00240381
RungeKutta4,89,8.9,0.329637,0.1,0,0.01,0.00448293
RungeKutta4,90,9.0,0.331837,0.1,0,0.01,0.00736331
RungeKutta4,91,9.1,0.334459,0.1,0,0.01,0.0107962
RungeKutta4,92,9.2,0.337243,0.1,0,0.01,0.0144412
RungeKutta4,93,9.3,0.339985,0.1,0,0.01,0.0180312
RungeKutta4,94,9.4,0.342573,0.1,0,0.01,0.0214196
RungeKutta4,95,9.5,0.344970,0.1,0,0.01,0.0245579
RungeKutta4,96,9.6,0.347181,0.1,0,0.01,0.0274527
RungeKutta4,97,9.7,0.349238,0.1,0,0.01,0.0301458
RungeKutta4,98,9.8,0.351186,0.1,0,0.01,0.0326963
RungeKutta4,99,9.9,0.353075,0.1,0,0.01,0.0351695
RungeKutta4,100,10.0,0.354953,0.1,0,0.01,0.0376283
RungeKutta4,101,10.1,0.356878,0.1,0,0.01,0.0401486
RungeKutta4,102,10.2,0.358918,0.1,0,0.01,0.0428195
RungeKutta4,103,10.3,0.361152,0.1,0,0.01,0.0457444
RungeKutta4,104,10.4,0.363678,0.1,0,0.01,0.0490516
RungeKutta4,105,10.5,0.366644,0.1,0,0.01,0.0529349
RungeKutta4,106,10.6,0.370373,0.1,0,0.01,0.0578172
RungeKutta4,107,10.7,0.375662,0.1,0,0.01,0.0647419
RungeKutta4,108,10.8,0.384186,0.1,0,0.01,0.0759021
RungeKutta4,109,10.9,0.398451,0.1,0,0.01,0.0945787
RungeKutta4,110,11.0,0.420456,0.1,0,0.01,0.123389
RungeKutta4,111,11.1,0.449202,0.1,0,0.01,0.161025
RungeKutta4,112,11.2,0.479537,0.1,0,0.01,0.200742
RungeKutta4,113,11.3,0.506640,0.1,0,0.01,0.236227
RungeKutta4,114,11.4,0.530539,0.1,0,0.01,0.267517
RungeKutta4,115,11.5,0.551681,0.1,0,0.01,0.295197
RungeKutta4,116,11.6,0.570416,0.1,0,0.01,0.319727
RungeKutta4,117,11.7,0.587023,0.1,0,0.01,0.341470
RungeKutta4,118,11.8,0.601727,0.1,0,0.01,0.360721
RungeKutta4,119,11.9,0.614713,0.1,0,0.01,0.377723
RungeKutta4,120,12.0,0.631273,0.1,0,0.01,0.399405
RungeKutta4,121,12.1,0.668979,0.1,0,0.01,0.448772
