TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-07 08:22:31,shepherds_purse_observed.csv,0.8027590903836694669457947532,0.123,1.204,4.874,1.787,0.478,6.93,15.53,0.321,6.55,8.814,0.35,0.505,0.006,4.08,9.88,8.87,7.351,15.474,15.009,15.939,4.974,9.06,0.888,0.035,2.11,4.57,3.541,6.9,9.333,35.576,57.155,13.998,1.255,0.274,12.246,120.356,232.356,8.356
2026-05-07 08:22:31,shepherds_purse_observed.csv,3.513572762541812106622214507,0.075,1.706,2.551,0.687,0.053,6.89,5.559,0.341,7.63,23.339,0.455,0.095,0.047,4.14,11.82,10.27,7.703,5.884,3.586,8.183,9.844,12.929,6.759,0.141,11.79,3.51,3.429,6.76,6.473,31.768,49.006,14.53,1.369,0.158,12.016,71.244,135.474,7.015
2026-05-07 08:22:31,shepherds_purse_observed.csv,1.436678569468186783499537037,0.146,2.926,2.773,0.026,0.065,6.32,4.253,0.359,7.06,14.692,0.275,0.278,0.012,2.74,9.77,9.31,8.571,15.601,11.45,19.752,7.998,8.0,7.996,0.118,2.04,3.69,5.172,7.58,12.322,18.943,26.255,11.631,1.294,0.269,12.072,119.557,225.704,13.41
2026-05-07 08:22:32,shepherds_purse_observed.csv,3.301870838204279454999228395,0.01,3.414,4.404,6.693,0.398,7.73,5.622,0.177,6.95,20.881,0.192,0.513,0.035,2.77,10.24,10.09,10.16,9.708,1.094,18.322,7.571,3.132,12.01,0.166,11.84,3.86,3.99,7.3,14.004,36.878,54.691,19.065,1.37,0.275,12.203,122.237,236.299,8.175
2026-05-07 08:22:32,shepherds_purse_observed.csv,0.5237801130242324125682923018,0.119,2.001,1.762,1.669,0.775,6.37,15.246,0.349,6.99,20.337,0.107,0.342,0.023,2.91,11.75,9.13,11.04,16.962,18.740,15.183,5.376,2.226,8.527,0.017,2.05,4.59,6.627,7.17,15.776,6.938,3.699,10.177,1.004,0.094,12.136,81.762,154.756,8.769
2026-05-07 08:22:32,shepherds_purse_observed.csv,0.3827547754768819620847859589,0.29,0.331,5.339,6.928,0.833,7.43,6.992,0.192,7.09,22.149,0.245,0.728,0.011,3.39,11.34,9.51,9.022,10.692,14.39,6.995,9.946,10.582,9.31,0.019,11.97,3.58,3.308,7.02,23.232,35.929,57.704,14.154,1.249,0.263,12.285,98.264,186.211,10.316
2026-05-07 08:22:33,shepherds_purse_observed.csv,1.797527363055140252751893156,0.438,3.003,0.936,3.082,0.617,7.21,15.697,0.053,6.7,12.463,0.059,0.675,0.046,3.16,11.72,10.77,2.992,10.430,2.629,18.232,11.860,10.809,12.91,0.104,1.24,3.86,2.606,7.07,22.033,4.926,1.002,8.85,1.213,0.114,12.214,90.650,173.199,8.101
2026-05-07 08:22:33,shepherds_purse_observed.csv,1.054326538275984212345679013,0.295,3.926,1.788,6.714,0.676,7.46,8.291,0.065,6.98,7.98,0.421,0.487,0.007,4.41,9.54,11.41,4.97,7.884,10.084,5.684,5.616,7.723,3.51,0.08,1.92,4.57,1.199,7.48,18.769,36.163,53.407,18.919,1.6,0.111,12.275,105.725,196.305,15.145
2026-05-07 08:22:33,shepherds_purse_observed.csv,16.79415477648483269340694927,0.299,0.492,0.411,0.103,0.459,6.74,10.409,0.065,7.06,20.053,0.326,0.739,0.045,3.72,9.93,8.46,3.87,6.443,10.252,2.634,7.946,9.142,6.75,0.114,1.82,3.55,7.066,6.73,13.388,27.820,50.781,4.86,0.855,0.083,12.282,78.956,151.507,6.404
2026-05-07 08:22:33,shepherds_purse_observed.csv,2.062136664029788667633237407,0.348,3.715,0.558,6.593,0.159,6.38,4.77,0.256,7.64,12.006,0.403,0.088,0.003,2.77,10.5,8.35,2.342,7.300,10.278,4.323,5.606,3.943,7.269,0.143,11.67,4.0,1.849,7.31,21.648,6.880,1.336,12.423,1.093,0.288,12.225,108.714,213.002,4.427
