month,observed,simulated_raw,synthesised
1,36,0.3562135,38.882762729611485
2,50,0.33207620000000004,36.24803690132747
3,63,0.5810481000000001,63.42475904700852
4,51,0.6132663,66.94156182448654
5,45,0.3517961,38.40057798343599
6,39,0.20639820000000003,22.52955667996552
7,12,0.10907117,11.905748725837505
8,3,0.0187927757,2.05134010522877
9,2,2.7949510999999997e-05,0.0030508506966234186
10,4,0.0131487699281,1.4352642482684204
11,17,0.058474349999999994,6.382813331943503
12,20,0.1791557,19.555880321092424
