TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-07 08:25:38,woodpigeon_observed.csv,0.4346193288998275421787576806,1.293,1.667,3.199,7.3,0.163,7.36,15.847,0.342,7.44,13.049,0.499,0.288,0.049,1.6,11.33,11.38,8.001,12.780,9.779,15.781,4.783,1.667,7.899,0.194,10.12,7.51,7.956,7.33,9.174,24.975,37.694,12.256,1.366,0.131,12.063,111.370,215.289,7.45
2026-05-07 08:25:38,woodpigeon_observed.csv,0.2689399382242403059046626088,0.825,3.833,0.339,1.117,0.351,6.69,7.884,0.141,6.65,7.053,0.776,0.277,0.046,1.22,11.69,11.27,6.488,6.338,6.045,6.63,4.489,2.351,6.627,0.094,10.41,7.41,1.107,7.07,22.776,48.158,76.362,19.953,1.469,0.084,12.118,81.213,153.249,9.177
2026-05-07 08:25:38,woodpigeon_observed.csv,0.6498546030970977991543378036,1.263,0.545,5.284,1.823,0.893,7.47,15.813,0.317,6.52,19.456,0.849,0.718,0.02,11.5,1.17,11.41,6.139,19.343,18.686,20.000,9.468,8.128,10.807,0.115,11.3,8.99,7.134,6.77,9.086,10.212,7.187,13.237,1.23,0.285,12.225,109.448,207.95,10.947
2026-05-07 08:25:39,woodpigeon_observed.csv,0.7983944931052359286792946308,0.825,3.382,0.15,6.277,0.343,6.26,9.647,0.015,7.13,15.919,0.627,0.138,0.011,1.32,1.18,11.26,8.833,11.199,18.416,3.982,9.456,7.256,11.657,0.01,9.91,8.03,2.977,7.56,18.976,41.806,66.269,17.342,1.409,0.064,12.129,55.197,100.156,10.238
2026-05-07 08:25:39,woodpigeon_observed.csv,0.8575539210201547649300105836,1.261,2.228,5.975,5.867,0.816,7.14,5.044,0.388,6.75,12.4,0.849,0.473,0.049,2.17,11.75,11.32,4.321,10.324,9.938,10.71,9.143,9.68,8.606,0.083,11.4,8.24,6.148,6.98,22.805,46.206,73.208,19.204,1.198,0.038,12.182,97.304,181.382,13.225
2026-05-07 08:25:39,woodpigeon_observed.csv,0.4060182883658857915163464150,1.204,1.098,4.626,3.914,0.737,7.36,14.224,0.277,7.04,10.393,0.767,0.05,0.049,1.9,10.76,11.45,9.824,5.166,5.708,4.625,11.573,13.473,9.673,0.142,9.44,8.32,4.459,6.79,21.68,33.811,51.824,15.798,1.245,0.306,12.132,98.859,191.839,5.879
2026-05-07 08:25:40,woodpigeon_observed.csv,0.4981506934457309135764337960,1.046,3.618,5.897,2.506,0.776,6.54,7.931,0.174,7.58,25.252,0.778,0.125,0.05,1.04,10.79,11.49,3.348,7.473,8.106,6.84,10.090,10.201,9.978,0.067,10.96,7.39,5.058,6.92,19.222,33.936,65.222,2.649,1.042,0.345,12.038,104.317,199.858,8.776
2026-05-07 08:25:40,woodpigeon_observed.csv,0.7815281895591367957720333523,0.907,1.906,3.086,2.497,0.65,6.98,8.154,0.363,6.53,6.357,0.588,0.522,0.003,1.24,1.21,11.48,11.173,8.397,16.241,0.553,9.196,10.17,8.222,0.249,9.39,8.03,4.7,7.52,14.506,16.560,27.981,5.139,1.567,0.315,12.066,65.434,117.142,13.726
2026-05-07 08:25:40,woodpigeon_observed.csv,0.4111475943099734504574799592,1.136,3.421,4.13,7.184,0.645,6.73,12.568,0.33,7.39,15.835,0.896,0.023,0.033,1.37,11.27,11.27,10.107,14.610,13.401,15.819,2.281,0.794,3.768,0.155,10.96,7.2,1.263,6.64,22.04,17.736,30.517,4.956,1.254,0.236,12.163,88.840,162.889,14.79
2026-05-07 08:25:41,woodpigeon_observed.csv,1.985959993469130608086485278,0.917,2.195,4.062,5.608,0.08,6.4,8.217,0.425,7.48,18.605,0.899,0.361,0.029,2.32,10.55,11.47,3.855,15.728,12.282,19.174,7.286,2.633,11.938,0.063,9.17,8.77,1.039,7.2,13.467,37.670,69.11,6.23,0.918,0.308,12.075,76.166,145.385,6.947
2026-05-07 08:25:41,woodpigeon_observed.csv,0.4643454679387131339341184435,0.843,1.734,1.367,4.078,0.127,7.16,10.36,0.135,7.07,22.45,0.545,0.047,0.05,11.79,10.53,11.3,6.845,7.382,2.209,12.555,2.758,1.907,3.609,0.236,8.9,9.5,4.133,6.84,22.43,35.486,53.429,17.544,1.52,0.066,12.042,86.563,167.438,5.688
2026-05-07 08:25:41,woodpigeon_observed.csv,2.160863199577694864666207385,1.272,1.13,0.285,5.161,0.929,6.65,7.104,0.388,6.6,16.01,0.693,0.093,0.037,2.23,11.0,11.46,8.3,12.045,14.346,9.744,5.491,5.959,5.023,0.009,9.7,7.95,2.849,7.49,22.625,18.918,36.424,1.411,1.687,0.146,12.059,111.794,216.99,6.599
