method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,1.1,0.1,0,0.01,0.813763
RungeKutta4,1,0.1,1.11113,0.1,0,0.01,0.830213
RungeKutta4,2,0.2,1.12352,0.1,0,0.01,0.848524
RungeKutta4,3,0.3,1.13678,0.1,0,0.01,0.868122
RungeKutta4,4,0.4,1.15050,0.1,0,0.01,0.888400
RungeKutta4,5,0.5,1.16423,0.1,0,0.01,0.908692
RungeKutta4,6,0.6,1.17753,0.1,0,0.01,0.928349
RungeKutta4,7,0.7,1.18997,0.1,0,0.01,0.946735
RungeKutta4,8,0.8,1.20113,0.1,0,0.01,0.963229
RungeKutta4,9,0.9,1.21063,0.1,0,0.01,0.977269
RungeKutta4,10,1.0,1.21813,0.1,0,0.01,0.988354
RungeKutta4,11,1.1,1.22331,0.1,0,0.01,0.996010
RungeKutta4,12,1.2,1.22593,0.1,0,0.01,0.999882
RungeKutta4,13,1.3,1.22601,0.1,0,0.01,1
RungeKutta4,14,1.4,1.22452,0.1,0,0.01,0.997798
RungeKutta4,15,1.5,1.22150,0.1,0,0.01,0.993334
RungeKutta4,16,1.6,1.21693,0.1,0,0.01,0.986580
RungeKutta4,17,1.7,1.21088,0.1,0,0.01,0.977639
RungeKutta4,18,1.8,1.20346,0.1,0,0.01,0.966672
RungeKutta4,19,1.9,1.19483,0.1,0,0.01,0.953917
RungeKutta4,20,2.0,1.18520,0.1,0,0.01,0.939685
RungeKutta4,21,2.1,1.17479,0.1,0,0.01,0.924299
RungeKutta4,22,2.2,1.16383,0.1,0,0.01,0.908101
RungeKutta4,23,2.3,1.15255,0.1,0,0.01,0.891429
RungeKutta4,24,2.4,1.14117,0.1,0,0.01,0.874610
RungeKutta4,25,2.5,1.12988,0.1,0,0.01,0.857924
RungeKutta4,26,2.6,1.11886,0.1,0,0.01,0.841637
RungeKutta4,27,2.7,1.10824,0.1,0,0.01,0.825941
RungeKutta4,28,2.8,1.09813,0.1,0,0.01,0.810999
RungeKutta4,29,2.9,1.08861,0.1,0,0.01,0.796929
RungeKutta4,30,3.0,1.07973,0.1,0,0.01,0.783805
RungeKutta4,31,3.1,1.07151,0.1,0,0.01,0.771656
RungeKutta4,32,3.2,1.06396,0.1,0,0.01,0.760498
RungeKutta4,33,3.3,1.05706,0.1,0,0.01,0.750300
RungeKutta4,34,3.4,1.05080,0.1,0,0.01,0.741048
RungeKutta4,35,3.5,1.04513,0.1,0,0.01,0.732668
RungeKutta4,36,3.6,1.04002,0.1,0,0.01,0.725115
RungeKutta4,37,3.7,1.03543,0.1,0,0.01,0.718332
RungeKutta4,38,3.8,1.03131,0.1,0,0.01,0.712242
RungeKutta4,39,3.9,1.02762,0.1,0,0.01,0.706789
RungeKutta4,40,4.0,1.02432,0.1,0,0.01,0.701911
RungeKutta4,41,4.1,1.02138,0.1,0,0.01,0.697566
RungeKutta4,42,4.2,1.01875,0.1,0,0.01,0.693679
RungeKutta4,43,4.3,1.01640,0.1,0,0.01,0.690206
RungeKutta4,44,4.4,1.01431,0.1,0,0.01,0.687117
RungeKutta4,45,4.5,1.01244,0.1,0,0.01,0.684353
RungeKutta4,46,4.6,1.01077,0.1,0,0.01,0.681885
RungeKutta4,47,4.7,1.00928,0.1,0,0.01,0.679683
RungeKutta4,48,4.8,1.00795,0.1,0,0.01,0.677717
RungeKutta4,49,4.9,1.00677,0.1,0,0.01,0.675973
RungeKutta4,50,5.0,1.00572,0.1,0,0.01,0.674421
RungeKutta4,51,5.1,1.00478,0.1,0,0.01,0.673032
RungeKutta4,52,5.2,1.00394,0.1,0,0.01,0.671791
RungeKutta4,53,5.3,1.00319,0.1,0,0.01,0.670682
RungeKutta4,54,5.4,1.00252,0.1,0,0.01,0.669692
RungeKutta4,55,5.5,1.00192,0.1,0,0.01,0.668805
RungeKutta4,56,5.6,1.00138,0.1,0,0.01,0.668007
RungeKutta4,57,5.7,1.00089,0.1,0,0.01,0.667283
RungeKutta4,58,5.8,1.00041,0.1,0,0.01,0.666574
RungeKutta4,59,5.9,0.999724,0.1,0,0.01,0.665560
RungeKutta4,60,6.0,0.997495,0.1,0,0.01,0.662265
RungeKutta4,61,6.1,0.987000,0.1,0,0.01,0.646754
RungeKutta4,62,6.2,0.956954,0.1,0,0.01,0.602348
RungeKutta4,63,6.3,0.915019,0.1,0,0.01,0.540370
RungeKutta4,64,6.4,0.875189,0.1,0,0.01,0.481503
RungeKutta4,65,6.5,0.842156,0.1,0,0.01,0.432681
RungeKutta4,66,6.6,0.816042,0.1,0,0.01,0.394086
RungeKutta4,67,6.7,0.795779,0.1,0,0.01,0.364138
RungeKutta4,68,6.8,0.780175,0.1,0,0.01,0.341076
RungeKutta4,69,6.9,0.768198,0.1,0,0.01,0.323375
RungeKutta4,70,7.0,0.759017,0.1,0,0.01,0.309806
RungeKutta4,71,7.1,0.751982,0.1,0,0.01,0.299408
RungeKutta4,72,7.2,0.746589,0.1,0,0.01,0.291438
RungeKutta4,73,7.3,0.742443,0.1,0,0.01,0.285310
RungeKutta4,74,7.4,0.739229,0.1,0,0.01,0.280560
RungeKutta4,75,7.5,0.736680,0.1,0,0.01,0.276793
RungeKutta4,76,7.6,0.734544,0.1,0,0.01,0.273636
RungeKutta4,77,7.7,0.732553,0.1,0,0.01,0.270693
RungeKutta4,78,7.8,0.730380,0.1,0,0.01,0.267482
RungeKutta4,79,7.9,0.727598,0.1,0,0.01,0.263370
RungeKutta4,80,8.0,0.723638,0.1,0,0.01,0.257517
RungeKutta4,81,8.1,0.717753,0.1,0,0.01,0.248819
RungeKutta4,82,8.2,0.709046,0.1,0,0.01,0.235951
RungeKutta4,83,8.3,0.696597,0.1,0,0.01,0.217552
RungeKutta4,84,8.4,0.679757,0.1,0,0.01,0.192663
RungeKutta4,85,8.5,0.658562,0.1,0,0.01,0.161338
RungeKutta4,86,8.6,0.634121,0.1,0,0.01,0.125215
