method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,0.0000589487,0.1,0,0.01
RungeKutta4,2,0.2,0.000144716,0.1,0,0.01
RungeKutta4,3,0.3,0.000295790,0.1,0,0.01
RungeKutta4,4,0.4,0.000579205,0.1,0,0.01
RungeKutta4,5,0.5,0.00111923,0.1,0,0.01
RungeKutta4,6,0.6,0.00214927,0.1,0,0.01
RungeKutta4,7,0.7,0.00410574,0.1,0,0.01
RungeKutta4,8,0.8,0.00779236,0.1,0,0.01
RungeKutta4,9,0.9,0.0146487,0.1,0,0.01
RungeKutta4,10,1.0,0.0271306,0.1,0,0.01
RungeKutta4,11,1.1,0.0490876,0.1,0,0.01
RungeKutta4,12,1.2,0.0857438,0.1,0,0.01
RungeKutta4,13,1.3,0.142619,0.1,0,0.01
RungeKutta4,14,1.4,0.223180,0.1,0,0.01
RungeKutta4,15,1.5,0.326528,0.1,0,0.01
RungeKutta4,16,1.6,0.447175,0.1,0,0.01
RungeKutta4,17,1.7,0.577168,0.1,0,0.01
RungeKutta4,18,1.8,0.708727,0.1,0,0.01
RungeKutta4,19,1.9,0.835870,0.1,0,0.01
RungeKutta4,20,2.0,0.954792,0.1,0,0.01
RungeKutta4,21,2.1,1.06355,0.1,0,0.01
RungeKutta4,22,2.2,1.16150,0.1,0,0.01
RungeKutta4,23,2.3,1.24882,0.1,0,0.01
RungeKutta4,24,2.4,1.32610,0.1,0,0.01
RungeKutta4,25,2.5,1.39414,0.1,0,0.01
RungeKutta4,26,2.6,1.45376,0.1,0,0.01
RungeKutta4,27,2.7,1.50573,0.1,0,0.01
RungeKutta4,28,2.8,1.55071,0.1,0,0.01
RungeKutta4,29,2.9,1.58923,0.1,0,0.01
RungeKutta4,30,3.0,1.62164,0.1,0,0.01
RungeKutta4,31,3.1,1.64803,0.1,0,0.01
RungeKutta4,32,3.2,1.66817,0.1,0,0.01
RungeKutta4,33,3.3,1.68130,0.1,0,0.01
RungeKutta4,34,3.4,1.68588,0.1,0,0.01
RungeKutta4,35,3.5,1.67918,0.1,0,0.01
RungeKutta4,36,3.6,1.65689,0.1,0,0.01
RungeKutta4,37,3.7,1.61289,0.1,0,0.01
RungeKutta4,38,3.8,1.54003,0.1,0,0.01
RungeKutta4,39,3.9,1.43287,0.1,0,0.01
RungeKutta4,40,4.0,1.29257,0.1,0,0.01
RungeKutta4,41,4.1,1.13091,0.1,0,0.01
RungeKutta4,42,4.2,0.967886,0.1,0,0.01
RungeKutta4,43,4.3,0.822767,0.1,0,0.01
RungeKutta4,44,4.4,0.706108,0.1,0,0.01
RungeKutta4,45,4.5,0.618812,0.1,0,0.01
RungeKutta4,46,4.6,0.556060,0.1,0,0.01
RungeKutta4,47,4.7,0.511416,0.1,0,0.01
RungeKutta4,48,4.8,0.479114,0.1,0,0.01
RungeKutta4,49,4.9,0.454779,0.1,0,0.01
RungeKutta4,50,5.0,0.435378,0.1,0,0.01
