month,observed,simulated_raw,synthesised
1,0,1.00571663e-09,5.924867101379329e-08
2,0,2.28105963e-06,0.00013438154202612224
3,0,0.00396285139,0.2334590791072665
4,18,0.41563125999999995,24.485624531025582
5,72,1.0749973000000002,63.33012646754788
6,31,0.7177608,42.28464781953251
7,20,0.108422614,6.387381490690373
8,1,0.000227938332,0.013428278742990251
9,1,1.079221712e-07,6.357899457745943e-06
10,0,3.35046543e-11,1.9738226264107562e-09
11,0,4.11946077e-15,2.4268523422542745e-13
12,0,3.1272401e-18,1.842316357700499e-16
