method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,3.14057E-10,0.1,0,0.01
RungeKutta4,2,0.2,9.17564E-10,0.1,0,0.01
RungeKutta4,3,0.3,2.28555E-9,0.1,0,0.01
RungeKutta4,4,0.4,5.51365E-9,0.1,0,0.01
RungeKutta4,5,0.5,1.31851E-8,0.1,0,0.01
RungeKutta4,6,0.6,3.14096E-8,0.1,0,0.01
RungeKutta4,7,0.7,7.46246E-8,0.1,0,0.01
RungeKutta4,8,0.8,1.76877E-7,0.1,0,0.01
RungeKutta4,9,0.9,4.18309E-7,0.1,0,0.01
RungeKutta4,10,1.0,9.87196E-7,0.1,0,0.01
RungeKutta4,11,1.1,0.00000232497,0.1,0,0.01
RungeKutta4,12,1.2,0.00000546482,0.1,0,0.01
RungeKutta4,13,1.3,0.0000128204,0.1,0,0.01
RungeKutta4,14,1.4,0.0000300201,0.1,0,0.01
RungeKutta4,15,1.5,0.0000701634,0.1,0,0.01
RungeKutta4,16,1.6,0.000163672,0.1,0,0.01
RungeKutta4,17,1.7,0.000380999,0.1,0,0.01
RungeKutta4,18,1.8,0.000884619,0.1,0,0.01
RungeKutta4,19,1.9,0.00204640,0.1,0,0.01
RungeKutta4,20,2.0,0.00470465,0.1,0,0.01
RungeKutta4,21,2.1,0.0106901,0.1,0,0.01
RungeKutta4,22,2.2,0.0237393,0.1,0,0.01
RungeKutta4,23,2.3,0.0504816,0.1,0,0.01
RungeKutta4,24,2.4,0.0997859,0.1,0,0.01
RungeKutta4,25,2.5,0.178010,0.1,0,0.01
RungeKutta4,26,2.6,0.282793,0.1,0,0.01
RungeKutta4,27,2.7,0.403445,0.1,0,0.01
RungeKutta4,28,2.8,0.527557,0.1,0,0.01
RungeKutta4,29,2.9,0.646009,0.1,0,0.01
RungeKutta4,30,3.0,0.753842,0.1,0,0.01
RungeKutta4,31,3.1,0.849104,0.1,0,0.01
RungeKutta4,32,3.2,0.931520,0.1,0,0.01
RungeKutta4,33,3.3,1.00151,0.1,0,0.01
RungeKutta4,34,3.4,1.05956,0.1,0,0.01
RungeKutta4,35,3.5,1.10579,0.1,0,0.01
RungeKutta4,36,3.6,1.13958,0.1,0,0.01
RungeKutta4,37,3.7,1.15912,0.1,0,0.01
RungeKutta4,38,3.8,1.16094,0.1,0,0.01
RungeKutta4,39,3.9,1.13955,0.1,0,0.01
RungeKutta4,40,4.0,1.08776,0.1,0,0.01
RungeKutta4,41,4.1,0.998482,0.1,0,0.01
RungeKutta4,42,4.2,0.868452,0.1,0,0.01
RungeKutta4,43,4.3,0.702408,0.1,0,0.01
RungeKutta4,44,4.4,0.515950,0.1,0,0.01
RungeKutta4,45,4.5,0.336143,0.1,0,0.01
RungeKutta4,46,4.6,0.192873,0.1,0,0.01
RungeKutta4,47,4.7,0.0994763,0.1,0,0.01
RungeKutta4,48,4.8,0.0477053,0.1,0,0.01
RungeKutta4,49,4.9,0.0218901,0.1,0,0.01
RungeKutta4,50,5.0,0.0097885,0.1,0,0.01
RungeKutta4,51,5.1,0.00431033,0.1,0,0.01
RungeKutta4,52,5.2,0.00188000,0.1,0,0.01
RungeKutta4,53,5.3,0.00081481,0.1,0,0.01
RungeKutta4,54,5.4,0.000351555,0.1,0,0.01
RungeKutta4,55,5.5,0.000151152,0.1,0,0.01
RungeKutta4,56,5.6,0.000064801,0.1,0,0.01
RungeKutta4,57,5.7,0.0000277102,0.1,0,0.01
RungeKutta4,58,5.8,0.0000118216,0.1,0,0.01
RungeKutta4,59,5.9,0.0000050319,0.1,0,0.01
RungeKutta4,60,6.0,0.0000021371,0.1,0,0.01
RungeKutta4,61,6.1,9.0564E-7,0.1,0,0.01
RungeKutta4,62,6.2,3.82925E-7,0.1,0,0.01
RungeKutta4,63,6.3,1.61537E-7,0.1,0,0.01
RungeKutta4,64,6.4,6.79838E-8,0.1,0,0.01
RungeKutta4,65,6.5,2.85415E-8,0.1,0,0.01
RungeKutta4,66,6.6,1.19522E-8,0.1,0,0.01
RungeKutta4,67,6.7,4.99193E-9,0.1,0,0.01
RungeKutta4,68,6.8,2.07913E-9,0.1,0,0.01
RungeKutta4,69,6.9,8.6342E-10,0.1,0,0.01
RungeKutta4,70,7.0,3.57453E-10,0.1,0,0.01
RungeKutta4,71,7.1,1.47503E-10,0.1,0,0.01
RungeKutta4,72,7.2,6.06562E-11,0.1,0,0.01
RungeKutta4,73,7.3,2.48509E-11,0.1,0,0.01
RungeKutta4,74,7.4,1.01413E-11,0.1,0,0.01
RungeKutta4,75,7.5,4.12097E-12,0.1,0,0.01
RungeKutta4,76,7.6,1.66695E-12,0.1,0,0.01
RungeKutta4,77,7.7,6.70963E-13,0.1,0,0.01
RungeKutta4,78,7.8,2.68623E-13,0.1,0,0.01
RungeKutta4,79,7.9,1.06918E-13,0.1,0,0.01
RungeKutta4,80,8.0,4.22838E-14,0.1,0,0.01
RungeKutta4,81,8.1,1.66050E-14,0.1,0,0.01
RungeKutta4,82,8.2,6.4702E-15,0.1,0,0.01
RungeKutta4,83,8.3,2.49943E-15,0.1,0,0.01
RungeKutta4,84,8.4,9.5624E-16,0.1,0,0.01
RungeKutta4,85,8.5,3.61903E-16,0.1,0,0.01
RungeKutta4,86,8.6,1.35310E-16,0.1,0,0.01
RungeKutta4,87,8.7,4.99012E-17,0.1,0,0.01
RungeKutta4,88,8.8,1.81210E-17,0.1,0,0.01
RungeKutta4,89,8.9,6.4682E-18,0.1,0,0.01
RungeKutta4,90,9.0,2.26592E-18,0.1,0,0.01
RungeKutta4,91,9.1,7.7858E-19,0.1,0,0.01
RungeKutta4,92,9.2,2.62937E-19,0.1,0,0.01
RungeKutta4,93,9.3,8.7994E-20,0.1,0,0.01
RungeKutta4,94,9.4,2.97923E-20,0.1,0,0.01
RungeKutta4,95,9.5,1.06286E-20,0.1,0,0.01
RungeKutta4,96,9.6,4.22472E-21,0.1,0,0.01
RungeKutta4,97,9.7,1.94194E-21,0.1,0,0.01
RungeKutta4,98,9.8,1.01491E-21,0.1,0,0.01
RungeKutta4,99,9.9,5.71485E-22,0.1,0,0.01
RungeKutta4,100,10.0,3.30178E-22,0.1,0,0.01
RungeKutta4,101,10.1,1.90272E-22,0.1,0,0.01
RungeKutta4,102,10.2,1.08019E-22,0.1,0,0.01
RungeKutta4,103,10.3,6.01707E-23,0.1,0,0.01
RungeKutta4,104,10.4,3.28814E-23,0.1,0,0.01
