month,observed,simulated_raw,synthesised
1,0,7.234361209999999e-08,4.070840037373047e-06
2,0,0.0003597470886,0.02024329182757615
3,5,0.22272155500000004,12.532741965202254
4,56,1.0300516,57.96192880228284
5,35,0.48711397000000006,27.410340654523857
6,1,0.00174057117,0.09794350324861993
7,0,3.70361398e-07,2.0840568552089953e-05
8,0,6.074388240000001e-11,3.4181128273991736e-09
9,0,6.93863734e-15,3.904433559308497e-13
10,0,3.443604955e-19,1.937747441243705e-17
11,0,7.571087099999999e-23,4.2603187204027645e-21
12,0,1.26195355e-25,7.101125984066049e-24
