method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,2.6368E-11,0.1,0,0.01
RungeKutta4,2,0.2,5.23677E-11,0.1,0,0.01
RungeKutta4,3,0.3,8.18197E-11,0.1,0,0.01
RungeKutta4,4,0.4,1.14883E-10,0.1,0,0.01
RungeKutta4,5,0.5,1.46499E-10,0.1,0,0.01
RungeKutta4,6,0.6,1.64173E-10,0.1,0,0.01
RungeKutta4,7,0.7,1.48968E-10,0.1,0,0.01
RungeKutta4,8,0.8,9.37825E-11,0.1,0,0.01
RungeKutta4,9,0.9,7.92868E-11,0.1,0,0.01
RungeKutta4,10,1.0,5.21512E-10,0.1,0,0.01
RungeKutta4,11,1.1,2.88491E-9,0.1,0,0.01
RungeKutta4,12,1.2,1.15947E-8,0.1,0,0.01
RungeKutta4,13,1.3,3.89244E-8,0.1,0,0.01
RungeKutta4,14,1.4,1.17096E-7,0.1,0,0.01
RungeKutta4,15,1.5,3.27436E-7,0.1,0,0.01
RungeKutta4,16,1.6,8.69156E-7,0.1,0,0.01
RungeKutta4,17,1.7,0.00000221904,0.1,0,0.01
RungeKutta4,18,1.8,0.00000549681,0.1,0,0.01
RungeKutta4,19,1.9,0.0000132898,0.1,0,0.01
RungeKutta4,20,2.0,0.0000314976,0.1,0,0.01
RungeKutta4,21,2.1,0.0000734014,0.1,0,0.01
RungeKutta4,22,2.2,0.000168547,0.1,0,0.01
RungeKutta4,23,2.3,0.000381810,0.1,0,0.01
RungeKutta4,24,2.4,0.000853282,0.1,0,0.01
RungeKutta4,25,2.5,0.00187838,0.1,0,0.01
RungeKutta4,26,2.6,0.00405591,0.1,0,0.01
RungeKutta4,27,2.7,0.00852014,0.1,0,0.01
RungeKutta4,28,2.8,0.0171811,0.1,0,0.01
RungeKutta4,29,2.9,0.0326719,0.1,0,0.01
RungeKutta4,30,3.0,0.0575761,0.1,0,0.01
RungeKutta4,31,3.1,0.0930869,0.1,0,0.01
RungeKutta4,32,3.2,0.138248,0.1,0,0.01
RungeKutta4,33,3.3,0.190514,0.1,0,0.01
RungeKutta4,34,3.4,0.246958,0.1,0,0.01
RungeKutta4,35,3.5,0.305133,0.1,0,0.01
RungeKutta4,36,3.6,0.363371,0.1,0,0.01
RungeKutta4,37,3.7,0.420694,0.1,0,0.01
RungeKutta4,38,3.8,0.476627,0.1,0,0.01
RungeKutta4,39,3.9,0.531001,0.1,0,0.01
RungeKutta4,40,4.0,0.583822,0.1,0,0.01
RungeKutta4,41,4.1,0.635171,0.1,0,0.01
RungeKutta4,42,4.2,0.685163,0.1,0,0.01
RungeKutta4,43,4.3,0.733905,0.1,0,0.01
RungeKutta4,44,4.4,0.781490,0.1,0,0.01
RungeKutta4,45,4.5,0.827991,0.1,0,0.01
RungeKutta4,46,4.6,0.873454,0.1,0,0.01
RungeKutta4,47,4.7,0.917910,0.1,0,0.01
RungeKutta4,48,4.8,0.961370,0.1,0,0.01
RungeKutta4,49,4.9,1.00382,0.1,0,0.01
RungeKutta4,50,5.0,1.04524,0.1,0,0.01
RungeKutta4,51,5.1,1.08559,0.1,0,0.01
RungeKutta4,52,5.2,1.12483,0.1,0,0.01
RungeKutta4,53,5.3,1.16291,0.1,0,0.01
RungeKutta4,54,5.4,1.19977,0.1,0,0.01
RungeKutta4,55,5.5,1.23535,0.1,0,0.01
RungeKutta4,56,5.6,1.26959,0.1,0,0.01
RungeKutta4,57,5.7,1.30243,0.1,0,0.01
