month,observed,simulated_raw,synthesised
1,4,0.214220625,4.643953908133877
2,30,1.3254674,28.73397233498898
3,12,0.66101639,14.329757686408799
4,0,0.00237396829,0.05146376226906908
5,0,8.091606830000001e-07,1.7541284440404034e-05
6,0,2.182124128e-10,4.7304893598638456e-09
7,0,4.24604155e-14,9.204725852247572e-13
8,0,4.27869928e-18,9.275522486728626e-17
9,0,1.01762186e-21,2.2060382905471707e-20
10,0,2.45087974e-24,5.313107711705695e-23
11,0,2.7218838599999997e-27,5.900600462319406e-26
12,0,2.045965e-30,4.4353185682541667e-29
