TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-06 06:40:05,speckled_wood_butterfly_observed.csv,3.795,1.736,4.937,5.688,2.72,4.8,9.42,14.106,6.83,0.2004712749236038627510285205,
2026-05-06 06:40:06,speckled_wood_butterfly_observed.csv,2.669,1.133,5.644,3.464,8.433,4.7,9.63,4.068,9.26,0.1220896362579536906297220602,
2026-05-06 06:40:06,speckled_wood_butterfly_observed.csv,3.077,1.213,2.618,1.412,2.251,3.02,10.14,3.346,8.28,0.08555626585820718170545740742,
2026-05-06 06:40:06,speckled_wood_butterfly_observed.csv,4.919,1.527,7.874,0.613,7.459,3.68,10.43,7.93,9.46,0.1569895376074973210300688168,
2026-05-06 06:40:06,speckled_wood_butterfly_observed.csv,1.361,0.809,1.019,5.916,8.174,3.47,9.89,2.829,9.41,0.1465008921672435478235009258,
2026-05-06 06:40:07,speckled_wood_butterfly_observed.csv,4.866,2.91,2.517,3.739,7.683,3.25,10.2,3.576,8.86,0.095503843046767757461990963,
2026-05-06 06:40:07,speckled_wood_butterfly_observed.csv,4.148,2.93,3.023,5.135,9.817,3.86,10.07,11.124,9.0,0.1246137833010539807767830830,
2026-05-06 06:40:07,speckled_wood_butterfly_observed.csv,2.619,1.224,4.353,6.73,3.858,3.16,9.48,4.891,7.73,0.1261367642214570182360104798,
2026-05-06 06:40:07,speckled_wood_butterfly_observed.csv,2.94,2.1,3.925,5.719,9.312,4.26,9.5,3.846,8.11,0.09741945644316265865217099471,
2026-05-06 06:40:08,speckled_wood_butterfly_observed.csv,1.057,2.377,7.138,6.628,3.444,4.38,10.43,3.269,8.5,0.08334775618743258287186006375,
2026-05-06 06:40:08,speckled_wood_butterfly_observed.csv,1.334,1.712,6.597,3.333,6.242,4.2,10.35,2.075,6.92,0.1297024946251399320981448922,
2026-05-06 06:40:08,speckled_wood_butterfly_observed.csv,2.678,2.884,1.585,6.288,1.789,3.46,10.43,1.715,7.71,0.1325663498590792936548000000,
2026-05-06 06:40:09,speckled_wood_butterfly_observed.csv,3.435,1.58,6.533,3.273,4.59,3.06,9.25,1.911,7.83,0.1330255857778309660240749999,
2026-05-06 06:40:09,speckled_wood_butterfly_observed.csv,1.398,0.838,6.363,6.049,2.693,3.66,9.18,6.851,9.09,0.1036620932093828614414654039,
2026-05-06 06:40:09,speckled_wood_butterfly_observed.csv,1.352,1.573,3.692,5.238,2.352,3.04,10.22,14.103,6.56,0.1851807679782480341887692916,
2026-05-06 06:40:09,speckled_wood_butterfly_observed.csv,1.827,1.678,4.13,2.887,6.732,3.94,10.39,5.971,8.38,0.08424465134193760105663766375,
