month,observed,simulated_raw,synthesised
1,0,1.82663736e-10,6.953836388519047e-10
2,0,4.88790525e-07,1.8607794921638572e-06
3,0,0.015345413720000001,0.05841854473129545
4,5,0.23729374,0.9033549187780642
5,4,0.6049540999999999,2.3030032813758883
6,5,1.0096183,3.843521777664035
7,1,1.35893,5.173318519801975
8,9,1.5577860000000001,5.930344582640931
9,2,1.0894012,4.1472477636482346
10,1,0.105751025,0.40258419206327156
11,0,6.67728357e-05,0.0002541978965410319
12,0,8.628507570000001e-09,3.284791564696676e-08
