month,observed,simulated_raw,synthesised
1,0,2.2607107900000003e-16,1.0076026390036777e-14
2,0,1.1273795922e-11,5.02474999139368e-10
3,0,3.999582183e-07,1.7826205724009878e-05
4,1,0.01006983245,0.4488141426946906
5,33,0.7187273000000001,32.03379783948339
6,54,1.294802,57.7095450668964
7,40,0.6521804,29.067791203246923
8,7,0.3320132,14.797884717666863
9,4,0.15364473,6.847971713224207
10,0,0.0011174073659999998,0.04980303609838337
11,0,8.306687150000001e-08,3.7023045719695697e-06
12,0,3.5905831279999995e-12,1.6003289988875042e-10
