TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-07 08:10:00,blackbird_observed.csv,0.3502016710622888551483474786,0.758,3.73,0.996,1.612,0.557,7.12,3.688,0.347,6.92,7.101,0.189,0.666,0.005,1.82,11.08,11.36,3.33,11.862,3.978,19.745,8.803,11.371,6.235,0.12,9.75,6.64,1.287,7.43,22.966,21.574,40.459,2.69,0.96,0.236,12.098,85.764,157.044,14.484
2026-05-07 08:10:00,blackbird_observed.csv,0.1957363904233106308104146989,0.752,2.688,4.928,6.724,0.589,7.13,6.185,0.204,6.86,15.285,0.171,0.571,0.014,4.46,11.49,11.16,6.598,6.831,6.358,7.304,6.630,4.673,8.587,0.137,9.36,6.76,7.671,7.18,6.199,43.672,68.85,18.495,1.714,0.152,12.015,47.544,85.65,9.439
2026-05-07 08:10:00,blackbird_observed.csv,0.3554424699793127422973343241,1.169,2.849,0.443,6.364,0.562,7.02,3.949,0.313,7.48,11.619,0.08,0.439,0.035,3.88,10.77,11.35,5.057,13.670,8.831,18.51,5.377,2.595,8.159,0.074,8.74,7.9,0.902,6.79,14.539,38.360,73.038,3.682,1.42,0.067,12.09,106.897,199.192,14.602
2026-05-07 08:10:00,blackbird_observed.csv,1.119960392323735447868578713,1.097,3.979,5.554,2.586,0.375,7.09,10.13,0.377,7.37,13.265,0.052,0.042,0.032,2.29,11.17,10.71,3.954,4.466,6.625,2.307,6.965,7.612,6.318,0.052,8.43,6.56,3.143,7.25,22.776,39.618,66.006,13.231,1.115,0.039,12.218,75.730,144.517,6.944
2026-05-07 08:10:01,blackbird_observed.csv,0.2254785305441057486882930198,0.785,3.408,2.169,5.291,0.119,7.43,3.968,0.218,7.4,11.433,0.463,0.302,0.008,4.42,11.33,10.73,6.894,3.620,1.242,5.998,3.856,0.949,6.764,0.131,9.49,7.26,5.13,7.16,7.547,5.102,1.956,8.248,1.192,0.223,12.078,100.272,195.157,5.388
2026-05-07 08:10:01,blackbird_observed.csv,0.2282108288028292319607546075,1.108,1.581,0.129,4.054,0.493,7.25,3.819,0.418,6.61,16.149,0.308,0.37,0.032,1.68,11.97,10.67,7.011,7.700,5.038,10.361,6.229,2.409,10.049,0.183,9.88,6.34,2.557,6.74,8.595,2.676,0.771,4.582,0.996,0.19,12.241,75.086,140.41,9.761
2026-05-07 08:10:01,blackbird_observed.csv,0.3996877152905842762682873753,0.737,3.152,4.472,5.867,0.534,7.43,3.253,0.188,6.81,24.549,0.071,0.693,0.028,3.9,1.1,10.62,9.706,15.845,14.042,17.648,0.996,0.462,1.529,0.133,9.92,6.67,7.476,6.72,18.602,34.011,51.699,16.323,1.617,0.169,12.076,49.354,84.041,14.667
2026-05-07 08:10:02,blackbird_observed.csv,1.944997007337586550534011965,1.095,3.444,5.461,0.541,0.459,7.37,4.086,0.029,7.03,26.255,0.611,0.741,0.021,2.56,11.68,11.14,7.898,10.646,17.941,3.352,12.154,13.116,11.193,0.031,8.13,6.5,7.321,7.05,16.469,17.806,18.997,16.614,1.065,0.069,12.285,65.212,115.17,15.255
2026-05-07 08:10:02,blackbird_observed.csv,37.18345989693952042689313102,1.036,0.531,1.239,1.31,0.1,7.02,13.556,0.221,6.72,15.909,0.299,0.008,0.031,3.91,10.74,10.7,8.31,13.658,10.139,17.177,7.346,7.227,7.464,0.133,10.04,6.81,7.227,7.56,12.54,23.544,44.263,2.826,0.882,0.19,12.126,110.744,214.442,7.046
2026-05-07 08:10:02,blackbird_observed.csv,0.8354750427727198792370158788,0.851,3.924,2.842,1.436,0.821,7.72,14.456,0.229,6.81,13.181,0.074,0.254,0.011,3.48,10.56,10.51,4.171,7.242,0.687,13.798,7.156,13.075,1.237,0.048,9.42,6.92,6.288,7.16,17.321,30.270,43.158,17.381,1.635,0.063,12.297,102.899,199.147,6.651
2026-05-07 08:10:03,blackbird_observed.csv,0.3287236011634943658897843060,0.942,2.631,5.955,3.694,0.364,7.54,9.35,0.164,6.81,12.159,0.622,0.624,0.001,2.94,11.85,10.68,10.706,4.696,2.735,6.658,4.534,5.137,3.932,0.169,10.33,7.03,6.406,6.97,15.602,44.196,76.906,11.486,1.712,0.245,12.298,72.002,133.501,10.504
2026-05-07 08:10:03,blackbird_observed.csv,0.3115572221984726860142606004,1.185,1.711,3.439,0.242,0.556,7.65,3.021,0.398,7.32,19.839,0.492,0.473,0.027,2.47,11.31,10.33,6.688,6.698,4.346,9.05,11.178,9.882,12.475,0.112,9.45,6.97,6.989,7.17,15.76,32.926,59.549,6.302,1.064,0.186,12.265,94.381,175.518,13.244
2026-05-07 08:10:03,blackbird_observed.csv,0.2672155180700456485509433520,0.786,3.585,2.841,1.826,0.579,6.45,5.877,0.247,6.6,24.004,0.188,0.477,0.018,3.07,1.33,10.69,2.759,14.472,17.008,11.936,10.734,10.254,11.215,0.215,8.95,7.17,2.704,7.44,15.32,18.502,20.664,16.339,1.565,0.16,12.26,120.956,227.037,14.874
2026-05-07 08:10:04,blackbird_observed.csv,0.3824508954766525635053503803,0.773,3.698,5.12,7.595,0.583,7.31,11.311,0.397,7.15,27.274,0.236,0.276,0.016,2.86,1.03,10.75,6.379,12.648,15.054,10.242,7.666,9.761,5.571,0.09,9.49,6.29,2.436,7.3,19.372,16.068,16.429,15.707,1.711,0.187,12.082,56.985,99.504,14.466
2026-05-07 08:10:04,blackbird_observed.csv,0.2371022903092040594915888973,0.795,1.76,1.534,5.154,0.93,7.58,11.433,0.06,7.14,15.207,0.538,0.132,0.046,3.88,1.31,11.03,6.774,16.718,15.834,17.603,10.500,11.694,9.305,0.188,9.1,6.81,1.614,7.09,15.496,45.647,74.765,16.529,1.049,0.044,12.189,69.828,124.135,15.521
2026-05-07 08:10:04,blackbird_observed.csv,1.198734199222192581465291013,1.109,2.92,5.92,7.001,0.774,6.92,14.471,0.229,7.15,23.332,0.491,0.553,0.022,3.82,10.62,11.0,3.777,17.881,16.856,18.906,1.789,2.178,1.4,0.086,8.84,6.33,3.146,6.61,9.383,9.711,1.232,18.19,0.895,0.168,12.013,76.757,149.368,4.146
2026-05-07 08:10:04,blackbird_observed.csv,0.5287910846081471206780188181,1.013,2.972,0.887,3.793,0.458,7.39,4.944,0.347,6.54,22.123,0.117,0.608,0.034,3.7,10.76,11.09,7.255,13.522,9.385,17.659,6.792,5.128,8.457,0.068,9.52,6.08,1.215,7.12,12.239,10.756,8.323,13.189,1.529,0.315,12.057,120.302,231.562,9.041
2026-05-07 08:10:05,blackbird_observed.csv,2.055854456609829731323561838,0.753,2.942,3.874,2.123,0.521,7.45,4.622,0.421,6.81,15.811,0.429,0.686,0.025,3.65,1.08,11.32,5.64,16.821,18.852,14.79,11.292,13.392,9.193,0.076,9.4,6.47,5.253,6.94,16.874,38.002,60.301,15.702,0.906,0.023,12.26,62.496,111.448,13.543
2026-05-07 08:10:05,blackbird_observed.csv,0.6899143945167776999492008067,0.727,2.544,0.588,3.506,0.181,7.04,3.078,0.231,7.57,10.413,0.614,0.15,0.024,3.85,1.02,11.37,9.902,9.897,9.348,10.446,9.704,10.504,8.905,0.09,8.92,7.94,4.056,7.13,16.1,36.329,56.97,15.688,1.214,0.075,12.252,70.682,125.491,15.872
2026-05-07 08:10:05,blackbird_observed.csv,0.2951326018670030541197855636,1.256,3.799,2.841,3.04,0.768,6.32,5.867,0.106,7.64,26.519,0.388,0.721,0.001,3.27,11.25,10.63,5.155,14.874,17.929,11.818,8.686,4.847,12.526,0.125,9.05,7.31,5.694,6.61,15.036,33.190,63.143,3.236,1.558,0.051,12.123,96.680,187.348,6.011
2026-05-07 08:10:06,blackbird_observed.csv,1.316638414440791268936565270,0.928,1.892,5.688,1.52,0.776,7.11,4.901,0.051,6.65,25.9,0.463,0.024,0.001,3.53,11.45,10.41,6.898,8.877,15.184,2.57,2.776,2.475,3.076,0.019,9.71,7.16,7.469,6.72,10.133,36.236,59.241,13.23,1.078,0.133,12.295,108.396,201.39,15.401
2026-05-07 08:10:06,blackbird_observed.csv,1.082017586454571149501467987,1.113,2.415,0.477,7.945,0.312,6.28,13.882,0.314,6.88,20.27,0.321,0.182,0.025,2.84,1.29,10.96,4.165,12.138,14.32,9.956,3.524,1.972,5.076,0.153,9.66,7.38,4.974,6.63,12.453,16.831,16.159,17.503,1.707,0.007,12.096,87.841,168.932,6.75
2026-05-07 08:10:06,blackbird_observed.csv,0.5233849636777599922549418269,1.244,2.61,2.644,2.944,0.378,7.43,12.735,0.081,6.73,17.496,0.413,0.392,0.047,1.77,11.75,11.31,2.379,4.561,4.455,4.667,10.576,13.695,7.456,0.148,10.13,7.89,4.997,7.13,13.001,38.793,62.253,15.333,1.103,0.163,12.267,98.440,181.247,15.634
2026-05-07 08:10:07,blackbird_observed.csv,0.3091982886787967284276520541,1.249,3.674,5.194,7.133,0.896,7.7,13.012,0.423,6.55,27.296,0.582,0.642,0.02,4.2,1.27,10.33,11.46,8.527,9.334,7.72,9.379,10.797,7.961,0.031,10.3,6.32,4.408,7.24,16.618,30.781,47.634,13.928,1.39,0.326,12.105,82.863,157.723,8.003
2026-05-07 08:10:07,blackbird_observed.csv,1.270866124925827226837677730,0.805,1.232,1.039,1.513,0.318,7.39,6.435,0.131,6.85,18.836,0.137,0.056,0.031,3.63,10.78,10.99,9.49,6.472,6.883,6.06,12.500,14.000,10.999,0.06,10.1,7.29,7.631,7.27,19.706,34.724,56.967,12.482,0.836,0.164,12.244,64.088,112.874,15.302
