method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.992,0.1,0,0.01
RungeKutta4,1,0.1,0.894716,0.1,0,0.01
RungeKutta4,2,0.2,0.818707,0.1,0,0.01
RungeKutta4,3,0.3,0.760430,0.1,0,0.01
RungeKutta4,4,0.4,0.717036,0.1,0,0.01
RungeKutta4,5,0.5,0.686225,0.1,0,0.01
RungeKutta4,6,0.6,0.666114,0.1,0,0.01
RungeKutta4,7,0.7,0.655143,0.1,0,0.01
RungeKutta4,8,0.8,0.651999,0.1,0,0.01
RungeKutta4,9,0.9,0.655967,0.1,0,0.01
RungeKutta4,10,1.0,0.666174,0.1,0,0.01
RungeKutta4,11,1.1,0.681417,0.1,0,0.01
RungeKutta4,12,1.2,0.700608,0.1,0,0.01
RungeKutta4,13,1.3,0.722728,0.1,0,0.01
RungeKutta4,14,1.4,0.746811,0.1,0,0.01
RungeKutta4,15,1.5,0.771925,0.1,0,0.01
RungeKutta4,16,1.6,0.797178,0.1,0,0.01
RungeKutta4,17,1.7,0.821712,0.1,0,0.01
RungeKutta4,18,1.8,0.844724,0.1,0,0.01
RungeKutta4,19,1.9,0.865472,0.1,0,0.01
RungeKutta4,20,2.0,0.883289,0.1,0,0.01
RungeKutta4,21,2.1,0.897608,0.1,0,0.01
RungeKutta4,22,2.2,0.907871,0.1,0,0.01
RungeKutta4,23,2.3,0.913615,0.1,0,0.01
RungeKutta4,24,2.4,0.914586,0.1,0,0.01
RungeKutta4,25,2.5,0.911052,0.1,0,0.01
RungeKutta4,26,2.6,0.903126,0.1,0,0.01
RungeKutta4,27,2.7,0.890932,0.1,0,0.01
RungeKutta4,28,2.8,0.874749,0.1,0,0.01
RungeKutta4,29,2.9,0.854985,0.1,0,0.01
RungeKutta4,30,3.0,0.832154,0.1,0,0.01
RungeKutta4,31,3.1,0.806846,0.1,0,0.01
RungeKutta4,32,3.2,0.779694,0.1,0,0.01
RungeKutta4,33,3.3,0.751346,0.1,0,0.01
RungeKutta4,34,3.4,0.722433,0.1,0,0.01
RungeKutta4,35,3.5,0.693549,0.1,0,0.01
RungeKutta4,36,3.6,0.665229,0.1,0,0.01
RungeKutta4,37,3.7,0.637932,0.1,0,0.01
RungeKutta4,38,3.8,0.612038,0.1,0,0.01
RungeKutta4,39,3.9,0.587837,0.1,0,0.01
RungeKutta4,40,4.0,0.565532,0.1,0,0.01
RungeKutta4,41,4.1,0.545243,0.1,0,0.01
RungeKutta4,42,4.2,0.527016,0.1,0,0.01
RungeKutta4,43,4.3,0.510831,0.1,0,0.01
RungeKutta4,44,4.4,0.496616,0.1,0,0.01
RungeKutta4,45,4.5,0.484257,0.1,0,0.01
RungeKutta4,46,4.6,0.473608,0.1,0,0.01
RungeKutta4,47,4.7,0.464504,0.1,0,0.01
RungeKutta4,48,4.8,0.456768,0.1,0,0.01
RungeKutta4,49,4.9,0.450220,0.1,0,0.01
RungeKutta4,50,5.0,0.444679,0.1,0,0.01
RungeKutta4,51,5.1,0.439972,0.1,0,0.01
RungeKutta4,52,5.2,0.435931,0.1,0,0.01
RungeKutta4,53,5.3,0.432399,0.1,0,0.01
RungeKutta4,54,5.4,0.429227,0.1,0,0.01
RungeKutta4,55,5.5,0.426275,0.1,0,0.01
RungeKutta4,56,5.6,0.423412,0.1,0,0.01
RungeKutta4,57,5.7,0.420515,0.1,0,0.01
RungeKutta4,58,5.8,0.417469,0.1,0,0.01
