method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.845,0.1,0,0.01,0.987472
RungeKutta4,1,0.1,0.764363,0.1,0,0.01,0.856567
RungeKutta4,2,0.2,0.703602,0.1,0,0.01,0.757928
RungeKutta4,3,0.3,0.659267,0.1,0,0.01,0.685955
RungeKutta4,4,0.4,0.628595,0.1,0,0.01,0.636162
RungeKutta4,5,0.5,0.609352,0.1,0,0.01,0.604923
RungeKutta4,6,0.6,0.599710,0.1,0,0.01,0.589270
RungeKutta4,7,0.7,0.598184,0.1,0,0.01,0.586793
RungeKutta4,8,0.8,0.603976,0.1,0,0.01,0.596196
RungeKutta4,9,0.9,0.615878,0.1,0,0.01,0.615517
RungeKutta4,10,1.0,0.632601,0.1,0,0.01,0.642665
RungeKutta4,11,1.1,0.652981,0.1,0,0.01,0.675750
RungeKutta4,12,1.2,0.675939,0.1,0,0.01,0.713020
RungeKutta4,13,1.3,0.700456,0.1,0,0.01,0.752821
RungeKutta4,14,1.4,0.725562,0.1,0,0.01,0.793578
RungeKutta4,15,1.5,0.750338,0.1,0,0.01,0.833799
RungeKutta4,16,1.6,0.773914,0.1,0,0.01,0.872072
RungeKutta4,17,1.7,0.795483,0.1,0,0.01,0.907087
RungeKutta4,18,1.8,0.814327,0.1,0,0.01,0.937678
RungeKutta4,19,1.9,0.829820,0.1,0,0.01,0.962829
RungeKutta4,20,2.0,0.841515,0.1,0,0.01,0.981815
RungeKutta4,21,2.1,0.849190,0.1,0,0.01,0.994274
RungeKutta4,22,2.2,0.852717,0.1,0,0.01,1
RungeKutta4,23,2.3,0.852158,0.1,0,0.01,0.999093
RungeKutta4,24,2.4,0.847856,0.1,0,0.01,0.992109
RungeKutta4,25,2.5,0.839891,0.1,0,0.01,0.979178
RungeKutta4,26,2.6,0.828415,0.1,0,0.01,0.960548
RungeKutta4,27,2.7,0.813671,0.1,0,0.01,0.936613
RungeKutta4,28,2.8,0.795973,0.1,0,0.01,0.907882
RungeKutta4,29,2.9,0.775704,0.1,0,0.01,0.874978
RungeKutta4,30,3.0,0.753284,0.1,0,0.01,0.838581
RungeKutta4,31,3.1,0.729173,0.1,0,0.01,0.799440
RungeKutta4,32,3.2,0.703835,0.1,0,0.01,0.758306
RungeKutta4,33,3.3,0.677733,0.1,0,0.01,0.715932
RungeKutta4,34,3.4,0.651310,0.1,0,0.01,0.673037
RungeKutta4,35,3.5,0.624977,0.1,0,0.01,0.630289
RungeKutta4,36,3.6,0.599102,0.1,0,0.01,0.588283
RungeKutta4,37,3.7,0.573997,0.1,0,0.01,0.547528
RungeKutta4,38,3.8,0.549920,0.1,0,0.01,0.508442
