TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,SUMMER_DECAY_BOOST,PRE_SUMMER_DECAY_REDUCTION,PRE_SUMMER_DECAY_END,PRE_SUMMER_DECAY_SHARPNESS,SPRING_CARRYOVER_WEIGHT,SPRING_CARRYOVER_END,SPRING_CARRYOVER_SHARPNESS,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_ONSET,SUMMER_GATE_SHARPNESS,SUMMER_DECAY_ONSET,SUMMER_DECAY_GATE_SHARPNESS,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-07 08:12:05,common_cleavers_observed.csv,17.12459686961541807033307671,0.001,2.409,5.577,0.981,0.733,7.34,14.063,0.111,6.96,18.906,0.042,0.497,0.025,6.24,11.44,8.84,2.19,7.152,12.835,1.469,9.590,11.232,7.949,0.207,1.19,4.75,7.453,6.79,12.138,11.686,3.577,19.794,0.816,0.218,12.23,74.182,134.966,13.399
2026-05-07 08:12:05,common_cleavers_observed.csv,8.081843686709833296746919004,0.296,2.632,0.389,1.512,0.132,6.6,13.129,0.089,7.63,25.956,0.05,0.265,0.025,6.29,11.8,8.88,2.788,15.492,18.833,12.151,7.020,4.13,9.911,0.108,1.05,4.01,1.411,6.78,14.433,14.478,20.107,8.849,1.698,0.27,12.11,117.830,231.04,4.621
2026-05-07 08:12:05,common_cleavers_observed.csv,4.013734078569199873112659994,0.178,3.763,0.429,5.64,0.5,7.22,5.392,0.058,7.46,24.2,0.016,0.194,0.005,5.53,9.6,9.67,4.706,15.146,14.258,16.034,2.306,0.372,4.24,0.059,11.96,4.98,3.374,6.63,16.323,37.648,60.567,14.73,1.285,0.26,12.065,114.037,213.888,14.186
2026-05-07 08:12:06,common_cleavers_observed.csv,1.234484740112218769017522793,0.063,3.749,1.145,3.61,0.734,6.98,10.026,0.32,6.85,27.021,0.052,0.189,0.009,5.62,9.81,9.15,5.297,8.853,17.275,0.431,10.764,10.273,11.254,0.078,2.49,3.86,5.851,6.73,6.03,9.047,3.456,14.638,0.813,0.215,12.03,80.618,146.667,14.569
2026-05-07 08:12:06,common_cleavers_observed.csv,3.117321805819526480450086784,0.178,0.711,2.192,0.529,0.852,6.47,11.157,0.172,7.59,6.622,0.02,0.113,0.02,5.74,10.93,9.18,5.939,11.827,4.796,18.858,6.629,3.302,9.956,0.025,2.17,4.49,6.999,7.37,17.8,22.999,33.74,12.258,1.457,0.07,12.134,90.742,169.686,11.798
2026-05-07 08:12:06,common_cleavers_observed.csv,1.870120145405074271172248957,0.112,2.407,1.754,1.747,0.269,6.51,12.129,0.422,6.86,25.829,0.07,0.431,0.045,6.26,10.16,11.22,7.083,17.296,17.36,17.232,11.539,11.121,11.957,0.14,2.14,4.45,6.668,7.38,13.737,33.948,59.585,8.31,1.739,0.328,12.14,108.232,201.011,15.453
2026-05-07 08:12:07,common_cleavers_observed.csv,17.06914179398267098832241762,0.028,0.286,0.936,4.969,0.08,7.74,14.355,0.184,7.41,23.892,0.08,0.738,0.042,6.34,10.57,11.16,7.327,7.276,5.563,8.988,2.493,2.525,2.461,0.087,11.55,4.13,0.916,7.31,14.008,13.725,22.914,4.536,0.801,0.185,12.297,61.834,118.225,5.443
2026-05-07 08:12:07,common_cleavers_observed.csv,7.929766547918717382217455228,0.261,3.153,1.578,7.248,0.653,7.13,13.448,0.392,7.64,8.97,0.007,0.088,0.024,6.06,11.82,11.18,4.816,6.852,1.169,12.534,8.252,10.369,6.134,0.12,2.1,4.05,6.541,6.99,15.635,27.410,45.523,9.296,1.775,0.257,12.21,93.196,179.192,7.2
2026-05-07 08:12:07,common_cleavers_observed.csv,0.9606147928033069961793649503,0.165,0.868,3.919,3.826,0.556,7.09,11.999,0.026,7.09,11.762,0.069,0.19,0.038,5.86,10.32,10.9,11.025,11.658,9.189,14.126,8.284,11.688,4.879,0.079,1.89,4.66,2.291,7.35,23.01,12.630,20.801,4.459,0.97,0.156,12.126,111.240,210.511,11.968
2026-05-07 08:12:08,common_cleavers_observed.csv,0.8457408037566100506945977729,0.267,2.378,3.225,1.806,0.534,7.09,5.448,0.013,6.62,7.06,0.041,0.419,0.034,3.78,11.75,9.2,2.554,10.328,17.888,2.769,8.170,11.102,5.238,0.21,1.43,3.57,1.932,6.95,21.795,17.364,31.679,3.049,1.234,0.077,12.091,119.754,230.394,9.114
2026-05-07 08:12:08,common_cleavers_observed.csv,1.200930651887754198696868010,0.103,2.033,0.873,7.307,0.359,6.51,14.523,0.254,7.36,7.899,0.004,0.409,0.011,6.45,11.47,9.87,8.528,15.956,16.657,15.255,8.524,7.148,9.9,0.088,1.73,4.19,2.68,7.23,17.703,17.393,18.359,16.427,1.151,0.212,12.16,94.770,173.566,15.973
2026-05-07 08:12:08,common_cleavers_observed.csv,0.3893328534420848579840950354,0.051,3.796,2.679,0.022,0.116,6.36,12.76,0.191,7.14,18.796,0.047,0.654,0.008,4.2,9.61,9.12,8.528,14.166,12.218,16.115,8.694,5.115,12.274,0.025,1.35,3.97,3.563,7.03,20.304,14.564,19.397,9.732,1.42,0.033,12.263,100.184,189.348,11.019
2026-05-07 08:12:08,common_cleavers_observed.csv,1.322313276427621957475672785,0.254,3.199,1.894,2.849,0.254,7.33,12.435,0.052,7.25,6.793,0.087,0.315,0.006,3.92,11.21,9.85,3.692,10.331,5.916,14.746,8.320,9.014,7.626,0.047,1.45,3.57,5.384,7.18,9.701,11.741,21.508,1.974,1.227,0.259,12.274,82.494,153.092,11.897
