method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.098,0.1,0,0.01
RungeKutta4,1,0.1,0.0677688,0.1,0,0.01
RungeKutta4,2,0.2,0.0468328,0.1,0,0.01
RungeKutta4,3,0.3,0.0323645,0.1,0,0.01
RungeKutta4,4,0.4,0.0223660,0.1,0,0.01
RungeKutta4,5,0.5,0.0154563,0.1,0,0.01
RungeKutta4,6,0.6,0.0106813,0.1,0,0.01
RungeKutta4,7,0.7,0.00738148,0.1,0,0.01
RungeKutta4,8,0.8,0.00510108,0.1,0,0.01
RungeKutta4,9,0.9,0.00352518,0.1,0,0.01
RungeKutta4,10,1.0,0.00243612,0.1,0,0.01
RungeKutta4,11,1.1,0.00168352,0.1,0,0.01
RungeKutta4,12,1.2,0.00116342,0.1,0,0.01
RungeKutta4,13,1.3,0.00080400,0.1,0,0.01
RungeKutta4,14,1.4,0.000555617,0.1,0,0.01
RungeKutta4,15,1.5,0.000383967,0.1,0,0.01
RungeKutta4,16,1.6,0.000265346,0.1,0,0.01
RungeKutta4,17,1.7,0.000183371,0.1,0,0.01
RungeKutta4,18,1.8,0.000126721,0.1,0,0.01
RungeKutta4,19,1.9,0.00197455,0.1,0,0.01
RungeKutta4,20,2.0,0.00781223,0.1,0,0.01
RungeKutta4,21,2.1,0.0173774,0.1,0,0.01
RungeKutta4,22,2.2,0.0304083,0.1,0,0.01
RungeKutta4,23,2.3,0.0466748,0.1,0,0.01
RungeKutta4,24,2.4,0.0659566,0.1,0,0.01
RungeKutta4,25,2.5,0.0880336,0.1,0,0.01
RungeKutta4,26,2.6,0.112671,0.1,0,0.01
RungeKutta4,27,2.7,0.139608,0.1,0,0.01
RungeKutta4,28,2.8,0.168545,0.1,0,0.01
RungeKutta4,29,2.9,0.199142,0.1,0,0.01
RungeKutta4,30,3.0,0.231011,0.1,0,0.01
RungeKutta4,31,3.1,0.263712,0.1,0,0.01
RungeKutta4,32,3.2,0.296757,0.1,0,0.01
RungeKutta4,33,3.3,0.329620,0.1,0,0.01
RungeKutta4,34,3.4,0.361739,0.1,0,0.01
RungeKutta4,35,3.5,0.392533,0.1,0,0.01
RungeKutta4,36,3.6,0.421421,0.1,0,0.01
RungeKutta4,37,3.7,0.447833,0.1,0,0.01
