TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH
2026-05-05 07:12:51,common_starling_observed.csv,0.1078324208223814489812528577,0.534,1.249,2.001,0.362,0.091,0.119,2.34,11.49,2.122,2.568,0.407,7.51,4.313
2026-05-05 07:13:49,common_starling_observed.csv,0.1253179301254153796378886603,0.787,1.137,0.492,0.64,0.031,0.127,11.73,10.56,4.063,1.161,0.46,8.42,3.758
2026-05-05 07:18:54,common_starling_observed.csv,0.1066027456720938834997713763,0.707,1.221,0.536,0.44,0.118,0.218,1.58,10.98,1.36,4.224,0.536,7.12,4.678
2026-05-05 07:19:54,common_starling_observed.csv,0.1462835737416067337046364998,0.902,0.411,0.776,0.615,0.01,0.689,11.97,11.84,1.129,3.301,0.644,6.6,2.541
2026-05-05 07:20:54,common_starling_observed.csv,0.1446737696673945313813454503,0.672,0.403,0.323,0.345,0.096,0.453,1.21,11.54,3.194,3.521,0.599,7.55,5.276
2026-05-05 07:21:53,common_starling_observed.csv,0.1252350803944555652150491541,1.121,0.849,1.378,0.671,0.151,0.525,1.97,11.72,2.235,4.503,0.619,7.21,4.887
2026-05-05 07:22:52,common_starling_observed.csv,0.1415451550106654280800182899,0.715,0.808,2.113,0.482,0.25,0.106,1.92,11.36,3.968,3.112,0.443,7.71,4.72
2026-05-05 07:23:51,common_starling_observed.csv,0.1349092186188583623501417466,1.241,0.371,0.964,0.835,0.218,0.663,1.77,10.98,2.177,5.56,0.662,7.92,4.302
2026-05-05 07:24:49,common_starling_observed.csv,0.1003603662937788207746787837,1.029,0.982,0.694,0.715,0.219,0.227,2.13,11.13,2.52,3.159,0.662,7.4,4.239
2026-05-05 07:25:48,common_starling_observed.csv,0.1369365337723645174222405121,1.519,0.994,0.579,0.643,0.769,0.323,1.66,11.2,1.086,5.597,0.074,7.35,5.587
2026-05-05 07:26:46,common_starling_observed.csv,0.1291166171879458063361911294,0.855,1.415,1.658,0.552,0.096,0.27,1.42,11.46,2.561,2.788,0.388,8.16,5.846
2026-05-05 07:27:44,common_starling_observed.csv,0.1140591112451643176889071788,0.826,0.316,0.325,0.72,0.045,0.589,11.98,10.83,1.044,5.979,0.679,7.98,3.357
2026-05-05 07:28:44,common_starling_observed.csv,0.1237528279637496716006047095,1.555,1.205,1.945,0.862,0.75,0.068,1.01,11.7,1.084,5.732,0.579,7.09,2.313
2026-05-05 07:29:42,common_starling_observed.csv,0.1333111517856587046080044011,0.806,0.391,1.159,0.653,0.19,0.085,2.12,11.25,1.146,3.977,0.675,6.17,5.742
2026-05-05 07:30:41,common_starling_observed.csv,0.1345406776457703472314997714,0.594,1.243,1.174,0.564,0.028,0.135,2.22,11.07,3.621,3.112,0.483,7.88,2.677
2026-05-05 07:31:39,common_starling_observed.csv,0.1247325125227213713012219935,1.76,1.156,1.577,0.604,1.176,0.068,1.07,1.28,1.158,2.696,0.637,7.63,5.779
2026-05-05 07:32:37,common_starling_observed.csv,0.1129500785351321869164380430,1.124,1.237,0.738,0.859,0.191,0.066,1.34,11.12,1.111,3.928,0.295,7.14,5.155
2026-05-05 07:33:35,common_starling_observed.csv,0.128693138074151894535049154,0.815,0.491,0.99,0.764,0.03,0.028,1.08,11.65,4.977,2.552,0.135,6.14,3.995
2026-05-05 07:34:49,common_starling_observed.csv,0.1310026307535632255831047097,1.388,1.367,0.877,0.608,0.714,0.405,1.84,10.67,1.517,5.455,0.324,7.69,2.194
2026-05-05 07:35:47,common_starling_observed.csv,0.139157437549352069575967364,1.426,1.192,0.457,0.82,0.418,0.355,2.06,11.76,3.192,2.683,0.464,5.64,3.116
