method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.739,0.1,0,0.01
RungeKutta4,1,0.1,0.775856,0.1,0,0.01
RungeKutta4,2,0.2,0.809890,0.1,0,0.01
RungeKutta4,3,0.3,0.841260,0.1,0,0.01
RungeKutta4,4,0.4,0.870111,0.1,0,0.01
RungeKutta4,5,0.5,0.896573,0.1,0,0.01
RungeKutta4,6,0.6,0.920766,0.1,0,0.01
RungeKutta4,7,0.7,0.942800,0.1,0,0.01
RungeKutta4,8,0.8,0.962774,0.1,0,0.01
RungeKutta4,9,0.9,0.980778,0.1,0,0.01
RungeKutta4,10,1.0,0.996896,0.1,0,0.01
RungeKutta4,11,1.1,1.01120,0.1,0,0.01
RungeKutta4,12,1.2,1.02377,0.1,0,0.01
RungeKutta4,13,1.3,1.03467,0.1,0,0.01
RungeKutta4,14,1.4,1.04395,0.1,0,0.01
RungeKutta4,15,1.5,1.05168,0.1,0,0.01
RungeKutta4,16,1.6,1.05791,0.1,0,0.01
RungeKutta4,17,1.7,1.06269,0.1,0,0.01
RungeKutta4,18,1.8,1.06607,0.1,0,0.01
RungeKutta4,19,1.9,1.06810,0.1,0,0.01
RungeKutta4,20,2.0,1.06883,0.1,0,0.01
RungeKutta4,21,2.1,1.06807,0.1,0,0.01
RungeKutta4,22,2.2,1.06563,0.1,0,0.01
RungeKutta4,23,2.3,1.06162,0.1,0,0.01
RungeKutta4,24,2.4,1.05615,0.1,0,0.01
RungeKutta4,25,2.5,1.04934,0.1,0,0.01
RungeKutta4,26,2.6,1.04128,0.1,0,0.01
RungeKutta4,27,2.7,1.03207,0.1,0,0.01
RungeKutta4,28,2.8,1.02180,0.1,0,0.01
RungeKutta4,29,2.9,1.01056,0.1,0,0.01
RungeKutta4,30,3.0,0.998432,0.1,0,0.01
RungeKutta4,31,3.1,0.985495,0.1,0,0.01
RungeKutta4,32,3.2,0.971827,0.1,0,0.01
RungeKutta4,33,3.3,0.957503,0.1,0,0.01
RungeKutta4,34,3.4,0.942596,0.1,0,0.01
RungeKutta4,35,3.5,0.927176,0.1,0,0.01
RungeKutta4,36,3.6,0.911312,0.1,0,0.01
RungeKutta4,37,3.7,0.895071,0.1,0,0.01
RungeKutta4,38,3.8,0.878519,0.1,0,0.01
RungeKutta4,39,3.9,0.861721,0.1,0,0.01
RungeKutta4,40,4.0,0.844742,0.1,0,0.01
RungeKutta4,41,4.1,0.827644,0.1,0,0.01
RungeKutta4,42,4.2,0.810490,0.1,0,0.01
RungeKutta4,43,4.3,0.793343,0.1,0,0.01
RungeKutta4,44,4.4,0.776264,0.1,0,0.01
RungeKutta4,45,4.5,0.759314,0.1,0,0.01
RungeKutta4,46,4.6,0.742555,0.1,0,0.01
RungeKutta4,47,4.7,0.726047,0.1,0,0.01
RungeKutta4,48,4.8,0.709850,0.1,0,0.01
RungeKutta4,49,4.9,0.694024,0.1,0,0.01
RungeKutta4,50,5.0,0.678627,0.1,0,0.01
RungeKutta4,51,5.1,0.663716,0.1,0,0.01
RungeKutta4,52,5.2,0.649347,0.1,0,0.01
RungeKutta4,53,5.3,0.635575,0.1,0,0.01
RungeKutta4,54,5.4,0.622451,0.1,0,0.01
RungeKutta4,55,5.5,0.610025,0.1,0,0.01
RungeKutta4,56,5.6,0.598344,0.1,0,0.01
RungeKutta4,57,5.7,0.587450,0.1,0,0.01
RungeKutta4,58,5.8,0.577384,0.1,0,0.01
RungeKutta4,59,5.9,0.568182,0.1,0,0.01
RungeKutta4,60,6.0,0.559875,0.1,0,0.01
RungeKutta4,61,6.1,0.552490,0.1,0,0.01
RungeKutta4,62,6.2,0.546050,0.1,0,0.01
RungeKutta4,63,6.3,0.540572,0.1,0,0.01
RungeKutta4,64,6.4,0.536069,0.1,0,0.01
RungeKutta4,65,6.5,0.532549,0.1,0,0.01
RungeKutta4,66,6.6,0.530014,0.1,0,0.01
RungeKutta4,67,6.7,0.528462,0.1,0,0.01
RungeKutta4,68,6.8,0.527887,0.1,0,0.01
RungeKutta4,69,6.9,0.528155,0.1,0,0.01
RungeKutta4,70,7.0,0.529103,0.1,0,0.01
RungeKutta4,71,7.1,0.530736,0.1,0,0.01
RungeKutta4,72,7.2,0.533058,0.1,0,0.01
RungeKutta4,73,7.3,0.536069,0.1,0,0.01
RungeKutta4,74,7.4,0.539764,0.1,0,0.01
RungeKutta4,75,7.5,0.544134,0.1,0,0.01
RungeKutta4,76,7.6,0.549169,0.1,0,0.01
RungeKutta4,77,7.7,0.554854,0.1,0,0.01
RungeKutta4,78,7.8,0.561174,0.1,0,0.01
RungeKutta4,79,7.9,0.568110,0.1,0,0.01
RungeKutta4,80,8.0,0.575643,0.1,0,0.01
RungeKutta4,81,8.1,0.583751,0.1,0,0.01
RungeKutta4,82,8.2,0.592413,0.1,0,0.01
RungeKutta4,83,8.3,0.601607,0.1,0,0.01
